Format Version,1.23,Take Name,P_0,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 02.56.58.525 PM,Total Frames in Take,744,Total Exported Frames,744,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 1940,Unlabeled 1940,Unlabeled 1940,Unlabeled 1944,Unlabeled 1944,Unlabeled 1944,Unlabeled 1945,Unlabeled 1945,Unlabeled 1945,Unlabeled 1947,Unlabeled 1947,Unlabeled 1947,Unlabeled 1949,Unlabeled 1949,Unlabeled 1949
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","120240","120240","120240","11FB30","11FB30","11FB30","11FF90","11FF90","11FF90","11FB70","11FB70","11FB70","11FD00","11FD00","11FD00","11FCD0","11FCD0","11FCD0","11FBC0","11FBC0","11FBC0","11FC40","11FC40","11FC40","1202C0","1202C0","1202C0","11FB50","11FB50","11FB50","120220","120220","120220","1203D0","1203D0","1203D0","120440","120440","120440","120430","120430","120430","120470","120470","120470","120480","120480","120480"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.005102,0.024977,-0.007319,0.999648,-0.290371,0.126875,-1.831252,0.000377,-0.323961,0.080959,-1.983327,0.793022,-0.261469,0.188247,-1.782070,0.917330,-0.327778,0.137848,-1.731062,0.798931,-0.308805,0.188255,-1.777124,0.971765,-0.237976,0.137660,-1.735853,0.880445,-0.281464,0.180298,-1.720078,0.938251,-0.366637,0.087887,-1.801764,0.807327,-0.205792,0.089211,-1.817051,0.899589,-0.268312,0.081735,-1.986187,0.906575,-0.239794,0.112634,-1.863265,0.906929,-0.344701,0.111706,-1.859375,0.594498,-0.317761,0.126066,-1.917868,0.000000,-0.323285,0.081061,-1.982861,-0.239989,0.112487,-1.863546,-0.344656,0.110129,-1.858999,-0.261369,0.188425,-1.782330,-0.328195,0.138284,-1.730531,-0.308835,0.188166,-1.777061,-0.237627,0.137569,-1.736167,-0.281560,0.180078,-1.720020,-0.367231,0.088377,-1.801799,-0.205490,0.089332,-1.817286,-0.268432,0.082001,-1.986421,,,,,,,,,,,,,,,
1,0.008333,0.005505,0.024227,-0.007168,0.999666,-0.290297,0.126971,-1.831236,0.000472,-0.323646,0.081167,-1.983399,0.793022,-0.261487,0.188311,-1.781962,0.917330,-0.327858,0.137853,-1.731094,0.798931,-0.308830,0.188302,-1.777087,0.971765,-0.238049,0.137693,-1.735750,0.880445,-0.281573,0.180307,-1.720006,0.938251,-0.366597,0.087938,-1.801894,0.807327,-0.205729,0.089318,-1.816938,0.899589,-0.267993,0.081961,-1.986174,0.906575,-0.239668,0.112769,-1.863184,0.906929,-0.344580,0.111809,-1.859453,0.594498,-0.317557,0.126223,-1.917894,0.000000,-0.323250,0.081112,-1.982863,-0.240009,0.112494,-1.863550,-0.345214,0.110647,-1.859361,-0.261365,0.188434,-1.782335,-0.328185,0.138278,-1.730533,-0.308851,0.188168,-1.777059,-0.237633,0.137573,-1.736168,-0.281562,0.180094,-1.720014,-0.367222,0.088363,-1.801807,-0.205497,0.089344,-1.817287,-0.267261,0.082777,-1.985910,,,,,,,,,,,,,,,
2,0.016667,0.004735,0.025098,-0.007365,0.999647,-0.290396,0.126840,-1.831234,0.000383,-0.324028,0.080814,-1.983267,0.832830,-0.261478,0.188245,-1.782104,0.897078,-0.327777,0.137889,-1.731043,0.805933,-0.308812,0.188260,-1.777147,0.965477,-0.237977,0.137690,-1.735856,0.849555,-0.281458,0.180343,-1.720101,0.946638,-0.366657,0.087879,-1.801698,0.809792,-0.205816,0.089180,-1.817026,0.895053,-0.268380,0.081585,-1.986141,0.718090,-0.239828,0.112571,-1.863249,0.857454,-0.344734,0.111654,-1.859332,0.668150,-0.317808,0.125969,-1.917842,0.000000,-0.323225,0.081150,-1.982832,-0.240006,0.112510,-1.863538,-0.344671,0.110165,-1.859006,-0.261384,0.188455,-1.782335,-0.328192,0.138272,-1.730526,-0.308848,0.188182,-1.777052,-0.237638,0.137586,-1.736158,-0.281570,0.180092,-1.720007,-0.367234,0.088371,-1.801802,-0.205490,0.089355,-1.817277,-0.268611,0.081551,-1.986300,,,,,,,,,,,,,,,
3,0.025000,0.005365,0.024094,-0.007158,0.999670,-0.290289,0.126962,-1.831223,0.000470,-0.323597,0.081115,-1.983381,0.756910,-0.261494,0.188316,-1.781958,0.918427,-0.327877,0.137871,-1.731094,0.808649,-0.308838,0.188307,-1.777096,0.968069,-0.238067,0.137712,-1.735726,0.883559,-0.281596,0.180329,-1.720006,0.927283,-0.366596,0.087936,-1.801890,0.808783,-0.205724,0.089315,-1.816891,0.888169,-0.267943,0.081909,-1.986142,0.929407,-0.239652,0.112752,-1.863153,0.913775,-0.344565,0.111791,-1.859450,0.618550,-0.317526,0.126189,-1.917887,0.000000,-0.323223,0.081149,-1.982823,-0.240006,0.112516,-1.863535,-0.345230,0.110665,-1.859355,-0.261373,0.188464,-1.782324,-0.328185,0.138266,-1.730532,-0.308860,0.188192,-1.777043,-0.237639,0.137594,-1.736163,-0.281573,0.180113,-1.720001,-0.367234,0.088362,-1.801797,-0.205496,0.089364,-1.817274,-0.267230,0.082461,-1.985905,,,,,,,,,,,,,,,
4,0.033333,0.005509,0.024209,-0.007157,0.999666,-0.290294,0.126969,-1.831227,0.000477,-0.323636,0.081166,-1.983391,0.831911,-0.261487,0.188309,-1.781951,0.896736,-0.327859,0.137850,-1.731086,0.811942,-0.308830,0.188299,-1.777078,0.967635,-0.238050,0.137692,-1.735739,0.844165,-0.281575,0.180305,-1.719996,0.945532,-0.366594,0.087935,-1.801888,0.806543,-0.205726,0.089318,-1.816926,0.887883,-0.267983,0.081961,-1.986164,0.766929,-0.239664,0.112769,-1.863173,0.856992,-0.344576,0.111807,-1.859446,0.672247,-0.317551,0.126222,-1.917885,0.000000,-0.323240,0.081118,-1.982840,-0.239997,0.112494,-1.863543,-0.345209,0.110630,-1.859352,-0.261367,0.188434,-1.782326,-0.328198,0.138278,-1.730527,-0.308844,0.188175,-1.777050,-0.237633,0.137569,-1.736159,-0.281566,0.180089,-1.720010,-0.367229,0.088344,-1.801797,-0.205491,0.089341,-1.817276,-0.267239,0.082795,-1.985898,,,,,,,,,,,,,,,
5,0.041667,0.004715,0.025146,-0.007392,0.999645,-0.290430,0.126850,-1.831256,0.000409,-0.324079,0.080820,-1.983283,0.830069,-0.261504,0.188256,-1.782131,0.896613,-0.327801,0.137905,-1.731061,0.804475,-0.308838,0.188273,-1.777169,0.967977,-0.238001,0.137701,-1.735883,0.848808,-0.281479,0.180357,-1.720126,0.945997,-0.366691,0.087894,-1.801711,0.809721,-0.205851,0.089186,-1.817055,0.894439,-0.268431,0.081587,-1.986163,0.712685,-0.239866,0.112577,-1.863275,0.857878,-0.344772,0.111666,-1.859348,0.665043,-0.317851,0.125977,-1.917861,0.000000,-0.323239,0.081118,-1.982834,-0.239996,0.112509,-1.863541,-0.345214,0.110656,-1.859349,-0.261367,0.188446,-1.782331,-0.328188,0.138265,-1.730526,-0.308842,0.188177,-1.777057,-0.237632,0.137580,-1.736166,-0.281562,0.180086,-1.720010,-0.367184,0.088386,-1.801773,-0.205492,0.089355,-1.817285,-0.268586,0.081541,-1.986300,,,,,,,,,,,,,,,
