Format Version,1.23,Take Name,N_10,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 03.03.56.193 PM,Total Frames in Take,932,Total Exported Frames,932,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 2016,Unlabeled 2016,Unlabeled 2016,Unlabeled 2018,Unlabeled 2018,Unlabeled 2018,Unlabeled 2019,Unlabeled 2019,Unlabeled 2019,Unlabeled 2020,Unlabeled 2020,Unlabeled 2020,Unlabeled 2021,Unlabeled 2021,Unlabeled 2021,Unlabeled 2023,Unlabeled 2023,Unlabeled 2023
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","7A465F0BF2F11EB6A3FE2211B005D8D","7A465F0BF2F11EB6A3FE2211B005D8D","7A465F0BF2F11EB6A3FE2211B005D8D","123500","123500","123500","1233B0","1233B0","1233B0","D9CB49BBF2F11EB6A3FE2211B005D8D","D9CB49BBF2F11EB6A3FE2211B005D8D","D9CB49BBF2F11EB6A3FE2211B005D8D","122710","122710","122710","1228B0","1228B0","1228B0","1228E0","1228E0","1228E0","1228C0","1228C0","1228C0","122910","122910","122910","1247F0","1247F0","1247F0","1234C0","1234C0","1234C0","1256E0","1256E0","1256E0","123540","123540","123540","125DE0","125DE0","125DE0","125E10","125E10","125E10","125DC0","125DC0","125DC0","125E20","125E20","125E20","125E30","125E30","125E30"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.006632,-0.023235,0.010861,-0.999649,1.600126,0.128665,-1.862593,0.000396,1.566736,0.083423,-2.014915,0.000000,1.629295,0.189687,-1.813136,0.931934,1.562450,0.139620,-1.762502,0.865555,1.581944,0.190020,-1.808354,0.888484,1.652264,0.138801,-1.766983,0.951422,1.609028,0.181706,-1.751237,0.924938,1.523480,0.090142,-1.833481,0.324724,1.684383,0.090353,-1.848208,0.933010,1.622398,0.083808,-2.017580,0.655196,1.650710,0.114151,-1.894472,0.786696,1.545786,0.113966,-1.890948,0.645565,1.573031,0.128298,-1.949305,0.000000,,,,1.650135,0.113540,-1.894627,1.546377,0.112726,-1.890594,,,,1.629102,0.189580,-1.813295,1.562905,0.139717,-1.762232,1.581764,0.190423,-1.808418,1.652262,0.138647,-1.767102,1.609152,0.181970,-1.751307,1.521328,0.091610,-1.832768,1.684179,0.090186,-1.848161,1.623248,0.084871,-2.017807,1.562226,0.084923,-2.014166,,,,,,,,,,,,,,,
1,0.008333,-0.006610,-0.023201,0.010892,-0.999650,1.600120,0.128677,-1.862576,0.000395,1.566738,0.083431,-2.014898,0.000000,1.629290,0.189700,-1.813120,0.931934,1.562439,0.139640,-1.762489,0.865555,1.581939,0.190037,-1.808341,0.888484,1.652253,0.138815,-1.766963,0.951422,1.609019,0.181723,-1.751222,0.924938,1.523470,0.090160,-1.833467,0.324724,1.684374,0.090362,-1.848184,0.933010,1.622401,0.083812,-2.017560,0.655196,1.650706,0.114159,-1.894451,0.786696,1.545782,0.113981,-1.890934,0.645565,1.573032,0.128308,-1.949290,0.000000,,,,1.650119,0.113544,-1.894617,1.546405,0.112707,-1.890597,,,,1.629099,0.189576,-1.813294,1.562895,0.139726,-1.762225,1.581758,0.190430,-1.808409,1.652258,0.138732,-1.766997,1.609148,0.181977,-1.751290,1.521308,0.091623,-1.832757,1.684157,0.090173,-1.848153,1.623237,0.084885,-2.017805,1.562252,0.084913,-2.014165,,,,,,,,,,,,,,,
2,0.016667,-0.006580,-0.023224,0.010751,-0.999651,1.600130,0.128656,-1.862567,0.000379,1.566754,0.083392,-2.014884,0.000000,1.629285,0.189689,-1.813115,0.928274,1.562450,0.139613,-1.762478,0.866472,1.581934,0.190013,-1.808334,0.890458,1.652264,0.138813,-1.766957,0.977668,1.609018,0.181710,-1.751215,0.926665,1.523493,0.090119,-1.833452,0.323609,1.684395,0.090365,-1.848176,0.927831,1.622417,0.083789,-2.017549,0.654497,1.650719,0.114151,-1.894443,0.783377,1.545795,0.113942,-1.890921,0.635626,1.573038,0.128275,-1.949279,0.000000,,,,1.650115,0.113555,-1.894600,1.546389,0.112725,-1.890597,,,,1.629090,0.189582,-1.813285,1.562879,0.139754,-1.762220,1.581866,0.190251,-1.808393,1.652236,0.138739,-1.766978,1.609133,0.181997,-1.751294,1.521297,0.091637,-1.832748,1.684155,0.090191,-1.848143,1.623219,0.084881,-2.017798,1.562257,0.084944,-2.014171,,,,,,,,,,,,,,,
3,0.025000,-0.006605,-0.023192,0.010956,-0.999649,1.600113,0.128674,-1.862571,0.000396,1.566727,0.083430,-2.014893,0.000000,1.629290,0.189694,-1.813115,0.929908,1.562431,0.139643,-1.762484,0.870114,1.581938,0.190037,-1.808337,0.936363,1.652245,0.138806,-1.766958,0.979459,1.609016,0.181720,-1.751217,0.920217,1.523458,0.090167,-1.833463,0.309716,1.684361,0.090348,-1.848177,0.925314,1.622390,0.083804,-2.017554,0.655491,1.650697,0.114149,-1.894445,0.784356,1.545773,0.113984,-1.890929,0.651892,1.573026,0.128308,-1.949285,0.000000,,,,1.650113,0.113538,-1.894612,1.546395,0.112710,-1.890589,,,,1.629093,0.189579,-1.813287,1.562912,0.139727,-1.762224,1.581751,0.190428,-1.808404,1.652238,0.138703,-1.766988,1.609145,0.181979,-1.751291,1.521314,0.091623,-1.832752,1.684149,0.090163,-1.848148,1.623240,0.084875,-2.017804,1.562252,0.084933,-2.014163,,,,,,,,,,,,,,,
4,0.033333,-0.006658,-0.023261,0.010952,-0.999647,1.600121,0.128655,-1.862588,0.000397,1.566715,0.083427,-2.014910,0.000000,1.629305,0.189670,-1.813129,0.928514,1.562453,0.139613,-1.762495,0.861606,1.581954,0.190012,-1.808345,0.890259,1.652267,0.138777,-1.766980,0.973063,1.609039,0.181689,-1.751229,0.925392,1.523470,0.090145,-1.833473,0.328391,1.684372,0.090328,-1.848209,0.929146,1.622378,0.083802,-2.017578,0.652662,1.650702,0.114134,-1.894470,0.784409,1.545778,0.113968,-1.890940,0.635530,1.573023,0.128298,-1.949298,0.000000,,,,1.650132,0.113534,-1.894624,1.546389,0.112693,-1.890580,,,,1.629108,0.189570,-1.813299,1.562915,0.139697,-1.762225,1.581764,0.190410,-1.808403,1.652261,0.138620,-1.767100,1.609166,0.181957,-1.751293,1.521334,0.091611,-1.832763,1.684161,0.090161,-1.848163,1.623259,0.084876,-2.017809,1.562247,0.084907,-2.014159,,,,,,,,,,,,,,,
5,0.041667,-0.006696,-0.023246,0.010960,-0.999647,1.600121,0.128650,-1.862598,0.000401,1.566719,0.083434,-2.014924,0.000000,1.629304,0.189660,-1.813133,0.930394,1.562450,0.139600,-1.762504,0.864558,1.581953,0.190002,-1.808350,0.888694,1.652264,0.138763,-1.766987,0.950603,1.609037,0.181675,-1.751234,0.924256,1.523468,0.090138,-1.833488,0.328245,1.684371,0.090320,-1.848219,0.931870,1.622382,0.083808,-2.017591,0.648055,1.650702,0.114130,-1.894479,0.789558,1.545779,0.113965,-1.890952,0.635331,1.573025,0.128299,-1.949309,0.000000,,,,1.650120,0.113519,-1.894636,1.546426,0.112649,-1.890599,,,,1.629101,0.189565,-1.813303,1.562921,0.139682,-1.762223,1.581761,0.190402,-1.808408,1.652254,0.138622,-1.767108,1.609164,0.181943,-1.751299,1.521329,0.091596,-1.832762,1.684162,0.090152,-1.848169,1.623252,0.084869,-2.017825,1.562261,0.084886,-2.014174,,,,,,,,,,,,,,,
