Format Version,1.23,Take Name,N_40,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 03.14.53.113 PM,Total Frames in Take,1195,Total Exported Frames,1195,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 2302,Unlabeled 2302,Unlabeled 2302,Unlabeled 2303,Unlabeled 2303,Unlabeled 2303,Unlabeled 2305,Unlabeled 2305,Unlabeled 2305,Unlabeled 2306,Unlabeled 2306,Unlabeled 2306,Unlabeled 2308,Unlabeled 2308,Unlabeled 2308,Unlabeled 2309,Unlabeled 2309,Unlabeled 2309,Unlabeled 2310,Unlabeled 2310,Unlabeled 2310,Unlabeled 2312,Unlabeled 2312,Unlabeled 2312,Unlabeled 2313,Unlabeled 2313,Unlabeled 2313,Unlabeled 2314,Unlabeled 2314,Unlabeled 2314,Unlabeled 2316,Unlabeled 2316,Unlabeled 2316,Unlabeled 2317,Unlabeled 2317,Unlabeled 2317,Unlabeled 2318,Unlabeled 2318,Unlabeled 2318,Unlabeled 2319,Unlabeled 2319,Unlabeled 2319
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","13A710","13A710","13A710","13A720","13A720","13A720","13A730","13A730","13A730","13F0F0","13F0F0","13F0F0","13A750","13A750","13A750","13A780","13A780","13A780","13A6E0","13A6E0","13A6E0","13A770","13A770","13A770","13A790","13A790","13A790","13A760","13A760","13A760","13A740","13A740","13A740","13A700","13A700","13A700","13F0E0","13F0E0","13F0E0","13F090","13F090","13F090","13F110","13F110","13F110","13F100","13F100","13F100","13F0A0","13F0A0","13F0A0","13F140","13F140","13F140","13F130","13F130","13F130","13F120","13F120","13F120","13EF00","13EF00","13EF00","13F160","13F160","13F160","13F180","13F180","13F180","13F1C0","13F1C0","13F1C0","13F1D0","13F1D0","13F1D0","13F170","13F170","13F170"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.002659,0.000147,0.008779,-0.999958,1.184247,0.125874,0.059784,0.000207,1.158182,0.079234,-0.093542,0.915442,1.210839,0.187426,0.110032,0.957352,1.141896,0.137496,0.157912,0.905606,1.163316,0.187598,0.112596,0.915779,1.231823,0.137020,0.157635,0.972330,1.187734,0.179870,0.170983,0.960113,1.106474,0.087268,0.085612,0.929263,1.267886,0.088040,0.078410,0.937724,1.213907,0.079833,-0.093609,0.961943,1.236320,0.111312,0.030425,0.917389,1.131348,0.110711,0.029050,0.812990,1.161234,0.124676,-0.028091,0.000000,1.157890,0.079371,-0.093440,1.236185,0.111269,0.030724,1.131640,0.110040,0.028895,,,,1.211006,0.187412,0.110064,1.142133,0.137365,0.157649,1.163139,0.187857,0.112472,1.231777,0.137104,0.157690,1.187877,0.179814,0.171029,1.106375,0.087481,0.085454,1.267786,0.088118,0.078624,1.213917,0.079977,-0.093657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.002634,0.000167,0.008815,-0.999958,1.184248,0.125872,0.059771,0.000206,1.158186,0.079226,-0.093554,0.915442,1.210843,0.187424,0.110016,0.957352,1.141894,0.137502,0.157896,0.905606,1.163319,0.187600,0.112578,0.915779,1.231822,0.137020,0.157622,0.972330,1.187735,0.179873,0.170967,0.960113,1.106471,0.087273,0.085598,0.929263,1.267884,0.088033,0.078402,0.937724,1.213911,0.079821,-0.093619,0.961943,1.236322,0.111305,0.030415,0.917389,1.131350,0.110712,0.029035,0.812990,1.161238,0.124671,-0.028106,0.000000,1.157899,0.079351,-0.093454,1.236193,0.111257,0.030722,1.131637,0.110052,0.028874,,,,1.211016,0.187404,0.110054,1.142128,0.137373,0.157640,1.163135,0.187851,0.112462,1.231780,0.137108,0.157680,1.187876,0.179817,0.170990,1.106370,0.087487,0.085441,1.267788,0.088111,0.078611,1.213915,0.079978,-0.093661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.002641,0.000169,0.008821,-0.999958,1.184248,0.125856,0.059770,0.000206,1.158186,0.079213,-0.093555,0.917902,1.210844,0.187408,0.110016,0.955557,1.141893,0.137486,0.157895,0.907326,1.163320,0.187584,0.112578,0.916829,1.231821,0.137002,0.157622,0.971672,1.187735,0.179856,0.170967,0.961644,1.106471,0.087258,0.085596,0.929032,1.267884,0.088016,0.078401,0.939183,1.213911,0.079807,-0.093621,0.959521,1.236322,0.111289,0.030414,0.915947,1.131350,0.110697,0.029034,0.815669,1.161239,0.124657,-0.028107,0.000000,1.157904,0.079338,-0.093454,1.236190,0.111239,0.030711,1.131640,0.110026,0.028873,,,,1.211009,0.187393,0.110050,1.142129,0.137358,0.157636,1.163137,0.187852,0.112461,1.231781,0.137093,0.157680,1.187881,0.179782,0.171004,1.106360,0.087478,0.085437,1.267789,0.088099,0.078611,1.213914,0.079961,-0.093663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.002624,0.000193,0.008850,-0.999957,1.184245,0.125865,0.059776,0.000209,1.158188,0.079218,-0.093549,0.918811,1.210842,0.187417,0.110021,0.957691,1.141887,0.137501,0.157898,0.906858,1.163318,0.187596,0.112581,0.913843,1.231814,0.137012,0.157630,0.971301,1.187730,0.179869,0.170971,0.957892,1.106464,0.087273,0.085599,0.926781,1.267878,0.088021,0.078412,0.938848,1.213913,0.079809,-0.093612,0.960180,1.236319,0.111294,0.030423,0.917801,1.131347,0.110708,0.029038,0.812861,1.161240,0.124664,-0.028102,0.000000,1.157903,0.079337,-0.093452,1.236180,0.111245,0.030718,1.131624,0.110049,0.028872,,,,1.211012,0.187387,0.110062,1.142122,0.137365,0.157627,1.163133,0.187865,0.112459,1.231789,0.137117,0.157750,1.187876,0.179802,0.170998,1.106361,0.087488,0.085433,1.267787,0.088104,0.078610,1.213913,0.079959,-0.093666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.002634,0.000175,0.008834,-0.999958,1.184248,0.125857,0.059774,0.000206,1.158187,0.079212,-0.093551,0.919099,1.210845,0.187408,0.110020,0.955600,1.141893,0.137489,0.157898,0.904053,1.163321,0.187586,0.112581,0.912916,1.231820,0.137003,0.157626,0.959582,1.187735,0.179858,0.170970,0.959287,1.106469,0.087261,0.085599,0.927297,1.267883,0.088015,0.078406,0.941716,1.213912,0.079805,-0.093616,0.960151,1.236322,0.111288,0.030419,0.917496,1.131350,0.110699,0.029037,0.816660,1.161240,0.124657,-0.028103,0.000000,1.157898,0.079337,-0.093446,1.236187,0.111238,0.030715,1.131637,0.110029,0.028880,,,,1.211015,0.187384,0.110056,1.142128,0.137361,0.157642,1.163139,0.187860,0.112462,1.231775,0.137092,0.157683,1.187875,0.179789,0.171005,1.106366,0.087477,0.085437,1.267796,0.088095,0.078613,1.213921,0.079959,-0.093657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.002643,0.000170,0.008835,-0.999958,1.184254,0.125867,0.059783,0.000207,1.158191,0.079226,-0.093543,0.917032,1.210852,0.187418,0.110029,0.955983,1.141900,0.137498,0.157908,0.907319,1.163328,0.187596,0.112591,0.912641,1.231828,0.137012,0.157635,0.971317,1.187743,0.179867,0.170980,0.960016,1.106476,0.087271,0.085608,0.927532,1.267889,0.088025,0.078413,0.940402,1.213916,0.079818,-0.093608,0.959942,1.236328,0.111299,0.030427,0.917521,1.131356,0.110710,0.029046,0.813685,1.161245,0.124669,-0.028094,0.000000,1.157906,0.079345,-0.093444,1.236207,0.111256,0.030716,1.131625,0.110042,0.028887,,,,1.211020,0.187395,0.110058,1.142136,0.137368,0.157644,1.163134,0.187866,0.112469,1.231814,0.137085,0.157743,1.187883,0.179805,0.171004,1.106365,0.087492,0.085446,1.267794,0.088113,0.078620,1.213922,0.079971,-0.093658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
