Format Version,1.23,Take Name,N_5,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 03.02.26.215 PM,Total Frames in Take,774,Total Exported Frames,774,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 1979,Unlabeled 1979,Unlabeled 1979,Unlabeled 1981,Unlabeled 1981,Unlabeled 1981
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","122440","122440","122440","120970","120970","120970","121D50","121D50","121D50","120AC0","120AC0","120AC0","121CD0","121CD0","121CD0","120AB0","120AB0","120AB0","120A50","120A50","120A50","120AA0","120AA0","120AA0","122650","122650","122650","120560","120560","120560","11E500","11E500","11E500","122760","122760","122760","122780","122780","122780"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.005787,-0.014730,-0.005964,0.999857,-0.243430,0.126443,-1.906197,0.000740,-0.264741,0.080595,-2.060493,0.461401,-0.218664,0.187832,-1.854830,0.927514,-0.288694,0.137237,-1.809283,0.687195,-0.266243,0.187730,-1.853656,0.705832,-0.198796,0.137254,-1.806933,0.841405,-0.243497,0.179780,-1.794626,0.914557,-0.321705,0.087257,-1.882884,0.872205,-0.160158,0.088954,-1.885357,0.886945,-0.209042,0.081498,-2.058927,0.945654,-0.190439,0.112345,-1.934106,0.903091,-0.295321,0.111179,-1.938554,0.446521,-0.263859,0.125654,-1.994714,0.000000,-0.262824,0.081392,-2.059918,-0.190382,0.112112,-1.934410,-0.297327,0.110858,-1.939435,-0.218500,0.187634,-1.854963,-0.289542,0.137945,-1.808695,-0.266648,0.186697,-1.853263,-0.198204,0.137162,-1.807143,-0.243439,0.180116,-1.794655,-0.322164,0.087365,-1.882686,-0.159731,0.089085,-1.885430,-0.208888,0.081518,-2.059079,,,,,,
1,0.008333,0.005788,-0.014698,-0.005986,0.999857,-0.243436,0.126451,-1.906198,0.000738,-0.264759,0.080604,-2.060493,0.461401,-0.218664,0.187839,-1.854832,0.927514,-0.288694,0.137247,-1.809281,0.687195,-0.266243,0.187738,-1.853655,0.705832,-0.198795,0.137260,-1.806937,0.841405,-0.243493,0.179788,-1.794627,0.914557,-0.321711,0.087268,-1.882880,0.872205,-0.160164,0.088958,-1.885364,0.886945,-0.209060,0.081505,-2.058931,0.945654,-0.190448,0.112350,-1.934110,0.903091,-0.295330,0.111189,-1.938552,0.446521,-0.263870,0.125663,-1.994713,0.000000,-0.262804,0.081402,-2.059910,-0.190394,0.112111,-1.934409,-0.297326,0.110855,-1.939438,-0.218506,0.187640,-1.854958,-0.289529,0.137949,-1.808692,-0.266647,0.186706,-1.853264,-0.198209,0.137156,-1.807143,-0.243437,0.180125,-1.794650,-0.322160,0.087394,-1.882692,-0.159736,0.089108,-1.885441,-0.208897,0.081524,-2.059084,,,,,,
2,0.016667,0.005790,-0.014770,-0.006057,0.999856,-0.243422,0.126457,-1.906197,0.000734,-0.264729,0.080614,-2.060495,0.452468,-0.218649,0.187841,-1.854827,0.929073,-0.288692,0.137258,-1.809287,0.690086,-0.266227,0.187747,-1.853657,0.706033,-0.198794,0.137259,-1.806929,0.842612,-0.243488,0.179793,-1.794626,0.914522,-0.321706,0.087285,-1.882890,0.874503,-0.160159,0.088952,-1.885351,0.884984,-0.209030,0.081507,-2.058925,0.943934,-0.190432,0.112349,-1.934102,0.903472,-0.295314,0.111203,-1.938559,0.447751,-0.263844,0.125672,-1.994715,0.000000,-0.262809,0.081413,-2.059920,-0.190373,0.112111,-1.934399,-0.297314,0.110888,-1.939444,-0.218502,0.187643,-1.854953,-0.289522,0.137938,-1.808707,-0.266639,0.186701,-1.853265,-0.198199,0.137162,-1.807138,-0.243432,0.180121,-1.794657,-0.322157,0.087422,-1.882696,-0.159716,0.089097,-1.885427,-0.208882,0.081519,-2.059078,,,,,,
3,0.025000,0.005800,-0.014716,-0.005929,0.999857,-0.243434,0.126481,-1.906191,0.000735,-0.264746,0.080635,-2.060488,0.460597,-0.218671,0.187871,-1.854823,0.930844,-0.288697,0.137269,-1.809276,0.695088,-0.266250,0.187765,-1.853648,0.702339,-0.198798,0.137293,-1.806928,0.840644,-0.243502,0.179816,-1.794619,0.916392,-0.321706,0.087289,-1.882877,0.872663,-0.160159,0.088998,-1.885355,0.882177,-0.209047,0.081543,-2.058924,0.946695,-0.190443,0.112387,-1.934102,0.903559,-0.295325,0.111214,-1.938548,0.447484,-0.263865,0.125693,-1.994707,0.000000,-0.262822,0.081438,-2.059899,-0.190386,0.112146,-1.934395,-0.297331,0.110908,-1.939423,-0.218508,0.187684,-1.854958,-0.289523,0.137948,-1.808701,-0.266640,0.186739,-1.853260,-0.198211,0.137196,-1.807143,-0.243446,0.180141,-1.794643,-0.322167,0.087406,-1.882686,-0.159730,0.089147,-1.885435,-0.208891,0.081557,-2.059073,,,,,,
4,0.033333,0.005798,-0.014717,-0.005896,0.999858,-0.243430,0.126470,-1.906191,0.000741,-0.264739,0.080622,-2.060487,0.458525,-0.218672,0.187862,-1.854823,0.929362,-0.288694,0.137256,-1.809276,0.696543,-0.266250,0.187753,-1.853648,0.709016,-0.198795,0.137286,-1.806927,0.841788,-0.243502,0.179806,-1.794619,0.917268,-0.321700,0.087273,-1.882876,0.871922,-0.160153,0.088993,-1.885354,0.884671,-0.209040,0.081533,-2.058923,0.945858,-0.190439,0.112380,-1.934101,0.903996,-0.295321,0.111200,-1.938547,0.447677,-0.263861,0.125680,-1.994707,0.000000,-0.262794,0.081444,-2.059892,-0.190380,0.112141,-1.934392,-0.297341,0.110895,-1.939432,-0.218499,0.187669,-1.854953,-0.289534,0.137938,-1.808714,-0.266647,0.186728,-1.853258,-0.198205,0.137183,-1.807139,-0.243453,0.180142,-1.794644,-0.322159,0.087384,-1.882680,-0.159717,0.089136,-1.885430,-0.208879,0.081552,-2.059079,,,,,,
5,0.041667,0.005800,-0.014677,-0.005850,0.999858,-0.243435,0.126467,-1.906193,0.000736,-0.264752,0.080618,-2.060488,0.451629,-0.218678,0.187861,-1.854827,0.927566,-0.288692,0.137249,-1.809274,0.695271,-0.266257,0.187748,-1.853648,0.708462,-0.198793,0.137286,-1.806933,0.841097,-0.243503,0.179802,-1.794621,0.914793,-0.321699,0.087263,-1.882872,0.872015,-0.160153,0.088997,-1.885363,0.883755,-0.209053,0.081534,-2.058928,0.943829,-0.190445,0.112382,-1.934108,0.904791,-0.295327,0.111192,-1.938545,0.443313,-0.263873,0.125675,-1.994707,0.000000,-0.262810,0.081430,-2.059893,-0.190386,0.112134,-1.934399,-0.297334,0.110882,-1.939412,-0.218503,0.187675,-1.854959,-0.289525,0.137935,-1.808701,-0.266647,0.186735,-1.853256,-0.198213,0.137189,-1.807138,-0.243440,0.180130,-1.794655,-0.322154,0.087366,-1.882688,-0.159732,0.089149,-1.885434,-0.208895,0.081555,-2.059083,,,,,,
