Format Version,1.23,Take Name,N_55,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 03.18.06.689 PM,Total Frames in Take,1014,Total Exported Frames,1014,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 2485,Unlabeled 2485,Unlabeled 2485,Unlabeled 2486,Unlabeled 2486,Unlabeled 2486,Unlabeled 2488,Unlabeled 2488,Unlabeled 2488,Unlabeled 2489,Unlabeled 2489,Unlabeled 2489,Unlabeled 2490,Unlabeled 2490,Unlabeled 2490,Unlabeled 2491,Unlabeled 2491,Unlabeled 2491,Unlabeled 2492,Unlabeled 2492,Unlabeled 2492,Unlabeled 2493,Unlabeled 2493,Unlabeled 2493,Unlabeled 2496,Unlabeled 2496,Unlabeled 2496,Unlabeled 2497,Unlabeled 2497,Unlabeled 2497,Unlabeled 2498,Unlabeled 2498,Unlabeled 2498,Unlabeled 2499,Unlabeled 2499,Unlabeled 2499,Unlabeled 2500,Unlabeled 2500,Unlabeled 2500,Unlabeled 2502,Unlabeled 2502,Unlabeled 2502,Unlabeled 2503,Unlabeled 2503,Unlabeled 2503,Unlabeled 2504,Unlabeled 2504,Unlabeled 2504
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","14D520","14D520","14D520","14D4E0","14D4E0","14D4E0","14D540","14D540","14D540","3271686BF3111EB6A3FE2211B005D8D","3271686BF3111EB6A3FE2211B005D8D","3271686BF3111EB6A3FE2211B005D8D","14D4F0","14D4F0","14D4F0","14D530","14D530","14D530","14D510","14D510","14D510","14D4D0","14D4D0","14D4D0","14D490","14D490","14D490","14D550","14D550","14D550","14D4C0","14D4C0","14D4C0","14D500","14D500","14D500","14D4A0","14D4A0","14D4A0","14D4B0","14D4B0","14D4B0","14D560","14D560","14D560","14D570","14D570","14D570","14D590","14D590","14D590","14D580","14D580","14D580","14D5A0","14D5A0","14D5A0","14D5C0","14D5C0","14D5C0","14D5F0","14D5F0","14D5F0","14D470","14D470","14D470","14D480","14D480","14D480","14D460","14D460","14D460","14D450","14D450","14D450","14D430","14D430","14D430","14D5E0","14D5E0","14D5E0","14D660","14D660","14D660"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.003115,-0.020498,0.007980,-0.999753,0.887015,0.127163,0.080010,0.000237,0.854723,0.080669,-0.072171,0.872565,0.915556,0.188698,0.129198,0.915345,0.848730,0.138591,0.179816,0.902676,0.868178,0.188785,0.133721,0.927610,0.938571,0.138271,0.175828,0.971229,0.894998,0.181027,0.191041,0.969317,0.810439,0.088391,0.108975,0.939923,0.971416,0.089451,0.095118,0.920391,0.910397,0.081364,-0.074537,0.945822,0.937857,0.112728,0.048508,0.904314,0.832919,0.111947,0.051465,0.782939,0.860397,0.126034,-0.006843,0.000000,0.854247,0.080821,-0.072269,0.937738,0.112603,0.048850,0.833308,0.111171,0.051445,,,,0.915805,0.188914,0.129275,0.848823,0.138420,0.179479,0.868034,0.189030,0.133663,0.938606,0.138354,0.175899,0.895110,0.181046,0.190994,0.810432,0.088522,0.108773,0.971200,0.089463,0.095352,0.910493,0.081554,-0.074500,0.859509,0.122912,-0.013675,0.825627,0.046230,0.043503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.003131,-0.020496,0.007965,-0.999753,0.887020,0.127154,0.080005,0.000241,0.854731,0.080663,-0.072177,0.872565,0.915559,0.188688,0.129195,0.915345,0.848735,0.138577,0.179812,0.902676,0.868181,0.188774,0.133718,0.927610,0.938575,0.138260,0.175824,0.971229,0.895001,0.181015,0.191038,0.969317,0.810446,0.088378,0.108968,0.939923,0.971422,0.089444,0.095113,0.920391,0.910404,0.081360,-0.074543,0.945822,0.937863,0.112721,0.048503,0.904314,0.832925,0.111937,0.051460,0.782939,0.860403,0.126027,-0.006847,0.000000,0.854253,0.080817,-0.072270,0.937741,0.112604,0.048840,0.833307,0.111150,0.051448,,,,0.915812,0.188909,0.129278,0.848848,0.138392,0.179459,0.868040,0.189032,0.133659,0.938604,0.138341,0.175900,0.895112,0.181034,0.190984,0.810432,0.088509,0.108764,0.971199,0.089455,0.095355,0.910505,0.081550,-0.074506,0.859502,0.122932,-0.013654,0.825624,0.046237,0.043502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.003160,-0.020491,0.008059,-0.999753,0.887028,0.127150,0.080009,0.000249,0.854731,0.080674,-0.072177,0.872487,0.915577,0.188677,0.129202,0.913641,0.848743,0.138575,0.179815,0.896565,0.868199,0.188771,0.133725,0.924982,0.938583,0.138241,0.175828,0.971431,0.895017,0.181004,0.191044,0.968998,0.810445,0.088388,0.108969,0.939250,0.971422,0.089424,0.095115,0.917662,0.910404,0.081361,-0.074542,0.945555,0.937868,0.112710,0.048506,0.905954,0.832929,0.111946,0.051461,0.781242,0.860411,0.126034,-0.006845,0.000000,0.854251,0.080812,-0.072270,0.937746,0.112595,0.048839,0.833307,0.111160,0.051435,,,,0.915906,0.188871,0.129345,0.848845,0.138393,0.179455,0.868029,0.189035,0.133664,0.938602,0.138341,0.175898,0.895119,0.181030,0.190986,0.810434,0.088510,0.108767,0.971192,0.089453,0.095340,0.910499,0.081549,-0.074512,0.859504,0.122920,-0.013654,0.825632,0.046199,0.043469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.003143,-0.020493,0.007951,-0.999754,0.887022,0.127130,0.080001,0.000240,0.854734,0.080643,-0.072183,0.873057,0.915558,0.188664,0.129193,0.898018,0.848735,0.138550,0.179808,0.895878,0.868180,0.188749,0.133715,0.919952,0.938575,0.138235,0.175820,0.969417,0.895000,0.180989,0.191035,0.969953,0.810448,0.088352,0.108962,0.940924,0.971424,0.089422,0.095108,0.919220,0.910408,0.081341,-0.074549,0.946893,0.937865,0.112700,0.048499,0.906854,0.832927,0.111913,0.051454,0.781939,0.860405,0.126005,-0.006852,0.000000,0.854250,0.080802,-0.072273,0.937747,0.112547,0.048829,0.833340,0.111131,0.051444,,,,0.915816,0.188918,0.129286,0.848856,0.138375,0.179462,0.868041,0.189028,0.133669,0.938607,0.138336,0.175906,0.895071,0.180963,0.190950,0.810438,0.088473,0.108765,0.971200,0.089427,0.095344,0.910502,0.081531,-0.074519,0.859500,0.122926,-0.013634,0.825635,0.046151,0.043449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.003148,-0.020484,0.008061,-0.999753,0.887026,0.127115,0.079995,0.000248,0.854731,0.080636,-0.072190,0.870664,0.915575,0.188643,0.129187,0.906633,0.848740,0.138543,0.179801,0.898556,0.868197,0.188737,0.133709,0.921213,0.938581,0.138208,0.175815,0.965895,0.895015,0.180971,0.191029,0.971475,0.810443,0.088354,0.108955,0.942183,0.971420,0.089388,0.095103,0.918543,0.910405,0.081322,-0.074555,0.946479,0.937867,0.112674,0.048493,0.904549,0.832928,0.111910,0.051447,0.778796,0.860411,0.125996,-0.006859,0.000000,0.854257,0.080778,-0.072289,0.937746,0.112527,0.048813,0.833301,0.111116,0.051431,,,,0.915917,0.188864,0.129338,0.848855,0.138377,0.179458,0.868039,0.189027,0.133655,0.938609,0.138334,0.175893,0.895076,0.180945,0.190942,0.810438,0.088464,0.108749,0.971183,0.089412,0.095328,0.910496,0.081517,-0.074523,0.859499,0.122969,-0.013601,0.825615,0.046130,0.043421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.003111,-0.020483,0.007983,-0.999754,0.887013,0.127119,0.079994,0.000237,0.854726,0.080623,-0.072187,0.873637,0.915552,0.188654,0.129183,0.891412,0.848725,0.138547,0.179800,0.900503,0.868174,0.188742,0.133704,0.916359,0.938566,0.138227,0.175814,0.962414,0.894993,0.180984,0.191025,0.972564,0.810436,0.088347,0.108957,0.941711,0.971413,0.089406,0.095106,0.918053,0.910399,0.081318,-0.074552,0.945624,0.937856,0.112683,0.048494,0.906981,0.832918,0.111903,0.051448,0.780647,0.860398,0.125990,-0.006859,0.000000,0.854253,0.080772,-0.072297,0.937714,0.112529,0.048824,0.833310,0.111132,0.051426,,,,0.915816,0.188907,0.129281,0.848825,0.138399,0.179490,0.868037,0.189028,0.133657,0.938620,0.138340,0.175901,0.895068,0.180938,0.190944,0.810443,0.088456,0.108752,0.971187,0.089403,0.095333,0.910498,0.081512,-0.074520,0.859488,0.122915,-0.013641,0.825617,0.046114,0.043431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
