Format Version,1.23,Take Name,N_60,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 03.19.30.588 PM,Total Frames in Take,948,Total Exported Frames,948,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 2546,Unlabeled 2546,Unlabeled 2546,Unlabeled 2548,Unlabeled 2548,Unlabeled 2548,Unlabeled 2549,Unlabeled 2549,Unlabeled 2549,Unlabeled 2550,Unlabeled 2550,Unlabeled 2550,Unlabeled 2551,Unlabeled 2551,Unlabeled 2551,Unlabeled 2552,Unlabeled 2552,Unlabeled 2552,Unlabeled 2553,Unlabeled 2553,Unlabeled 2553,Unlabeled 2554,Unlabeled 2554,Unlabeled 2554,Unlabeled 2555,Unlabeled 2555,Unlabeled 2555,Unlabeled 2556,Unlabeled 2556,Unlabeled 2556
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","151CC0","151CC0","151CC0","151C60","151C60","151C60","151CE0","151CE0","151CE0","155410","155410","155410","151C80","151C80","151C80","151CD0","151CD0","151CD0","151CA0","151CA0","151CA0","151C70","151C70","151C70","1542C0","1542C0","1542C0","151CF0","151CF0","151CF0","151C50","151C50","151C50","151AE0","151AE0","151AE0","155420","155420","155420","1553E0","1553E0","1553E0","155450","155450","155450","1553A0","1553A0","1553A0","1553D0","1553D0","1553D0","155440","155440","155440","155400","155400","155400","1553B0","1553B0","1553B0","155470","155470","155470","155460","155460","155460"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.002963,-0.015105,0.006997,-0.999857,1.173779,0.126130,0.074608,0.000229,1.143222,0.079521,-0.077895,0.935365,1.201668,0.187737,0.124079,0.949486,1.134398,0.137517,0.173992,0.854774,1.154244,0.187734,0.128091,0.891302,1.224276,0.137370,0.170973,0.962864,1.180459,0.180047,0.185699,0.967488,1.096971,0.087219,0.102759,0.902884,1.258085,0.088587,0.090640,0.929939,1.198916,0.080324,-0.079661,0.974419,1.224986,0.111783,0.043662,0.914720,1.120024,0.110799,0.045487,0.803681,1.148103,0.124920,-0.012526,0.000000,1.143007,0.079661,-0.077925,1.224881,0.111782,0.043987,1.120323,0.110134,0.045196,,,,1.201628,0.187693,0.123886,1.134884,0.137226,0.174118,1.154053,0.188111,0.127989,1.224187,0.137392,0.171090,1.180589,0.180058,0.185700,1.096853,0.087548,0.102588,1.257925,0.088608,0.090870,1.198921,0.080425,-0.079673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.002864,-0.014863,0.007207,-0.999860,1.173752,0.126152,0.074566,0.000223,1.143249,0.079525,-0.077943,0.935365,1.201643,0.187758,0.124037,0.949486,1.134327,0.137577,0.173928,0.854774,1.154217,0.187775,0.128026,0.891302,1.224207,0.137391,0.170953,0.962864,1.180401,0.180090,0.185649,0.967488,1.096913,0.087279,0.102688,0.902884,1.258034,0.088578,0.090646,0.929939,1.198944,0.080304,-0.079682,0.974419,1.224968,0.111777,0.043648,0.914720,1.120004,0.110838,0.045422,0.803681,1.148117,0.124935,-0.012580,0.000000,1.142996,0.079674,-0.077926,1.224884,0.111774,0.043969,1.120318,0.110140,0.045189,,,,1.201626,0.187703,0.123890,1.134577,0.137412,0.173723,1.154048,0.188117,0.127988,1.224185,0.137409,0.171094,1.180589,0.180057,0.185684,1.096848,0.087554,0.102580,1.257925,0.088624,0.090867,1.198910,0.080430,-0.079685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.003007,-0.015112,0.007001,-0.999857,1.173774,0.126137,0.074601,0.000227,1.143215,0.079542,-0.077907,0.926598,1.201664,0.187740,0.124077,0.960439,1.134394,0.137516,0.173986,0.909255,1.154240,0.187736,0.128089,0.904308,1.224273,0.137368,0.170966,0.964036,1.180456,0.180045,0.185697,0.951532,1.096966,0.087224,0.102749,0.924403,1.258080,0.088592,0.090628,0.937491,1.198909,0.080344,-0.079673,0.967381,1.224981,0.111792,0.043653,0.917021,1.120018,0.110810,0.045479,0.799893,1.148097,0.124935,-0.012533,0.000000,1.142998,0.079665,-0.077929,1.224879,0.111783,0.043977,1.120319,0.110147,0.045193,,,,1.201623,0.187696,0.123889,1.134869,0.137228,0.174115,1.154050,0.188109,0.127982,1.224188,0.137396,0.171086,1.180592,0.180057,0.185685,1.096848,0.087552,0.102585,1.257914,0.088607,0.090875,1.198914,0.080471,-0.079715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.002965,-0.014799,0.007437,-0.999858,1.173777,0.126173,0.074580,0.000215,1.143272,0.079589,-0.077942,0.937543,1.201690,0.187756,0.124067,0.950817,1.134345,0.137596,0.173939,0.857288,1.154263,0.187795,0.128049,0.892128,1.224225,0.137370,0.170975,0.962697,1.180437,0.180086,0.185674,0.965766,1.096917,0.087330,0.102684,0.903861,1.258040,0.088556,0.090664,0.925743,1.198968,0.080343,-0.079674,0.966657,1.224990,0.111780,0.043665,0.915053,1.120026,0.110890,0.045426,0.804623,1.148152,0.124985,-0.012570,0.000000,1.143026,0.079706,-0.077939,1.224881,0.111782,0.043989,1.120316,0.110164,0.045183,,,,1.201849,0.187739,0.124086,1.134582,0.137436,0.173717,1.154045,0.188121,0.127985,1.224191,0.137401,0.171092,1.180596,0.180073,0.185684,1.096844,0.087578,0.102578,1.257923,0.088618,0.090865,1.198921,0.080468,-0.079714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.002933,-0.015329,0.006639,-0.999856,1.173804,0.126128,0.074639,0.000246,1.143212,0.079490,-0.077849,0.932012,1.201670,0.187757,0.124095,0.959796,1.134458,0.137491,0.174039,0.909414,1.154248,0.187720,0.128127,0.900571,1.224336,0.137408,0.170981,0.968548,1.180495,0.180055,0.185725,0.959918,1.097036,0.087163,0.102826,0.930182,1.258144,0.088646,0.090635,0.939930,1.198905,0.080332,-0.079639,0.965122,1.225007,0.111816,0.043671,0.914557,1.120047,0.110757,0.045542,0.795359,1.148089,0.124895,-0.012484,0.000000,1.143024,0.079697,-0.077935,1.224882,0.111776,0.043987,1.120322,0.110167,0.045193,,,,1.201622,0.187705,0.123890,1.134880,0.137234,0.174117,1.154056,0.188123,0.127989,1.224193,0.137405,0.171099,1.180606,0.180064,0.185692,1.097135,0.087417,0.102916,1.257920,0.088620,0.090876,1.198917,0.080427,-0.079672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.002965,-0.015094,0.007030,-0.999857,1.173774,0.126135,0.074601,0.000228,1.143217,0.079528,-0.077903,0.926709,1.201666,0.187740,0.124072,0.945759,1.134391,0.137524,0.173983,0.874909,1.154242,0.187740,0.128083,0.883137,1.224270,0.137371,0.170967,0.953612,1.180455,0.180052,0.185692,0.970958,1.096962,0.087229,0.102750,0.928124,1.258077,0.088586,0.090635,0.917534,1.198911,0.080327,-0.079668,0.974882,1.224981,0.111784,0.043656,0.914462,1.120018,0.110808,0.045478,0.815351,1.148099,0.124927,-0.012534,0.000000,1.142995,0.079670,-0.077921,1.224874,0.111776,0.043976,1.120327,0.110148,0.045186,,,,1.201622,0.187692,0.123887,1.134872,0.137224,0.174108,1.154056,0.188122,0.127985,1.224182,0.137398,0.171082,1.180586,0.180063,0.185683,1.096845,0.087556,0.102569,1.257921,0.088613,0.090873,1.198912,0.080428,-0.079683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
