Format Version,1.23,Take Name,N_75,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 03.21.55.049 PM,Total Frames in Take,966,Total Exported Frames,966,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 2674,Unlabeled 2674,Unlabeled 2674,Unlabeled 2675,Unlabeled 2675,Unlabeled 2675,Unlabeled 2676,Unlabeled 2676,Unlabeled 2676,Unlabeled 2677,Unlabeled 2677,Unlabeled 2677,Unlabeled 2680,Unlabeled 2680,Unlabeled 2680,Unlabeled 2683,Unlabeled 2683,Unlabeled 2683,Unlabeled 2684,Unlabeled 2684,Unlabeled 2684,Unlabeled 2685,Unlabeled 2685,Unlabeled 2685,Unlabeled 2686,Unlabeled 2686,Unlabeled 2686
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","159090","159090","159090","159080","159080","159080","159060","159060","159060","8CCD1BBDBF3111EB6A3FE2211B005D8D","8CCD1BBDBF3111EB6A3FE2211B005D8D","8CCD1BBDBF3111EB6A3FE2211B005D8D","158FF0","158FF0","158FF0","159010","159010","159010","159040","159040","159040","159050","159050","159050","159030","159030","159030","159020","159020","159020","159070","159070","159070","1590A0","1590A0","1590A0","159000","159000","159000","1590B0","1590B0","1590B0","158FB0","158FB0","158FB0","1590C0","1590C0","1590C0","1590D0","1590D0","1590D0","159130","159130","159130","159140","159140","159140","159110","159110","159110","159150","159150","159150"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.001919,0.939054,-0.027207,0.342687,0.173787,0.126232,-0.627021,0.000189,0.093564,0.086801,-0.491474,0.866711,0.187764,0.185415,-0.684663,0.942643,0.269690,0.133113,-0.675113,0.937317,0.225767,0.185347,-0.656012,0.913708,0.200717,0.132876,-0.732818,0.950843,0.244409,0.174939,-0.716089,0.951940,0.248643,0.086258,-0.595324,0.941723,0.120579,0.087773,-0.693833,0.915135,0.050920,0.087542,-0.527342,0.923216,0.114599,0.113200,-0.637635,0.946244,0.193981,0.112402,-0.568938,0.840135,0.134808,0.129117,-0.545012,0.000000,0.093886,0.087086,-0.491157,0.114580,0.113374,-0.637760,0.193997,0.111775,-0.569065,,,,0.187691,0.185373,-0.684449,0.269469,0.133000,-0.675149,0.225580,0.185585,-0.656178,0.200827,0.132764,-0.732701,0.244483,0.175068,-0.715967,0.248508,0.086406,-0.595444,0.120908,0.087689,-0.693812,0.050702,0.087548,-0.527558,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.001904,0.939040,-0.027232,0.342724,0.173795,0.126242,-0.627009,0.000176,0.093562,0.086817,-0.491466,0.866711,0.187775,0.185421,-0.684653,0.942643,0.269702,0.133121,-0.675094,0.937317,0.225776,0.185356,-0.655999,0.913708,0.200733,0.132880,-0.732805,0.950843,0.244423,0.174944,-0.716074,0.951940,0.248649,0.086270,-0.595303,0.941723,0.120593,0.087778,-0.693823,0.915135,0.050921,0.087556,-0.527337,0.923216,0.114608,0.113208,-0.637626,0.946244,0.193985,0.112415,-0.568923,0.840135,0.134810,0.129131,-0.545003,0.000000,0.093884,0.087103,-0.491151,0.114582,0.113392,-0.637763,0.193997,0.111792,-0.569066,,,,0.187688,0.185383,-0.684455,0.269474,0.132997,-0.675142,0.225573,0.185594,-0.656173,0.200830,0.132780,-0.732703,0.244477,0.175085,-0.715964,0.248608,0.086358,-0.595301,0.120910,0.087721,-0.693821,0.050703,0.087560,-0.527562,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.001904,0.939050,-0.027205,0.342698,0.173789,0.126253,-0.627019,0.000191,0.093565,0.086821,-0.491473,0.866628,0.187766,0.185436,-0.684661,0.945122,0.269693,0.133137,-0.675109,0.934097,0.225768,0.185370,-0.656009,0.910413,0.200721,0.132898,-0.732816,0.956914,0.244412,0.174962,-0.716086,0.953333,0.248646,0.086281,-0.595320,0.975617,0.120585,0.087792,-0.693832,0.919513,0.050921,0.087561,-0.527342,0.921682,0.114602,0.113220,-0.637634,0.942308,0.193983,0.112424,-0.568936,0.840342,0.134809,0.129138,-0.545011,0.000000,0.093896,0.087107,-0.491146,0.114581,0.113396,-0.637764,0.194000,0.111799,-0.569059,,,,0.187687,0.185397,-0.684457,0.269473,0.133015,-0.675143,0.225581,0.185604,-0.656173,0.200838,0.132780,-0.732695,0.244478,0.175095,-0.715958,0.248507,0.086429,-0.595441,0.120920,0.087717,-0.693821,0.050702,0.087562,-0.527562,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.001909,0.939034,-0.027236,0.342740,0.173800,0.126238,-0.627012,0.000179,0.093563,0.086815,-0.491472,0.863404,0.187784,0.185418,-0.684657,0.944483,0.269709,0.133116,-0.675094,0.936449,0.225783,0.185352,-0.656001,0.914532,0.200742,0.132876,-0.732807,0.948596,0.244432,0.174940,-0.716075,0.950967,0.248653,0.086266,-0.595304,0.940941,0.120601,0.087775,-0.693828,0.914054,0.050922,0.087554,-0.527344,0.922346,0.114614,0.113205,-0.637632,0.944942,0.193988,0.112411,-0.568926,0.840843,0.134813,0.129128,-0.545008,0.000000,0.093886,0.087093,-0.491157,0.114598,0.113421,-0.637791,0.194001,0.111790,-0.569069,,,,0.187685,0.185386,-0.684461,0.269482,0.132996,-0.675133,0.225585,0.185588,-0.656170,0.200831,0.132767,-0.732705,0.244488,0.175072,-0.715964,0.248618,0.086355,-0.595306,0.120916,0.087705,-0.693820,0.050703,0.087556,-0.527564,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.001910,0.939048,-0.027235,0.342702,0.173789,0.126243,-0.627026,0.000189,0.093563,0.086821,-0.491479,0.867621,0.187768,0.185423,-0.684671,0.944586,0.269694,0.133122,-0.675115,0.934866,0.225770,0.185357,-0.656018,0.912127,0.200723,0.132882,-0.732822,0.956558,0.244414,0.174945,-0.716094,0.954545,0.248644,0.086271,-0.595324,0.976176,0.120584,0.087780,-0.693837,0.919276,0.050919,0.087560,-0.527348,0.922299,0.114602,0.113211,-0.637640,0.932894,0.193982,0.112416,-0.568941,0.840614,0.134808,0.129133,-0.545018,0.000000,0.093887,0.087099,-0.491158,0.114583,0.113410,-0.637776,0.194006,0.111796,-0.569077,,,,0.187692,0.185383,-0.684461,0.269481,0.132994,-0.675146,0.225575,0.185579,-0.656171,0.200826,0.132770,-0.732700,0.244483,0.175081,-0.715972,0.248512,0.086426,-0.595448,0.120919,0.087682,-0.693808,0.050698,0.087567,-0.527571,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.001923,0.939050,-0.027218,0.342696,0.173788,0.126251,-0.627029,0.000191,0.093563,0.086824,-0.491483,0.866536,0.187767,0.185433,-0.684672,0.943372,0.269693,0.133130,-0.675119,0.937305,0.225770,0.185365,-0.656020,0.916818,0.200720,0.132893,-0.732826,0.951097,0.244413,0.174956,-0.716096,0.951119,0.248643,0.086276,-0.595329,0.940244,0.120582,0.087792,-0.693841,0.912478,0.050919,0.087565,-0.527351,0.921493,0.114601,0.113220,-0.637644,0.939530,0.193981,0.112421,-0.568945,0.841157,0.134808,0.129138,-0.545021,0.000000,0.093889,0.087107,-0.491160,0.114594,0.113415,-0.637795,0.194000,0.111800,-0.569072,,,,0.187686,0.185397,-0.684458,0.269478,0.133015,-0.675154,0.225573,0.185584,-0.656174,0.200830,0.132779,-0.732702,0.244482,0.175084,-0.715974,0.248507,0.086424,-0.595450,0.120913,0.087701,-0.693823,0.050699,0.087570,-0.527563,,,,,,,,,,,,,,,,,,,,,,,,,,,
