Format Version,1.23,Take Name,N_85,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 03.23.01.737 PM,Total Frames in Take,955,Total Exported Frames,955,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 2756,Unlabeled 2756,Unlabeled 2756,Unlabeled 2757,Unlabeled 2757,Unlabeled 2757,Unlabeled 2758,Unlabeled 2758,Unlabeled 2758,Unlabeled 2759,Unlabeled 2759,Unlabeled 2759,Unlabeled 2760,Unlabeled 2760,Unlabeled 2760,Unlabeled 2761,Unlabeled 2761,Unlabeled 2761,Unlabeled 2762,Unlabeled 2762,Unlabeled 2762,Unlabeled 2763,Unlabeled 2763,Unlabeled 2763,Unlabeled 2764,Unlabeled 2764,Unlabeled 2764,Unlabeled 2765,Unlabeled 2765,Unlabeled 2765,Unlabeled 2767,Unlabeled 2767,Unlabeled 2767
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","159320","159320","159320","159350","159350","159350","159340","159340","159340","B6A25FD0BF3111EB6A3FE2211B005D8D","B6A25FD0BF3111EB6A3FE2211B005D8D","B6A25FD0BF3111EB6A3FE2211B005D8D","159390","159390","159390","1593A0","1593A0","1593A0","159370","159370","159370","1593C0","1593C0","1593C0","1593B0","1593B0","1593B0","159360","159360","159360","159380","159380","159380","159330","159330","159330","159310","159310","159310","1593D0","1593D0","1593D0","1593E0","1593E0","1593E0","159170","159170","159170","1593F0","1593F0","1593F0","159400","159400","159400","159410","159410","159410","159430","159430","159430","159420","159420","159420","159440","159440","159440","159460","159460","159460"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.009410,0.825045,-0.005728,-0.564960,0.274166,0.128752,0.375130,0.000205,0.427036,0.084162,0.406849,0.949282,0.217049,0.189779,0.380951,0.956799,0.197865,0.138564,0.300033,0.930654,0.231835,0.189510,0.335713,0.950194,0.165621,0.138857,0.383983,0.942883,0.168655,0.181128,0.337485,0.978154,0.278612,0.089109,0.293799,0.925814,0.226972,0.091361,0.446883,0.926330,0.406949,0.085236,0.458820,0.891519,0.282870,0.115069,0.434482,0.905402,0.322104,0.113596,0.337117,0.764976,0.364426,0.128657,0.385442,0.000000,0.427011,0.084131,0.406650,0.282660,0.115048,0.434168,0.321798,0.112866,0.337623,,,,0.217199,0.189779,0.381035,0.197892,0.138528,0.300307,0.231930,0.189670,0.335783,0.165609,0.138828,0.383757,0.168638,0.181156,0.337566,0.278786,0.089349,0.293815,0.226848,0.091370,0.446615,0.407178,0.085604,0.458825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.009421,0.825051,-0.005719,-0.564951,0.274162,0.128754,0.375130,0.000204,0.427032,0.084164,0.406851,0.949282,0.217044,0.189781,0.380951,0.956799,0.197863,0.138567,0.300032,0.930654,0.231832,0.189512,0.335714,0.950194,0.165617,0.138858,0.383981,0.942883,0.168652,0.181131,0.337485,0.978154,0.278611,0.089114,0.293798,0.925814,0.226967,0.091360,0.446881,0.926330,0.406944,0.085236,0.458822,0.891519,0.282865,0.115070,0.434482,0.905402,0.322101,0.113599,0.337118,0.764976,0.364422,0.128659,0.385444,0.000000,0.427006,0.084138,0.406652,0.282653,0.115050,0.434165,0.321793,0.112867,0.337617,,,,0.217193,0.189785,0.381037,0.197894,0.138521,0.300306,0.231926,0.189675,0.335777,0.165600,0.138825,0.383752,0.168649,0.181163,0.337577,0.278781,0.089357,0.293814,0.226842,0.091366,0.446618,0.407174,0.085602,0.458830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.009468,0.825052,-0.005705,-0.564948,0.274163,0.128767,0.375136,0.000202,0.427035,0.084184,0.406855,0.949439,0.217041,0.189790,0.380962,0.957109,0.197863,0.138581,0.300038,0.930223,0.231829,0.189526,0.335725,0.950475,0.165617,0.138863,0.383987,0.941892,0.168649,0.181140,0.337494,0.975529,0.278614,0.089133,0.293801,0.925624,0.226970,0.091365,0.446884,0.927186,0.406947,0.085251,0.458825,0.891931,0.282867,0.115079,0.434487,0.904447,0.322103,0.113618,0.337123,0.765447,0.364423,0.128677,0.385451,0.000000,0.427009,0.084155,0.406658,0.282655,0.115051,0.434172,0.321797,0.112887,0.337628,,,,0.217192,0.189800,0.381043,0.197893,0.138542,0.300306,0.231926,0.189694,0.335782,0.165602,0.138821,0.383763,0.168644,0.181172,0.337586,0.278776,0.089373,0.293810,0.226849,0.091370,0.446626,0.407175,0.085622,0.458835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.009469,0.825059,-0.005679,-0.564939,0.274162,0.128775,0.375133,0.000201,0.427032,0.084187,0.406853,0.949927,0.217042,0.189799,0.380960,0.957038,0.197864,0.138595,0.300034,0.931889,0.231830,0.189537,0.335723,0.949295,0.165616,0.138874,0.383982,0.942691,0.168651,0.181153,0.337491,0.975543,0.278614,0.089145,0.293796,0.927560,0.226966,0.091371,0.446878,0.928735,0.406943,0.085252,0.458823,0.891141,0.282864,0.115084,0.434483,0.904915,0.322102,0.113627,0.337120,0.765055,0.364421,0.128682,0.385449,0.000000,0.427006,0.084153,0.406656,0.282652,0.115064,0.434174,0.321794,0.112895,0.337623,,,,0.217194,0.189804,0.381041,0.197901,0.138552,0.300305,0.231916,0.189701,0.335780,0.165598,0.138835,0.383756,0.168648,0.181187,0.337580,0.278781,0.089391,0.293804,0.226842,0.091374,0.446623,0.407176,0.085622,0.458830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.009409,0.825050,-0.005738,-0.564952,0.274163,0.128754,0.375129,0.000204,0.427032,0.084165,0.406852,0.949659,0.217045,0.189780,0.380947,0.956834,0.197863,0.138563,0.300030,0.930848,0.231832,0.189510,0.335710,0.951589,0.165618,0.138857,0.383980,0.942469,0.168652,0.181128,0.337481,0.975947,0.278611,0.089109,0.293798,0.925555,0.226968,0.091362,0.446881,0.929082,0.406945,0.085240,0.458823,0.890741,0.282866,0.115072,0.434481,0.906284,0.322102,0.113597,0.337117,0.765082,0.364423,0.128659,0.385443,0.000000,0.427000,0.084139,0.406645,0.282654,0.115048,0.434168,0.321804,0.112864,0.337621,,,,0.217192,0.189779,0.381029,0.197900,0.138522,0.300304,0.231925,0.189678,0.335775,0.165594,0.138833,0.383756,0.168647,0.181155,0.337568,0.278786,0.089349,0.293811,0.226843,0.091367,0.446623,0.407174,0.085608,0.458830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.009388,0.825064,-0.005718,-0.564932,0.274168,0.128760,0.375127,0.000206,0.427033,0.084163,0.406857,0.947152,0.217053,0.189790,0.380943,0.957791,0.197873,0.138575,0.300025,0.930157,0.231843,0.189519,0.335707,0.949540,0.165623,0.138870,0.383973,0.943310,0.168662,0.181141,0.337475,0.977191,0.278618,0.089116,0.293796,0.925668,0.226968,0.091371,0.446877,0.928148,0.406944,0.085238,0.458827,0.891483,0.282868,0.115077,0.434479,0.905260,0.322108,0.113601,0.337117,0.765339,0.364427,0.128660,0.385445,0.000000,0.427005,0.084130,0.406642,0.282650,0.115055,0.434167,0.321805,0.112873,0.337616,,,,0.217197,0.189784,0.381028,0.197941,0.138567,0.300286,0.231932,0.189669,0.335783,0.165593,0.138845,0.383745,0.168644,0.181159,0.337566,0.278788,0.089339,0.293817,0.226835,0.091385,0.446618,0.407184,0.085615,0.458833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
