Format Version,1.23,Take Name,P_100,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 12.33.40.592 PM,Total Frames in Take,782,Total Exported Frames,782,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","C3530","C3530","C3530","C3590","C3590","C3590","C3500","C3500","C3500","C3580","C3580","C3580","C3570","C3570","C3570","C3510","C3510","C3510","C3540","C3540","C3540","C3520","C3520","C3520","C3560","C3560","C3560","C35A0","C35A0","C35A0","C3550","C3550","C3550","C35B0","C35B0","C35B0","C35C0","C35C0","C35C0","C35D0","C35D0","C35D0","C35F0","C35F0","C35F0","C3600","C3600","C3600","C3630","C3630","C3630","C3640","C3640","C3640","C3620","C3620","C3620","C3610","C3610","C3610","C3650","C3650","C3650","C3690","C3690","C3690","C36A0","C36A0","C36A0","C36B0","C36B0","C36B0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.007815,0.097755,0.010236,-0.995127,-0.347711,0.129150,-0.183689,0.000143,-0.343600,0.083889,-0.339567,0.922846,-0.331228,0.190170,-0.128685,0.934578,-0.408296,0.140148,-0.095564,0.963722,-0.378344,0.190527,-0.135404,0.956641,-0.320031,0.139284,-0.078363,0.934141,-0.365760,0.182213,-0.073455,0.963938,-0.429123,0.090671,-0.173814,0.960704,-0.269387,0.090802,-0.149503,0.934766,-0.288923,0.084246,-0.328799,0.961505,-0.290963,0.114605,-0.202497,0.900134,-0.393667,0.114471,-0.224252,0.907578,-0.353207,0.128776,-0.274369,0.000000,-0.343569,0.083655,-0.339369,-0.291223,0.114358,-0.202321,-0.393718,0.114796,-0.224421,-0.331435,0.190033,-0.128601,-0.408252,0.140284,-0.095585,-0.378446,0.190389,-0.135387,-0.319869,0.139226,-0.078563,-0.365660,0.182113,-0.073428,-0.429008,0.090778,-0.173818,-0.269320,0.091031,-0.149607,-0.288823,0.084363,-0.328803,-0.413998,0.023970,-0.302532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.007800,0.097743,0.010235,-0.995129,-0.347714,0.129159,-0.183691,0.000144,-0.343607,0.083894,-0.339568,0.923365,-0.331230,0.190181,-0.128688,0.935890,-0.408297,0.140159,-0.095564,0.962316,-0.378345,0.190538,-0.135407,0.954258,-0.320032,0.139296,-0.078366,0.933638,-0.365760,0.182225,-0.073458,0.961847,-0.429126,0.090681,-0.173813,0.960164,-0.269389,0.090812,-0.149505,0.935287,-0.288930,0.084251,-0.328801,0.960845,-0.290966,0.114614,-0.202500,0.897701,-0.393670,0.114479,-0.224252,0.908544,-0.353212,0.128783,-0.274371,0.000000,-0.343574,0.083665,-0.339366,-0.291233,0.114356,-0.202327,-0.393709,0.114800,-0.224424,-0.331435,0.190046,-0.128614,-0.408259,0.140304,-0.095578,-0.378454,0.190392,-0.135388,-0.319870,0.139247,-0.078571,-0.365658,0.182116,-0.073427,-0.429010,0.090791,-0.173813,-0.269321,0.091039,-0.149608,-0.288830,0.084372,-0.328805,-0.413641,0.024164,-0.302586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.007860,0.097742,0.010273,-0.995128,-0.347711,0.129154,-0.183687,0.000145,-0.343606,0.083908,-0.339570,0.923365,-0.331223,0.190168,-0.128677,0.935890,-0.408293,0.140147,-0.095559,0.962316,-0.378338,0.190529,-0.135395,0.954258,-0.320028,0.139276,-0.078361,0.933638,-0.365754,0.182208,-0.073448,0.961847,-0.429125,0.090680,-0.173814,0.960164,-0.269388,0.090797,-0.149506,0.935287,-0.288930,0.084261,-0.328803,0.960845,-0.290964,0.114607,-0.202498,0.897701,-0.393668,0.114482,-0.224250,0.908544,-0.353209,0.128790,-0.274367,0.000000,-0.343581,0.083702,-0.339376,-0.291221,0.114366,-0.202323,-0.393712,0.114797,-0.224420,-0.331424,0.190008,-0.128593,-0.408254,0.140272,-0.095570,-0.378446,0.190377,-0.135381,-0.319866,0.139236,-0.078564,-0.365652,0.182119,-0.073432,-0.429016,0.090797,-0.173817,-0.269318,0.091030,-0.149605,-0.288828,0.084360,-0.328800,-0.413645,0.024192,-0.302571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.007859,0.097740,0.010240,-0.995128,-0.347713,0.129149,-0.183688,0.000144,-0.343607,0.083902,-0.339570,0.933119,-0.331229,0.190164,-0.128678,0.933871,-0.408296,0.140139,-0.095560,0.961091,-0.378345,0.190522,-0.135396,0.954051,-0.320031,0.139274,-0.078362,0.933871,-0.365759,0.182202,-0.073449,0.964286,-0.429125,0.090669,-0.173814,0.961879,-0.269388,0.090798,-0.149507,0.935273,-0.288930,0.084259,-0.328803,0.963603,-0.290966,0.114606,-0.202499,0.898561,-0.393670,0.114474,-0.224251,0.913868,-0.353212,0.128784,-0.274368,0.000000,-0.343584,0.083710,-0.339385,-0.291230,0.114351,-0.202328,-0.393712,0.114774,-0.224416,-0.331434,0.190025,-0.128585,-0.408260,0.140290,-0.095569,-0.378450,0.190372,-0.135394,-0.319870,0.139226,-0.078566,-0.365653,0.182110,-0.073426,-0.429008,0.090767,-0.173817,-0.269321,0.091027,-0.149607,-0.288824,0.084358,-0.328797,-0.413983,0.023961,-0.302524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.007815,0.097759,0.010229,-0.995127,-0.347710,0.129146,-0.183681,0.000146,-0.343597,0.083884,-0.339559,0.933119,-0.331229,0.190166,-0.128676,0.933871,-0.408296,0.140142,-0.095556,0.961091,-0.378344,0.190523,-0.135395,0.954051,-0.320031,0.139280,-0.078354,0.933871,-0.365761,0.182208,-0.073447,0.964286,-0.429121,0.090665,-0.173806,0.961879,-0.269386,0.090798,-0.149493,0.935273,-0.288920,0.084243,-0.328790,0.963603,-0.290961,0.114601,-0.202488,0.898561,-0.393665,0.114466,-0.224244,0.913868,-0.353205,0.128772,-0.274360,0.000000,-0.343568,0.083654,-0.339353,-0.291227,0.114357,-0.202317,-0.393707,0.114784,-0.224415,-0.331440,0.190029,-0.128584,-0.408253,0.140274,-0.095566,-0.378448,0.190374,-0.135383,-0.319870,0.139225,-0.078565,-0.365654,0.182113,-0.073420,-0.429008,0.090784,-0.173812,-0.269320,0.091025,-0.149598,-0.288815,0.084357,-0.328794,-0.413999,0.023998,-0.302532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.343567,0.083678,-0.339359,-0.291220,0.114389,-0.202314,-0.393711,0.114815,-0.224410,-0.331438,0.190086,-0.128586,-0.408257,0.140306,-0.095567,-0.378455,0.190400,-0.135380,-0.319878,0.139253,-0.078548,-0.365660,0.182130,-0.073413,-0.428979,0.090817,-0.173791,-0.269323,0.091053,-0.149587,-0.288821,0.084391,-0.328789,-0.413997,0.023980,-0.302523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
