Format Version,1.23,Take Name,P_15,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 02.53.12.198 PM,Total Frames in Take,705,Total Exported Frames,705,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 1850,Unlabeled 1850,Unlabeled 1850,Unlabeled 1851,Unlabeled 1851,Unlabeled 1851,Unlabeled 1853,Unlabeled 1853,Unlabeled 1853,Unlabeled 1855,Unlabeled 1855,Unlabeled 1855,Unlabeled 1857,Unlabeled 1857,Unlabeled 1857,Unlabeled 1858,Unlabeled 1858,Unlabeled 1858
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","11EBD0","11EBD0","11EBD0","11EC30","11EC30","11EC30","11E840","11E840","11E840","11EC10","11EC10","11EC10","11EC60","11EC60","11EC60","11EC00","11EC00","11EC00","11EC40","11EC40","11EC40","11EBF0","11EBF0","11EBF0","89C3B27ABF2D11EB6A3FE2211B005D8D","89C3B27ABF2D11EB6A3FE2211B005D8D","89C3B27ABF2D11EB6A3FE2211B005D8D","11EC20","11EC20","11EC20","11EBE0","11EBE0","11EBE0","11EB50","11EB50","11EB50","11EC50","11EC50","11EC50","11E8B0","11E8B0","11E8B0","11EC70","11EC70","11EC70","11EC90","11EC90","11EC90","11ECA0","11ECA0","11ECA0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.007695,-0.008535,0.010805,-0.999876,-1.898831,0.144919,-1.833593,0.000850,-1.927730,0.099957,-1.986912,0.331778,-1.871123,0.205847,-1.783189,0.792281,-1.939434,0.155700,-1.734634,0.000000,-1.918595,0.206180,-1.779801,0.646406,-1.849527,0.154875,-1.736472,0.888093,-1.893203,0.197758,-1.721927,0.954989,-1.976304,0.106355,-1.806818,0.000000,-1.815038,0.106569,-1.816804,0.947851,-1.872013,0.100338,-1.987938,0.894245,-1.847332,0.130455,-1.863996,0.859467,-1.952314,0.130280,-1.863560,0.000000,-1.923363,0.144713,-1.921065,0.000000,-1.925406,0.100572,-1.985743,-1.847816,0.130172,-1.864043,,,,-1.870504,0.206214,-1.782773,,,,-1.919661,0.205559,-1.780494,-1.849209,0.155014,-1.736755,-1.893262,0.197686,-1.722082,,,,-1.815238,0.106523,-1.816842,-1.871943,0.100555,-1.987582,,,,,,,,,,,,,,,,,,
1,0.008333,-0.007669,-0.008592,0.010765,-0.999876,-1.898860,0.144925,-1.833599,0.000889,-1.927773,0.099953,-1.986912,0.331778,-1.871152,0.205858,-1.783201,0.792281,-1.939453,0.155707,-1.734636,0.000000,-1.918623,0.206186,-1.779808,0.646406,-1.849546,0.154889,-1.736484,0.888093,-1.893224,0.197769,-1.721936,0.954989,-1.976327,0.106356,-1.806813,0.000000,-1.815062,0.106582,-1.816818,0.947851,-1.872056,0.100339,-1.987945,0.894245,-1.847364,0.130464,-1.864007,0.859467,-1.952345,0.130280,-1.863559,0.000000,-1.923401,0.144712,-1.921068,0.000000,-1.925294,0.100654,-1.985657,-1.847808,0.130185,-1.864036,,,,-1.870525,0.206228,-1.782795,,,,-1.919708,0.205555,-1.780514,-1.849223,0.155017,-1.736764,-1.893257,0.197707,-1.722073,,,,-1.815242,0.106543,-1.816840,-1.871920,0.100577,-1.987552,,,,,,,,,,,,,,,,,,
2,0.016667,-0.007735,-0.008504,0.010908,-0.999874,-1.898828,0.144942,-1.833580,0.000894,-1.927726,0.099999,-1.986904,0.283597,-1.871110,0.205861,-1.783169,0.791600,-1.939434,0.155724,-1.734623,0.000000,-1.918582,0.206203,-1.779784,0.639803,-1.849527,0.154880,-1.736455,0.888506,-1.893196,0.197771,-1.721909,0.961526,-1.976310,0.106393,-1.806812,0.000000,-1.815043,0.106574,-1.816789,0.953581,-1.872009,0.100369,-1.987927,0.880172,-1.847330,0.130471,-1.863980,0.868663,-1.952312,0.130317,-1.863551,0.000000,-1.923353,0.144748,-1.921053,0.000000,-1.925291,0.100667,-1.985668,-1.847812,0.130177,-1.864032,,,,-1.870440,0.206242,-1.782701,,,,-1.919674,0.205567,-1.780500,-1.849192,0.155022,-1.736748,-1.893261,0.197708,-1.722068,,,,-1.815232,0.106534,-1.816831,-1.871880,0.100601,-1.987527,,,,,,,,,,,,,,,,,,
3,0.025000,-0.007662,-0.008591,0.010664,-0.999877,-1.898874,0.144902,-1.833601,0.000879,-1.927777,0.099923,-1.986914,0.297166,-1.871178,0.205842,-1.783203,0.774598,-1.939469,0.155678,-1.734638,0.000000,-1.918649,0.206161,-1.779811,0.636903,-1.849562,0.154878,-1.736486,0.883133,-1.893249,0.197749,-1.721938,0.954230,-1.976333,0.106318,-1.806815,0.000000,-1.815068,0.106577,-1.816819,0.950725,-1.872060,0.100320,-1.987946,0.879972,-1.847374,0.130451,-1.864008,0.858217,-1.952356,0.130246,-1.863561,0.000000,-1.923415,0.144684,-1.921070,0.000000,-1.925291,0.100637,-1.985669,-1.847849,0.130145,-1.864046,,,,-1.870563,0.206223,-1.782815,,,,-1.919661,0.205584,-1.780470,-1.849226,0.154998,-1.736756,-1.893278,0.197691,-1.722081,,,,-1.815235,0.106521,-1.816831,-1.871923,0.100579,-1.987546,,,,,,,,,,,,,,,,,,
4,0.033333,-0.007663,-0.008597,0.010830,-0.999875,-1.898879,0.144894,-1.833607,0.000899,-1.927799,0.099924,-1.986920,0.282366,-1.871162,0.205824,-1.783210,0.794718,-1.939469,0.155683,-1.734644,0.000000,-1.918633,0.206159,-1.779817,0.665335,-1.849562,0.154853,-1.736493,0.888135,-1.893235,0.197739,-1.721945,0.960742,-1.976350,0.106335,-1.806820,0.000000,-1.815085,0.106541,-1.816826,0.955860,-1.872082,0.100302,-1.987953,0.875939,-1.847385,0.130426,-1.864015,0.858417,-1.952366,0.130255,-1.863567,0.000000,-1.923421,0.144683,-1.921076,0.000000,-1.925219,0.100652,-1.985636,-1.847810,0.130144,-1.864030,,,,-1.870525,0.206199,-1.782792,,,,-1.919705,0.205535,-1.780507,-1.849227,0.154978,-1.736759,-1.893249,0.197697,-1.722078,,,,-1.815256,0.106502,-1.816843,-1.871917,0.100551,-1.987563,,,,,,,,,,,,,,,,,,
5,0.041667,-0.007577,-0.008644,0.010376,-0.999880,-1.898864,0.144892,-1.833602,0.000859,-1.927757,0.099870,-1.986905,0.256815,-1.871198,0.205855,-1.783217,0.787733,-1.939455,0.155660,-1.734637,0.000000,-1.918669,0.206147,-1.779820,0.645075,-1.849548,0.154912,-1.736494,0.888598,-1.893258,0.197760,-1.721949,0.964986,-1.976298,0.106267,-1.806801,0.000000,-1.815034,0.106617,-1.816822,0.955950,-1.872040,0.100299,-1.987943,0.877273,-1.847359,0.130465,-1.864012,0.872425,-1.952341,0.130200,-1.863554,0.000000,-1.923414,0.144644,-1.921069,0.000000,-1.925306,0.100608,-1.985680,-1.847803,0.130198,-1.864008,,,,-1.870632,0.206159,-1.782918,,,,-1.919689,0.205575,-1.780496,-1.849180,0.155040,-1.736727,-1.893277,0.197715,-1.722077,,,,-1.815235,0.106549,-1.816822,-1.871923,0.100569,-1.987565,,,,,,,,,,,,,,,,,,
