Format Version,1.23,Take Name,P_20,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 02.51.37.082 PM,Total Frames in Take,951,Total Exported Frames,951,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 1815,Unlabeled 1815,Unlabeled 1815,Unlabeled 1816,Unlabeled 1816,Unlabeled 1816,Unlabeled 1821,Unlabeled 1821,Unlabeled 1821,Unlabeled 1822,Unlabeled 1822,Unlabeled 1822,Unlabeled 1824,Unlabeled 1824,Unlabeled 1824
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","11B720","11B720","11B720","11B540","11B540","11B540","11B830","11B830","11B830","11B700","11B700","11B700","5408EA8BBF2D11EB6A3FE2211B005D8D","5408EA8BBF2D11EB6A3FE2211B005D8D","5408EA8BBF2D11EB6A3FE2211B005D8D","11B520","11B520","11B520","11B5C0","11B5C0","11B5C0","11B5B0","11B5B0","11B5B0","11B470","11B470","11B470","11B5D0","11B5D0","11B5D0","11B610","11B610","11B610","11B810","11B810","11B810","11B730","11B730","11B730","11B2E0","11B2E0","11B2E0","11B2D0","11B2D0","11B2D0","11B850","11B850","11B850"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.007037,0.038317,0.009884,-0.999192,-1.896872,0.145087,-1.650220,0.000521,-1.911251,0.099745,-1.805465,0.000000,-1.874064,0.206162,-1.597588,0.918537,-1.946568,0.156040,-1.555521,0.000000,-1.921645,0.206444,-1.598658,0.328286,-1.856883,0.155321,-1.548936,0.933821,-1.901772,0.198183,-1.538642,0.973178,-1.976472,0.106489,-1.630722,0.000000,-1.814979,0.106877,-1.625574,0.960628,-1.855683,0.100193,-1.801273,0.884542,-1.842740,0.130618,-1.675636,0.907139,-1.947301,0.130315,-1.685026,0.000000,-1.913110,0.144654,-1.739603,0.000000,,,,-1.843040,0.130403,-1.675593,,,,-1.873769,0.206295,-1.597625,,,,-1.923455,0.205170,-1.600181,-1.856650,0.155432,-1.548995,-1.901755,0.198086,-1.538685,,,,-1.814946,0.106983,-1.625462,-1.855532,0.100457,-1.800926,,,,,,,,,,,,,,,
1,0.008333,-0.007051,0.038319,0.009901,-0.999192,-1.896889,0.145101,-1.650235,0.000527,-1.911269,0.099764,-1.805481,0.000000,-1.874079,0.206174,-1.597600,0.918537,-1.946585,0.156053,-1.555535,0.000000,-1.921660,0.206457,-1.598671,0.328286,-1.856900,0.155331,-1.548950,0.933821,-1.901788,0.198194,-1.538655,0.973178,-1.976490,0.106505,-1.630738,0.000000,-1.814998,0.106888,-1.625589,0.960628,-1.855701,0.100209,-1.801289,0.884542,-1.842757,0.130631,-1.675651,0.907139,-1.947319,0.130332,-1.685041,0.000000,-1.913127,0.144671,-1.739618,0.000000,,,,-1.843065,0.130395,-1.675611,,,,-1.873806,0.206295,-1.597644,,,,-1.923516,0.205171,-1.600209,-1.856670,0.155437,-1.549015,-1.901769,0.198100,-1.538708,,,,-1.814957,0.107002,-1.625475,-1.855548,0.100479,-1.800944,,,,,,,,,,,,,,,
2,0.016667,-0.007059,0.038371,0.009832,-0.999190,-1.896880,0.145079,-1.650236,0.000520,-1.911237,0.099742,-1.805484,0.000000,-1.874084,0.206155,-1.597599,0.924482,-1.946587,0.156024,-1.555542,0.000000,-1.921664,0.206431,-1.598674,0.316899,-1.856903,0.155313,-1.548947,0.934708,-1.901798,0.198170,-1.538656,0.972712,-1.976478,0.106472,-1.630748,0.000000,-1.814986,0.106877,-1.625582,0.958289,-1.855669,0.100195,-1.801287,0.884172,-1.842743,0.130617,-1.675647,0.902599,-1.947304,0.130303,-1.685048,0.000000,-1.913108,0.144648,-1.739621,0.000000,,,,-1.843042,0.130388,-1.675598,,,,-1.873777,0.206302,-1.597637,,,,-1.923452,0.205176,-1.600166,-1.856653,0.155431,-1.549004,-1.901781,0.198074,-1.538699,,,,-1.814958,0.106976,-1.625472,-1.855516,0.100474,-1.800928,,,,,,,,,,,,,,,
3,0.025000,-0.007098,0.038384,0.010337,-0.999184,-1.896838,0.145175,-1.650193,0.000552,-1.911237,0.099871,-1.805446,0.000000,-1.873981,0.206222,-1.597548,0.914324,-1.946536,0.156159,-1.555498,0.000000,-1.921561,0.206547,-1.598624,0.338816,-1.856852,0.155358,-1.548901,0.929385,-1.901704,0.198258,-1.538607,0.973257,-1.976475,0.106646,-1.630710,0.000000,-1.814982,0.106888,-1.625542,0.962211,-1.855669,0.100267,-1.801248,0.880073,-1.842715,0.130661,-1.675604,0.905119,-1.947276,0.130454,-1.685008,0.000000,-1.913064,0.144771,-1.739578,0.000000,,,,-1.843036,0.130407,-1.675596,,,,-1.873774,0.206329,-1.597624,,,,-1.923607,0.205103,-1.600315,-1.856653,0.155453,-1.548993,-1.901748,0.198110,-1.538685,,,,-1.814953,0.107006,-1.625461,-1.855534,0.100494,-1.800921,,,,,,,,,,,,,,,
4,0.033333,-0.007094,0.038391,0.010191,-0.999186,-1.896835,0.145159,-1.650201,0.000539,-1.911219,0.099848,-1.805454,0.000000,-1.873997,0.206213,-1.597557,0.938535,-1.946538,0.156130,-1.555507,0.000000,-1.921578,0.206524,-1.598634,0.244831,-1.856854,0.155355,-1.548909,0.940124,-1.901719,0.198243,-1.538616,0.956699,-1.976461,0.106607,-1.630719,0.000000,-1.814969,0.106896,-1.625548,0.963547,-1.855651,0.100260,-1.801254,0.894896,-1.842708,0.130661,-1.675611,0.897509,-1.947268,0.130423,-1.685016,0.000000,-1.913060,0.144749,-1.739586,0.000000,,,,-1.843034,0.130414,-1.675584,,,,-1.873751,0.206339,-1.597608,,,,-1.923517,0.205141,-1.600264,-1.856631,0.155463,-1.548992,-1.901750,0.198116,-1.538682,,,,-1.814925,0.107008,-1.625452,-1.855504,0.100506,-1.800924,,,,,,,,,,,,,,,
5,0.041667,-0.007071,0.038350,0.009803,-0.999191,-1.896880,0.145102,-1.650227,0.000522,-1.911240,0.099768,-1.805475,0.000000,-1.874085,0.206178,-1.597589,0.929767,-1.946584,0.156042,-1.555530,0.000000,-1.921665,0.206452,-1.598662,0.278407,-1.856899,0.155337,-1.548939,0.934738,-1.901796,0.198191,-1.538646,0.963335,-1.976474,0.106490,-1.630736,0.000000,-1.814982,0.106905,-1.625577,0.961438,-1.855672,0.100224,-1.801280,0.890820,-1.842743,0.130644,-1.675640,0.897425,-1.947304,0.130324,-1.685037,0.000000,-1.913111,0.144672,-1.739611,0.000000,,,,-1.843032,0.130414,-1.675583,,,,-1.873799,0.206314,-1.597637,,,,-1.923477,0.205204,-1.600167,-1.856667,0.155443,-1.549002,-1.901765,0.198104,-1.538685,,,,-1.814947,0.107007,-1.625473,-1.855522,0.100503,-1.800920,,,,,,,,,,,,,,,
