Format Version,1.23,Take Name,P_30,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 02.47.24.617 PM,Total Frames in Take,1899,Total Exported Frames,1899,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 1696,Unlabeled 1696,Unlabeled 1696,Unlabeled 1700,Unlabeled 1700,Unlabeled 1700,Unlabeled 1701,Unlabeled 1701,Unlabeled 1701,Unlabeled 1702,Unlabeled 1702,Unlabeled 1702,Unlabeled 1703,Unlabeled 1703,Unlabeled 1703,Unlabeled 1705,Unlabeled 1705,Unlabeled 1705,Unlabeled 1706,Unlabeled 1706,Unlabeled 1706,Unlabeled 1708,Unlabeled 1708,Unlabeled 1708,Unlabeled 1709,Unlabeled 1709,Unlabeled 1709,Unlabeled 1711,Unlabeled 1711,Unlabeled 1711,Unlabeled 1712,Unlabeled 1712,Unlabeled 1712,Unlabeled 1715,Unlabeled 1715,Unlabeled 1715,Unlabeled 1717,Unlabeled 1717,Unlabeled 1717,Unlabeled 1718,Unlabeled 1718,Unlabeled 1718,Unlabeled 1719,Unlabeled 1719,Unlabeled 1719,Unlabeled 1720,Unlabeled 1720,Unlabeled 1720,Unlabeled 1721,Unlabeled 1721,Unlabeled 1721,Unlabeled 1723,Unlabeled 1723,Unlabeled 1723,Unlabeled 1724,Unlabeled 1724,Unlabeled 1724,Unlabeled 1725,Unlabeled 1725,Unlabeled 1725
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","1139C0","1139C0","1139C0","1139B0","1139B0","1139B0","113830","113830","113830","113520","113520","113520","1139E0","1139E0","1139E0","BEC5D83DBF2C11EB6A3FE2211B005D8D","BEC5D83DBF2C11EB6A3FE2211B005D8D","BEC5D83DBF2C11EB6A3FE2211B005D8D","B8CDB358BF2C11EB6A3FE2211B005D8D","B8CDB358BF2C11EB6A3FE2211B005D8D","B8CDB358BF2C11EB6A3FE2211B005D8D","113620","113620","113620","1136E0","1136E0","1136E0","113A60","113A60","113A60","1136B0","1136B0","1136B0","1139D0","1139D0","1139D0","1139A0","1139A0","1139A0","1139F0","1139F0","1139F0","113950","113950","113950","113A00","113A00","113A00","113960","113960","113960","113A10","113A10","113A10","113A20","113A20","113A20","113A40","113A40","113A40","113A50","113A50","113A50","113A30","113A30","113A30","113540","113540","113540","113A80","113A80","113A80","113A90","113A90","113A90","113AA0","113AA0","113AA0","113AC0","113AC0","113AC0","113AD0","113AD0","113AD0","113940","113940","113940","113B10","113B10","113B10","113B30","113B30","113B30","113BA0","113BA0","113BA0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.005070,0.015669,0.000182,-0.999864,-1.927354,0.142972,0.030024,0.000229,-1.947834,0.096634,-0.124238,0.000000,-1.903397,0.204726,0.081339,0.000000,-1.972928,0.153399,0.126832,0.000000,-1.950974,0.204076,0.082421,0.000000,-1.883040,0.154457,0.129356,0.938709,-1.928253,0.196485,0.141507,0.979542,-2.005217,0.102924,0.053250,0.000000,-1.843696,0.106480,0.051085,0.934717,-1.892153,0.098183,-0.122567,0.000000,-1.874150,0.129441,0.002240,0.966395,-1.979003,0.127059,-0.002409,0.000000,-1.947600,0.141806,-0.058531,0.000000,,,,-1.874049,0.129376,0.002300,,,,,,,,,,,,,,,,-1.882864,0.154332,0.129240,-1.928327,0.196518,0.141514,,,,-1.843899,0.106636,0.051133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.004964,0.015566,0.000369,-0.999867,-1.927383,0.142951,0.030022,0.000220,-1.947913,0.096588,-0.124226,0.000000,-1.903392,0.204706,0.081319,0.000000,-1.972933,0.153415,0.126838,0.000000,-1.950969,0.204074,0.082412,0.000000,-1.883044,0.154439,0.129343,0.938709,-1.928239,0.196486,0.141495,0.979542,-2.005257,0.102936,0.053273,0.000000,-1.843734,0.106431,0.051073,0.934717,-1.892230,0.098116,-0.122566,0.000000,-1.874190,0.129394,0.002230,0.966395,-1.979045,0.127050,-0.002396,0.000000,-1.947648,0.141773,-0.058528,0.000000,,,,-1.874098,0.129331,0.002296,,,,,,,,,,,,,,,,-1.882889,0.154317,0.129227,-1.928291,0.196507,0.141490,,,,-1.843929,0.106594,0.051129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.005121,0.015843,0.001202,-0.999861,-1.927347,0.143034,0.029986,0.000217,-1.947870,0.096758,-0.124289,0.000000,-1.903282,0.204732,0.081317,0.000000,-1.972933,0.153541,0.126780,0.000000,-1.950860,0.204179,0.082383,0.000000,-1.883044,0.154415,0.129334,0.942663,-1.928174,0.196533,0.141476,0.985866,-2.005300,0.103141,0.053180,0.000000,-1.843771,0.106368,0.051070,0.934925,-1.892186,0.098193,-0.122599,0.000000,-1.874162,0.129398,0.002218,0.967642,-1.979018,0.127231,-0.002466,0.000000,-1.947565,0.141921,-0.058576,0.000000,,,,-1.874091,0.129318,0.002289,,,,,,,,,,,,,,,,-1.882946,0.154264,0.129238,-1.928170,0.196553,0.141441,,,,-1.843943,0.106580,0.051129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.005029,0.015640,0.000286,-0.999865,-1.927388,0.142932,0.030015,0.000213,-1.947888,0.096585,-0.124242,0.000000,-1.903416,0.204684,0.081323,0.000000,-1.972955,0.153376,0.126825,0.000000,-1.950992,0.204045,0.082409,0.000000,-1.883067,0.154415,0.129344,0.949120,-1.928269,0.196453,0.141494,0.989982,-2.005259,0.102901,0.053249,0.000000,-1.843737,0.106423,0.051074,0.930167,-1.892206,0.098122,-0.122574,0.000000,-1.874189,0.129387,0.002229,0.967763,-1.979043,0.127027,-0.002413,0.000000,-1.947640,0.141762,-0.058538,0.000000,,,,-1.874107,0.129316,0.002270,,,,,,,,,,,,,,,,-1.882922,0.154271,0.129243,-1.928322,0.196498,0.141496,,,,-1.843910,0.106594,0.051131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.005086,0.015806,0.001258,-0.999861,-1.927343,0.143035,0.029995,0.000213,-1.947883,0.096751,-0.124276,0.000000,-1.903267,0.204733,0.081320,0.000000,-1.972921,0.153554,0.126792,0.000000,-1.950845,0.204186,0.082390,0.000000,-1.883031,0.154417,0.129339,0.950080,-1.928156,0.196541,0.141482,0.990129,-2.005299,0.103152,0.053198,0.000000,-1.843769,0.106361,0.051075,0.932765,-1.892199,0.098179,-0.122589,0.000000,-1.874161,0.129391,0.002224,0.968470,-1.979018,0.127235,-0.002452,0.000000,-1.947568,0.141918,-0.058565,0.000000,,,,-1.874091,0.129316,0.002297,,,,,,,,,,,,,,,,-1.882929,0.154273,0.129246,-1.928158,0.196560,0.141447,,,,-1.843940,0.106561,0.051131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.005200,0.015943,0.001223,-0.999859,-1.927311,0.143048,0.029977,0.000208,-1.947805,0.096797,-0.124309,0.000000,-1.903254,0.204736,0.081323,0.000000,-1.972916,0.153541,0.126764,0.000000,-1.950832,0.204185,0.082379,0.000000,-1.883027,0.154411,0.129336,0.949772,-1.928159,0.196529,0.141476,0.989998,-2.005270,0.103154,0.053150,0.000000,-1.843740,0.106375,0.051072,0.934475,-1.892122,0.098229,-0.122608,0.000000,-1.874121,0.129414,0.002218,0.967989,-1.978976,0.127251,-0.002488,0.000000,-1.947512,0.141949,-0.058589,0.000000,,,,-1.874052,0.129334,0.002290,,,,,,,,,,,,,,,,-1.882933,0.154260,0.129243,-1.928161,0.196558,0.141448,,,,-1.843901,0.106577,0.051121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
