Format Version,1.23,Take Name,P_40,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 02.44.06.719 PM,Total Frames in Take,1665,Total Exported Frames,1665,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 1574,Unlabeled 1574,Unlabeled 1574,Unlabeled 1576,Unlabeled 1576,Unlabeled 1576,Unlabeled 1577,Unlabeled 1577,Unlabeled 1577,Unlabeled 1578,Unlabeled 1578,Unlabeled 1578,Unlabeled 1579,Unlabeled 1579,Unlabeled 1579,Unlabeled 1580,Unlabeled 1580,Unlabeled 1580,Unlabeled 1581,Unlabeled 1581,Unlabeled 1581,Unlabeled 1582,Unlabeled 1582,Unlabeled 1582,Unlabeled 1583,Unlabeled 1583,Unlabeled 1583,Unlabeled 1584,Unlabeled 1584,Unlabeled 1584,Unlabeled 1585,Unlabeled 1585,Unlabeled 1585,Unlabeled 1586,Unlabeled 1586,Unlabeled 1586,Unlabeled 1588,Unlabeled 1588,Unlabeled 1588,Unlabeled 1589,Unlabeled 1589,Unlabeled 1589,Unlabeled 1592,Unlabeled 1592,Unlabeled 1592,Unlabeled 1594,Unlabeled 1594,Unlabeled 1594,Unlabeled 1595,Unlabeled 1595,Unlabeled 1595,Unlabeled 1596,Unlabeled 1596,Unlabeled 1596,Unlabeled 1597,Unlabeled 1597,Unlabeled 1597
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","112B60","112B60","112B60","112B50","112B50","112B50","112B90","112B90","112B90","112CE0","112CE0","112CE0","112B70","112B70","112B70","112B00","112B00","112B00","112B10","112B10","112B10","112B80","112B80","112B80","112BA0","112BA0","112BA0","112CD0","112CD0","112CD0","112B40","112B40","112B40","112B30","112B30","112B30","112AF0","112AF0","112AF0","112BC0","112BC0","112BC0","112BE0","112BE0","112BE0","112BD0","112BD0","112BD0","112BF0","112BF0","112BF0","112C20","112C20","112C20","112C70","112C70","112C70","112C10","112C10","112C10","112C90","112C90","112C90","112CA0","112CA0","112CA0","112CB0","112CB0","112CB0","112C80","112C80","112C80","112C60","112C60","112C60","112C40","112C40","112C40","112CF0","112CF0","112CF0","112D00","112D00","112D00","112D20","112D20","112D20","112CC0","112CC0","112CC0","112D40","112D40","112D40"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.010912,0.219335,0.012034,-0.975514,-1.539876,0.141461,0.038764,0.000258,-1.498070,0.096746,-0.111623,0.889534,-1.537026,0.202183,0.096429,0.950045,-1.620080,0.152485,0.109499,0.000000,-1.581075,0.202837,0.078420,0.850658,-1.538684,0.151049,0.147709,0.912258,-1.584026,0.194224,0.141525,0.921069,-1.621417,0.103416,0.028289,0.000000,-1.472442,0.102536,0.090836,0.966359,-1.447672,0.096749,-0.087839,0.971802,-1.480323,0.126657,0.034298,0.950608,-1.574615,0.127195,-0.011857,0.499280,-1.523083,0.141450,-0.050517,0.000000,-1.497979,0.096368,-0.111413,-1.480232,0.126482,0.034300,-1.574686,0.129062,-0.012578,,,,-1.536975,0.201990,0.096412,,,,-1.581580,0.203000,0.078695,-1.538335,0.151018,0.147725,-1.584114,0.193951,0.141391,,,,-1.472344,0.102486,0.090759,-1.447723,0.096721,-0.087743,-1.560188,0.181030,0.079387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.010858,0.219406,0.013079,-0.975486,-1.539911,0.141586,0.038841,0.000351,-1.498178,0.096838,-0.111556,0.889534,-1.536943,0.202282,0.096528,0.950045,-1.620101,0.152751,0.109570,0.000000,-1.580988,0.203033,0.078514,0.850658,-1.538713,0.151134,0.147790,0.912258,-1.583965,0.194404,0.141615,0.921069,-1.621529,0.103713,0.028342,0.000000,-1.472564,0.102504,0.090908,0.966359,-1.447783,0.096728,-0.087766,0.971802,-1.480388,0.126661,0.034377,0.950608,-1.574672,0.127410,-0.011789,0.499280,-1.523107,0.141572,-0.050438,0.000000,-1.497975,0.096403,-0.111404,-1.480209,0.126506,0.034309,-1.574798,0.129003,-0.012563,,,,-1.536935,0.201936,0.096475,-1.620393,0.153340,0.110219,-1.581581,0.202960,0.078672,-1.538328,0.151038,0.147743,-1.584097,0.193989,0.141418,,,,-1.472332,0.102503,0.090769,-1.447712,0.096734,-0.087724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.010905,0.219409,0.012231,-0.975495,-1.539855,0.141512,0.038775,0.000237,-1.498044,0.096792,-0.111609,0.874072,-1.536990,0.202229,0.096445,0.912594,-1.620065,0.152563,0.109499,0.769158,-1.581037,0.202902,0.078429,0.845598,-1.538676,0.151093,0.147721,0.900129,-1.584000,0.194285,0.141533,0.880761,-1.621410,0.103500,0.028284,0.000000,-1.472444,0.102558,0.090854,0.932413,-1.447650,0.096774,-0.087818,0.979153,-1.480308,0.126686,0.034316,0.938314,-1.574592,0.127264,-0.011852,0.556180,-1.523049,0.141501,-0.050504,0.000000,-1.497943,0.096420,-0.111382,-1.480207,0.126519,0.034325,-1.574768,0.128985,-0.012577,,,,-1.536962,0.202117,0.096462,,,,-1.581548,0.202948,0.078616,-1.538331,0.151039,0.147741,-1.584035,0.194062,0.141457,,,,-1.472326,0.102503,0.090788,-1.447697,0.096739,-0.087727,-1.560226,0.180946,0.079370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.010825,0.219434,0.013045,-0.975480,-1.539879,0.141600,0.038845,0.000333,-1.498135,0.096842,-0.111547,0.888043,-1.536917,0.202301,0.096527,0.970688,-1.620073,0.152767,0.109568,0.000000,-1.580962,0.203048,0.078510,0.863449,-1.538688,0.151157,0.147793,0.912432,-1.583942,0.194424,0.141612,0.940348,-1.621495,0.103722,0.028344,0.000000,-1.472533,0.102526,0.090919,0.963565,-1.447742,0.096737,-0.087753,0.972875,-1.480355,0.126678,0.034385,0.951171,-1.574637,0.127418,-0.011786,0.531219,-1.523070,0.141579,-0.050433,0.000000,-1.497946,0.096424,-0.111382,-1.480198,0.126516,0.034333,-1.574640,0.129063,-0.012603,,,,-1.536910,0.201980,0.096496,-1.620386,0.153314,0.110198,-1.581552,0.202935,0.078600,-1.538340,0.151036,0.147738,-1.584022,0.194065,0.141460,,,,-1.472312,0.102526,0.090789,-1.447688,0.096757,-0.087723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.010884,0.219329,0.012128,-0.975515,-1.539846,0.141501,0.038790,0.000245,-1.498051,0.096776,-0.111597,0.889618,-1.536983,0.202223,0.096454,0.963240,-1.620047,0.152542,0.109526,0.000000,-1.581033,0.202885,0.078446,0.852143,-1.538651,0.151091,0.147735,0.913649,-1.583984,0.194274,0.141551,0.939318,-1.621395,0.103472,0.028316,0.000000,-1.472419,0.102564,0.090861,0.966611,-1.447652,0.096769,-0.087814,0.970762,-1.480296,0.126685,0.034323,0.949100,-1.574588,0.127242,-0.011830,0.514639,-1.523055,0.141485,-0.050491,0.000000,-1.497956,0.096400,-0.111387,-1.480203,0.126504,0.034324,-1.574677,0.129030,-0.012580,,,,-1.536935,0.202084,0.096458,,,,-1.581573,0.202962,0.078675,-1.538309,0.151046,0.147754,-1.584024,0.194051,0.141462,,,,-1.472323,0.102507,0.090788,-1.447700,0.096747,-0.087709,-1.560223,0.180964,0.079382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.010843,0.219416,0.013152,-0.975482,-1.539894,0.141610,0.038854,0.000350,-1.498164,0.096856,-0.111543,0.872987,-1.536917,0.202306,0.096541,0.911484,-1.620083,0.152787,0.109581,0.769263,-1.580963,0.203063,0.078525,0.837162,-1.538697,0.151158,0.147803,0.900874,-1.583942,0.194434,0.141627,0.889902,-1.621517,0.103750,0.028353,0.000000,-1.472553,0.102518,0.090922,0.932646,-1.447770,0.096739,-0.087752,0.982058,-1.480373,0.126677,0.034391,0.941008,-1.574656,0.127440,-0.011777,0.553783,-1.523088,0.141594,-0.050425,0.000000,-1.497949,0.096424,-0.111384,-1.480210,0.126518,0.034325,-1.574720,0.129035,-0.012574,,,,-1.536912,0.201956,0.096487,-1.620392,0.153369,0.110228,-1.581593,0.202995,0.078676,-1.538317,0.151058,0.147748,-1.584034,0.194040,0.141455,,,,-1.472323,0.102514,0.090781,-1.447708,0.096744,-0.087716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
