Format Version,1.23,Take Name,P_95,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 02.28.26.605 PM,Total Frames in Take,994,Total Exported Frames,994,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 1097,Unlabeled 1097,Unlabeled 1097,Unlabeled 1098,Unlabeled 1098,Unlabeled 1098,Unlabeled 1100,Unlabeled 1100,Unlabeled 1100,Unlabeled 1101,Unlabeled 1101,Unlabeled 1101
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","10FF30","10FF30","10FF30","10FDF0","10FDF0","10FDF0","10FF60","10FF60","10FF60","10FEA0","10FEA0","10FEA0","10FEC0","10FEC0","10FEC0","10FF50","10FF50","10FF50","10FE60","10FE60","10FE60","10FF40","10FF40","10FF40","10FF70","10FF70","10FF70","10FE40","10FE40","10FE40","10FE00","10FE00","10FE00","10FDA0","10FDA0","10FDA0","10FF90","10FF90","10FF90","10FFA0","10FFA0","10FFA0","10FFC0","10FFC0","10FFC0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.010868,0.135039,0.011602,-0.990713,-1.345522,0.136357,-0.204525,0.000265,-1.329839,0.091948,-0.359913,0.903966,-1.333058,0.197021,-0.148088,0.954183,-1.412523,0.147048,-0.121133,0.933011,-1.379534,0.197558,-0.158323,0.924914,-1.325801,0.145824,-0.097362,0.929864,-1.371658,0.188862,-0.095653,0.976269,-1.427545,0.098069,-0.201009,0.945930,-1.270085,0.097585,-0.164778,0.981423,-1.276124,0.092082,-0.345070,0.935278,-1.287560,0.121746,-0.219104,0.937261,-1.388341,0.122041,-0.248506,0.349017,-1.344198,0.136502,-0.295362,0.000000,-1.329875,0.091611,-0.359733,-1.287544,0.121542,-0.218959,-1.389654,0.124281,-0.248703,-1.332885,0.197018,-0.148150,-1.412471,0.147081,-0.121394,-1.379679,0.197386,-0.158123,-1.325523,0.145828,-0.097325,-1.371636,0.188804,-0.095581,-1.427613,0.097980,-0.201194,-1.270141,0.097608,-0.164821,-1.276031,0.092321,-0.345104,,,,,,,,,,,,
1,0.008333,-0.010858,0.135032,0.011536,-0.990715,-1.345526,0.136359,-0.204525,0.000264,-1.329839,0.091947,-0.359911,0.903966,-1.333068,0.197027,-0.148091,0.954183,-1.412527,0.147045,-0.121132,0.933011,-1.379545,0.197557,-0.158324,0.924914,-1.325804,0.145832,-0.097363,0.929864,-1.371667,0.188865,-0.095655,0.976269,-1.427543,0.098061,-0.201006,0.945930,-1.270083,0.097598,-0.164777,0.981423,-1.276124,0.092088,-0.345069,0.935278,-1.287562,0.121755,-0.219105,0.937261,-1.388343,0.122037,-0.248505,0.349017,-1.344202,0.136501,-0.295362,0.000000,-1.329874,0.091608,-0.359726,-1.287556,0.121550,-0.218966,-1.389631,0.124304,-0.248714,-1.332883,0.197034,-0.148130,-1.412475,0.147053,-0.121404,-1.379693,0.197391,-0.158140,-1.325525,0.145845,-0.097327,-1.371640,0.188813,-0.095578,-1.427614,0.097975,-0.201195,-1.270144,0.097620,-0.164815,-1.276038,0.092329,-0.345102,,,,,,,,,,,,
2,0.016667,-0.010837,0.135019,0.011578,-0.990716,-1.345527,0.136349,-0.204522,0.000264,-1.329849,0.091930,-0.359907,0.903057,-1.333063,0.197018,-0.148090,0.952652,-1.412525,0.147043,-0.121128,0.930912,-1.379540,0.197551,-0.158322,0.927721,-1.325802,0.145824,-0.097360,0.929555,-1.371661,0.188861,-0.095653,0.975719,-1.427548,0.098058,-0.201000,0.945183,-1.270087,0.097582,-0.164775,0.981156,-1.276133,0.092067,-0.345066,0.935509,-1.287565,0.121739,-0.219103,0.938087,-1.388348,0.122028,-0.248500,0.345964,-1.344206,0.136488,-0.295359,0.000000,-1.329903,0.091581,-0.359728,-1.287550,0.121529,-0.218962,-1.389655,0.124273,-0.248691,-1.332882,0.197014,-0.148129,-1.412475,0.147068,-0.121396,-1.379691,0.197381,-0.158132,-1.325528,0.145820,-0.097326,-1.371642,0.188810,-0.095582,-1.427613,0.097979,-0.201190,-1.270130,0.097613,-0.164813,-1.276034,0.092313,-0.345098,,,,,,,,,,,,
3,0.025000,-0.010857,0.135040,0.011596,-0.990713,-1.345523,0.136348,-0.204518,0.000266,-1.329839,0.091935,-0.359905,0.900917,-1.333059,0.197013,-0.148083,0.953554,-1.412524,0.147040,-0.121126,0.931502,-1.379536,0.197549,-0.158317,0.925841,-1.325802,0.145817,-0.097355,0.930827,-1.371660,0.188855,-0.095647,0.977820,-1.427545,0.098059,-0.201001,0.945954,-1.270085,0.097577,-0.164770,0.983800,-1.276124,0.092070,-0.345061,0.933018,-1.287561,0.121737,-0.219097,0.936721,-1.388342,0.122030,-0.248499,0.348760,-1.344198,0.136491,-0.295355,0.000000,-1.329869,0.091596,-0.359714,-1.287554,0.121527,-0.218957,-1.389695,0.124261,-0.248688,-1.332883,0.197021,-0.148139,-1.412471,0.147073,-0.121394,-1.379687,0.197354,-0.158119,-1.325523,0.145813,-0.097321,-1.371632,0.188803,-0.095582,-1.427611,0.097991,-0.201184,-1.270138,0.097609,-0.164806,-1.276036,0.092315,-0.345099,,,,,,,,,,,,
4,0.033333,-0.010856,0.135039,0.011596,-0.990713,-1.345524,0.136354,-0.204519,0.000263,-1.329840,0.091941,-0.359905,0.901089,-1.333060,0.197020,-0.148084,0.954638,-1.412525,0.147046,-0.121127,0.931783,-1.379537,0.197555,-0.158318,0.923558,-1.325802,0.145823,-0.097356,0.928609,-1.371660,0.188862,-0.095648,0.978397,-1.427546,0.098065,-0.201002,0.945415,-1.270086,0.097583,-0.164771,0.982321,-1.276125,0.092075,-0.345062,0.934928,-1.287561,0.121743,-0.219098,0.937125,-1.388342,0.122037,-0.248499,0.351056,-1.344199,0.136497,-0.295356,0.000000,-1.329870,0.091594,-0.359717,-1.287547,0.121534,-0.218959,-1.389660,0.124265,-0.248694,-1.332883,0.197025,-0.148124,-1.412473,0.147078,-0.121393,-1.379684,0.197369,-0.158126,-1.325519,0.145822,-0.097319,-1.371640,0.188810,-0.095582,-1.427610,0.097984,-0.201194,-1.270135,0.097610,-0.164814,-1.276043,0.092320,-0.345094,,,,,,,,,,,,
5,0.041667,-0.010843,0.135011,0.011558,-0.990717,-1.345526,0.136363,-0.204522,0.000266,-1.329849,0.091946,-0.359908,0.900631,-1.333064,0.197031,-0.148089,0.952719,-1.412524,0.147053,-0.121126,0.930152,-1.379541,0.197563,-0.158321,0.923071,-1.325800,0.145837,-0.097360,0.928371,-1.371660,0.188872,-0.095652,0.976684,-1.427546,0.098068,-0.200998,0.943124,-1.270084,0.097599,-0.164776,0.983754,-1.276133,0.092084,-0.345067,0.933188,-1.287564,0.121755,-0.219103,0.936288,-1.388347,0.122041,-0.248499,0.349913,-1.344207,0.136503,-0.295359,0.000000,-1.329902,0.091595,-0.359729,-1.287546,0.121546,-0.218959,-1.389667,0.124272,-0.248699,-1.332879,0.197047,-0.148129,-1.412479,0.147068,-0.121402,-1.379692,0.197383,-0.158123,-1.325516,0.145844,-0.097323,-1.371632,0.188824,-0.095577,-1.427613,0.097987,-0.201200,-1.270134,0.097622,-0.164809,-1.276035,0.092331,-0.345100,,,,,,,,,,,,
