Format Version,1.23,Take Name,BW_45,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.38.53.645 PM,Total Frames in Take,1446,Total Exported Frames,1446,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,"AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4",AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,Unlabeled 7078,Unlabeled 7078,Unlabeled 7078,Unlabeled 7079,Unlabeled 7079,Unlabeled 7079,Unlabeled 7080,Unlabeled 7080,Unlabeled 7080,Unlabeled 7085,Unlabeled 7085,Unlabeled 7085,Unlabeled 7086,Unlabeled 7086,Unlabeled 7086,Unlabeled 7087,Unlabeled 7087,Unlabeled 7087,Unlabeled 7088,Unlabeled 7088,Unlabeled 7088,Unlabeled 7089,Unlabeled 7089,Unlabeled 7089,Unlabeled 7090,Unlabeled 7090,Unlabeled 7090
,ID,"F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","122860","122860","122860","122820","122820","122820","122800","122800","122800","122810","122810","122810","122830","122830","122830","122850","122850","122850","122880","122880","122880","1228B0","1228B0","1228B0","1228C0","1228C0","1228C0","1228D0","1228D0","1228D0","1228E0","1228E0","1228E0","1228F0","1228F0","1228F0","122900","122900","122900"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.005031,0.926974,0.003084,0.375079,1.951491,0.216644,-1.862766,0.001382,1.912934,0.209277,-1.789355,0.761922,1.879711,0.209808,-1.821260,0.752543,2.024802,0.223713,-1.904733,0.819588,1.988516,0.223776,-1.935716,0.650763,1.912171,0.209179,-1.788793,1.879175,0.209740,-1.820431,2.025334,0.223792,-1.905213,1.989409,0.223876,-1.936785,2.268605,0.043505,0.426701,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.005187,0.926979,0.003040,0.375066,1.951491,0.216655,-1.862760,0.001391,1.912939,0.209293,-1.789346,0.761922,1.879714,0.209809,-1.821251,0.752543,2.024800,0.223734,-1.904730,0.819588,1.988513,0.223783,-1.935712,0.650763,1.912165,0.209198,-1.788761,1.879182,0.209736,-1.820441,2.025345,0.223810,-1.905208,1.989397,0.223890,-1.936793,2.268604,0.043498,0.426719,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.004851,0.926995,0.003163,0.375030,1.951504,0.216643,-1.862774,0.001416,1.912953,0.209266,-1.789361,0.756208,1.879726,0.209815,-1.821263,0.757090,2.024812,0.223703,-1.904747,0.817763,1.988523,0.223786,-1.935726,0.649872,1.912193,0.209169,-1.788807,1.879140,0.209741,-1.820370,2.025375,0.223787,-1.905255,1.989403,0.223883,-1.936781,2.268603,0.043496,0.426707,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.005195,0.926988,0.002975,0.375044,1.951507,0.216638,-1.862774,0.001408,1.912958,0.209287,-1.789358,0.763461,1.879732,0.209800,-1.821261,0.732229,2.024814,0.223710,-1.904749,0.809498,1.988525,0.223756,-1.935729,0.655660,1.912165,0.209203,-1.788750,1.879176,0.209708,-1.820441,2.025377,0.223775,-1.905255,1.989411,0.223883,-1.936786,2.268597,0.043495,0.426720,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,1.912174,0.209169,-1.788793,1.879188,0.209704,-1.820419,2.025340,0.223782,-1.905201,1.989399,0.223886,-1.936772,2.268605,0.043513,0.426718,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.004752,0.926994,0.003253,0.375033,1.951499,0.216629,-1.862773,0.001378,1.912947,0.209239,-1.789361,0.766915,1.879720,0.209800,-1.821263,0.745689,2.024808,0.223691,-1.904743,0.816135,1.988519,0.223785,-1.935723,0.661204,1.912201,0.209144,-1.788811,1.879165,0.209728,-1.820414,2.025354,0.223771,-1.905230,1.989378,0.223883,-1.936766,2.268602,0.043497,0.426702,,,,,,,,,,,,,,,,,,,,,,,,
