Format Version,1.23,Take Name,BW_50,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.39.48.294 PM,Total Frames in Take,1026,Total Exported Frames,1026,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,"AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4",AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,Unlabeled 7096,Unlabeled 7096,Unlabeled 7096,Unlabeled 7098,Unlabeled 7098,Unlabeled 7098,Unlabeled 7101,Unlabeled 7101,Unlabeled 7101,Unlabeled 7102,Unlabeled 7102,Unlabeled 7102,Unlabeled 7103,Unlabeled 7103,Unlabeled 7103,Unlabeled 7104,Unlabeled 7104,Unlabeled 7104,Unlabeled 7105,Unlabeled 7105,Unlabeled 7105,Unlabeled 7106,Unlabeled 7106,Unlabeled 7106,Unlabeled 7108,Unlabeled 7108,Unlabeled 7108,Unlabeled 7109,Unlabeled 7109,Unlabeled 7109,Unlabeled 7110,Unlabeled 7110,Unlabeled 7110,Unlabeled 7112,Unlabeled 7112,Unlabeled 7112,Unlabeled 7115,Unlabeled 7115,Unlabeled 7115,Unlabeled 7118,Unlabeled 7118,Unlabeled 7118,Unlabeled 7119,Unlabeled 7119,Unlabeled 7119,Unlabeled 7120,Unlabeled 7120,Unlabeled 7120,Unlabeled 7121,Unlabeled 7121,Unlabeled 7121,Unlabeled 7122,Unlabeled 7122,Unlabeled 7122,Unlabeled 7123,Unlabeled 7123,Unlabeled 7123,Unlabeled 7124,Unlabeled 7124,Unlabeled 7124,Unlabeled 7125,Unlabeled 7125,Unlabeled 7125
,ID,"F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","123840","123840","123840","1237F0","1237F0","1237F0","123880","123880","123880","123890","123890","123890","122830","122830","122830","1238B0","1238B0","1238B0","1238C0","1238C0","1238C0","1237B0","1237B0","1237B0","1238D0","1238D0","1238D0","123810","123810","123810","1238E0","1238E0","1238E0","123900","123900","123900","123930","123930","123930","123950","123950","123950","123920","123920","123920","123910","123910","123910","123830","123830","123830","123970","123970","123970","123990","123990","123990","1239D0","1239D0","1239D0","1239E0","1239E0","1239E0","1239A0","1239A0","1239A0","1239B0","1239B0","1239B0","1239C0","1239C0","1239C0","123800","123800","123800"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.005882,-0.934721,-0.001208,-0.355331,1.992391,0.217602,-1.897174,0.001479,1.956983,0.210551,-1.822163,0.710460,1.922437,0.210939,-1.852634,0.753923,2.063855,0.224496,-1.942241,0.790599,2.026288,0.224420,-1.971658,0.646715,1.956129,0.210459,-1.821386,1.921879,0.210848,-1.851828,2.064445,0.224563,-1.942832,2.027167,0.224548,-1.972757,2.268581,0.043504,0.426704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.005471,-0.934748,-0.001379,-0.355267,1.992392,0.217622,-1.897178,0.001480,1.956991,0.210549,-1.822166,0.710460,1.922440,0.210977,-1.852632,0.753923,2.063855,0.224498,-1.942251,0.790599,2.026283,0.224464,-1.971663,0.646715,1.956145,0.210469,-1.821393,1.921861,0.210872,-1.851807,2.064448,0.224557,-1.942867,2.027171,0.224606,-1.972737,2.268570,0.043503,0.426702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.005767,-0.934725,-0.001284,-0.355324,1.992369,0.217640,-1.897148,0.001453,1.956961,0.210578,-1.822138,0.712780,1.922414,0.210978,-1.852608,0.746645,2.063833,0.224533,-1.942215,0.785709,2.026266,0.224470,-1.971631,0.649849,1.956149,0.210493,-1.821381,1.921847,0.210883,-1.851805,2.064412,0.224595,-1.942794,2.027133,0.224601,-1.972721,2.268580,0.043498,0.426715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.005627,-0.934742,-0.001262,-0.355280,1.992372,0.217650,-1.897143,0.001504,1.956969,0.210594,-1.822130,0.721577,1.922420,0.211005,-1.852596,0.753287,2.063834,0.224526,-1.942216,0.794804,2.026264,0.224475,-1.971629,0.650382,1.956104,0.210505,-1.821328,1.921839,0.210908,-1.851782,2.064434,0.224591,-1.942830,2.027173,0.224612,-1.972736,2.268571,0.043506,0.426721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.005593,-0.934741,-0.001383,-0.355283,1.992401,0.217626,-1.897178,0.001449,1.956999,0.210550,-1.822167,0.718134,1.922449,0.210968,-1.852634,0.751130,2.063864,0.224515,-1.942249,0.788302,2.026293,0.224470,-1.971662,0.660270,1.956176,0.210468,-1.821400,1.921875,0.210868,-1.851826,2.064450,0.224576,-1.942858,2.027151,0.224604,-1.972708,2.268588,0.043515,0.426721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,1.956138,0.210480,-1.821374,1.921865,0.210883,-1.851798,2.064492,0.224548,-1.942883,2.027168,0.224602,-1.972727,2.268583,0.043511,0.426699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
