Format Version,1.23,Take Name,BW_60,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.41.16.277 PM,Total Frames in Take,902,Total Exported Frames,902,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,"AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4",AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,Unlabeled 7153,Unlabeled 7153,Unlabeled 7153,Unlabeled 7154,Unlabeled 7154,Unlabeled 7154,Unlabeled 7155,Unlabeled 7155,Unlabeled 7155,Unlabeled 7157,Unlabeled 7157,Unlabeled 7157,Unlabeled 7158,Unlabeled 7158,Unlabeled 7158,Unlabeled 7159,Unlabeled 7159,Unlabeled 7159,Unlabeled 7161,Unlabeled 7161,Unlabeled 7161,Unlabeled 7162,Unlabeled 7162,Unlabeled 7162,Unlabeled 7167,Unlabeled 7167,Unlabeled 7167,Unlabeled 7169,Unlabeled 7169,Unlabeled 7169
,ID,"F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","12B4D0","12B4D0","12B4D0","12B490","12B490","12B490","12B4A0","12B4A0","12B4A0","12B4C0","12B4C0","12B4C0","122830","122830","122830","12B4E0","12B4E0","12B4E0","12B4F0","12B4F0","12B4F0","12B530","12B530","12B530","12B540","12B540","12B540","12B480","12B480","12B480","12B560","12B560","12B560","12B580","12B580","12B580","12B340","12B340","12B340","12B2E0","12B2E0","12B2E0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.007236,0.943635,0.000802,0.330909,1.996746,0.217734,-1.910520,0.001548,1.965300,0.210764,-1.833757,0.698143,1.929216,0.211014,-1.862391,0.746351,2.065756,0.224688,-1.959254,0.789482,2.026711,0.224470,-1.986678,0.606874,1.964438,0.210657,-1.832918,1.928686,0.210933,-1.861530,2.066303,0.224765,-1.959889,2.027668,0.224596,-1.987920,2.268552,0.043507,0.426672,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.007692,0.943613,0.000863,0.330961,1.996737,0.217737,-1.910506,0.001504,1.965289,0.210754,-1.833745,0.698143,1.929208,0.210966,-1.862384,0.746351,2.065747,0.224744,-1.959233,0.789482,2.026705,0.224486,-1.986662,0.606874,1.964458,0.210635,-1.832937,1.928715,0.210905,-1.861567,2.066255,0.224830,-1.959827,2.027681,0.224592,-1.987930,2.268544,0.043516,0.426676,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.007563,0.943634,0.000600,0.330903,1.996749,0.217735,-1.910520,0.001579,1.965307,0.210796,-1.833752,0.708654,1.929223,0.211012,-1.862386,0.761070,2.065756,0.224693,-1.959258,0.803583,2.026711,0.224440,-1.986682,0.599305,1.964399,0.210685,-1.832873,1.928698,0.210931,-1.861538,2.066309,0.224770,-1.959904,2.027709,0.224572,-1.987950,2.268544,0.043514,0.426672,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.007735,0.943621,0.000739,0.330938,1.996741,0.217722,-1.910508,0.001518,1.965296,0.210758,-1.833744,0.682889,1.929214,0.210963,-1.862381,0.749762,2.065749,0.224716,-1.959240,0.786457,2.026706,0.224451,-1.986668,0.595347,1.964457,0.210642,-1.832928,1.928710,0.210898,-1.861554,2.066262,0.224800,-1.959845,2.027696,0.224562,-1.987936,2.268544,0.043496,0.426661,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.007445,0.943632,0.000766,0.330912,1.996733,0.217752,-1.910508,0.001556,1.965289,0.210786,-1.833744,0.692303,1.929206,0.211017,-1.862379,0.747682,2.065742,0.224721,-1.959243,0.787828,2.026697,0.224483,-1.986668,0.605733,1.964410,0.210677,-1.832889,1.928678,0.210935,-1.861522,2.066291,0.224797,-1.959885,2.027662,0.224611,-1.987909,2.268552,0.043521,0.426684,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,1.964402,0.210691,-1.832866,1.928674,0.210946,-1.861528,2.066250,0.224829,-1.959817,2.027662,0.224637,-1.987876,2.268548,0.043488,0.426693,,,,,,,,,,,,,,,,,,,,,,,,,,,
