Format Version,1.23,Take Name,BW_70,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.42.48.492 PM,Total Frames in Take,773,Total Exported Frames,773,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,"AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4",AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,Unlabeled 7193,Unlabeled 7193,Unlabeled 7193,Unlabeled 7194,Unlabeled 7194,Unlabeled 7194,Unlabeled 7197,Unlabeled 7197,Unlabeled 7197,Unlabeled 7198,Unlabeled 7198,Unlabeled 7198,Unlabeled 7199,Unlabeled 7199,Unlabeled 7199,Unlabeled 7218,Unlabeled 7218,Unlabeled 7218
,ID,"F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","131240","131240","131240","131230","131230","131230","1311D0","1311D0","1311D0","131180","131180","131180","122830","122830","122830","131200","131200","131200","1311B0","1311B0","1311B0","1311E0","1311E0","1311E0","1311C0","1311C0","1311C0","130E90","130E90","130E90"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.006530,-0.938199,-0.001559,-0.346032,1.971374,0.217444,-1.890583,0.001382,1.937473,0.210337,-1.814884,0.704884,1.902328,0.210677,-1.844663,0.788154,2.041920,0.224444,-1.937060,0.799723,2.003776,0.224316,-1.965725,0.693008,1.936606,0.210251,-1.814088,1.901893,0.210591,-1.843940,2.042489,0.224502,-1.937621,2.004489,0.224437,-1.966717,2.268538,0.043523,0.426675,,,,,,,,,,,,,,,
1,0.008333,0.006481,-0.938190,-0.001522,-0.346057,1.971382,0.217444,-1.890581,0.001407,1.937476,0.210344,-1.814884,0.704884,1.902333,0.210687,-1.844664,0.788154,2.041931,0.224434,-1.937054,0.799723,2.003789,0.224310,-1.965721,0.693008,1.936585,0.210263,-1.814075,1.901893,0.210594,-1.843930,2.042516,0.224488,-1.937629,2.004507,0.224438,-1.966720,2.268535,0.043534,0.426697,,,,,,,,,,,,,,,
2,0.016667,0.006733,-0.938194,-0.001492,-0.346041,1.971389,0.217456,-1.890575,0.001384,1.937489,0.210359,-1.814876,0.698258,1.902344,0.210679,-1.844655,0.784683,2.041933,0.224468,-1.937052,0.794421,2.003790,0.224320,-1.965718,0.690876,1.936595,0.210277,-1.814047,1.901924,0.210589,-1.843958,2.042502,0.224520,-1.937612,2.004501,0.224447,-1.966706,2.268552,0.043502,0.426671,,,,,,,,,,,,,,,
3,0.025000,0.006845,-0.938176,-0.001558,-0.346087,1.971367,0.217494,-1.890559,0.001369,1.937461,0.210384,-1.814863,0.694640,1.902320,0.210697,-1.844645,0.795363,2.041914,0.224526,-1.937029,0.800119,2.003774,0.224369,-1.965698,0.694128,1.936595,0.210283,-1.814078,1.901905,0.210626,-1.843933,2.042469,0.224595,-1.937575,2.004487,0.224474,-1.966694,2.268551,0.043512,0.426679,,,,,,,,,,,,,,,
4,0.033333,0.006654,-0.938181,-0.001579,-0.346078,1.971364,0.217477,-1.890554,0.001380,1.937458,0.210366,-1.814858,0.704474,1.902315,0.210695,-1.844640,0.790812,2.041912,0.224493,-1.937024,0.800907,2.003771,0.224354,-1.965693,0.694135,1.936586,0.210278,-1.814065,1.901891,0.210612,-1.843923,2.042482,0.224551,-1.937577,2.004475,0.224472,-1.966686,2.268535,0.043533,0.426691,,,,,,,,,,,,,,,
5,0.041667,0.005835,-0.938250,-0.002070,-0.345903,1.971362,0.217470,-1.890575,0.001338,1.937476,0.210287,-1.814877,0.710787,1.902323,0.210703,-1.844645,0.795998,2.041901,0.224470,-1.937062,0.781736,2.003749,0.224420,-1.965716,0.738002,1.936617,0.210252,-1.814103,1.901915,0.210579,-1.843949,2.042537,0.224493,-1.937660,2.004329,0.224566,-1.966576,2.268545,0.043531,0.426691,,,,,,,,,,,,,,,
