Format Version,1.23,Take Name,FW_50,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.15.55.171 PM,Total Frames in Take,1071,Total Exported Frames,1071,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,"AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4",PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,"PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3",AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,Unlabeled 5423,Unlabeled 5423,Unlabeled 5423,Unlabeled 5424,Unlabeled 5424,Unlabeled 5424,Unlabeled 5427,Unlabeled 5427,Unlabeled 5427,Unlabeled 5428,Unlabeled 5428,Unlabeled 5428,Unlabeled 5429,Unlabeled 5429,Unlabeled 5429,Unlabeled 5431,Unlabeled 5431,Unlabeled 5431,Unlabeled 5432,Unlabeled 5432,Unlabeled 5432,Unlabeled 5434,Unlabeled 5434,Unlabeled 5434,Unlabeled 5435,Unlabeled 5435,Unlabeled 5435,Unlabeled 5436,Unlabeled 5436,Unlabeled 5436,Unlabeled 5437,Unlabeled 5437,Unlabeled 5437,Unlabeled 5439,Unlabeled 5439,Unlabeled 5439,Unlabeled 5440,Unlabeled 5440,Unlabeled 5440,Unlabeled 5441,Unlabeled 5441,Unlabeled 5441
,ID,"F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","CC1E0","CC1E0","CC1E0","CC1D0","CC1D0","CC1D0","CC200","CC200","CC200","CC1F0","CC1F0","CC1F0","CC210","CC210","CC210","CC220","CC220","CC220","CC190","CC190","CC190","CC240","CC240","CC240","CC250","CC250","CC250","CC260","CC260","CC260","CC2A0","CC2A0","CC2A0","CC290","CC290","CC290","CC280","CC280","CC280","CC270","CC270","CC270","CC2C0","CC2C0","CC2C0","CC310","CC310","CC310","CC330","CC330","CC330","CC340","CC340","CC340"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.009455,-0.392552,0.001220,0.919680,1.991308,0.218879,-1.924765,0.001687,2.032756,0.213687,-1.996773,0.517233,2.064733,0.214307,-1.963619,0.780994,1.916330,0.223643,-1.885505,0.656231,1.951411,0.223877,-1.853165,0.774819,,,,,,,,,,,,,,,,,,,,,2.034082,0.213368,-1.998140,2.065408,0.214332,-1.964177,1.915370,0.223847,-1.884542,1.950727,0.223872,-1.852579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.034057,0.213348,-1.998119,2.065406,0.214323,-1.964185,1.915359,0.223841,-1.884537,1.950696,0.223878,-1.852549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.009424,0.392536,-0.001069,-0.919688,1.991347,0.218840,-1.924822,0.001726,2.032791,0.213640,-1.996831,0.514865,2.064769,0.214249,-1.963679,0.769381,1.916372,0.223624,-1.885558,0.646758,1.951455,0.223845,-1.853219,0.765126,,,,,,,,,,,,,,,,,,,,,2.034133,0.213315,-1.998194,2.065474,0.214273,-1.964273,1.915381,0.223836,-1.884573,1.950743,0.223840,-1.852605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.009501,0.392530,-0.001092,-0.919690,1.991313,0.218859,-1.924792,0.001683,2.032757,0.213673,-1.996803,0.518363,2.064736,0.214280,-1.963651,0.783456,1.916338,0.223631,-1.885527,0.645374,1.951421,0.223852,-1.853188,0.780669,,,,,,,,,,,,,,,,,,,,,2.034087,0.213336,-1.998156,2.065398,0.214310,-1.964208,1.915349,0.223853,-1.884535,1.950755,0.223841,-1.852618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.009418,0.392521,-0.001076,-0.919694,1.991324,0.218856,-1.924792,0.001715,2.032766,0.213655,-1.996802,0.518363,2.064745,0.214265,-1.963651,0.783456,1.916351,0.223640,-1.885525,0.645374,1.951434,0.223862,-1.853188,0.780669,,,,,,,,,,,,,,,,,,,,,2.034083,0.213338,-1.998133,2.065444,0.214290,-1.964249,1.915349,0.223857,-1.884525,1.950724,0.223854,-1.852571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.009460,0.392558,-0.001035,-0.919678,1.991274,0.218877,-1.924748,0.001740,2.032722,0.213683,-1.996756,0.525412,2.064698,0.214287,-1.963602,0.770158,1.916297,0.223660,-1.885487,0.641940,1.951379,0.223877,-1.853146,0.764812,,,,,,,,,,,,,,,,,,,,,2.034092,0.213341,-1.998152,2.065404,0.214312,-1.964190,1.915304,0.223876,-1.884488,1.950676,0.223872,-1.852553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
