Format Version,1.23,Take Name,FW_70,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.18.44.479 PM,Total Frames in Take,759,Total Exported Frames,759,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,"AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4",PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,"PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3",AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,Unlabeled 5503,Unlabeled 5503,Unlabeled 5503,Unlabeled 5505,Unlabeled 5505,Unlabeled 5505,Unlabeled 5506,Unlabeled 5506,Unlabeled 5506,Unlabeled 5507,Unlabeled 5507,Unlabeled 5507,Unlabeled 5508,Unlabeled 5508,Unlabeled 5508,Unlabeled 5509,Unlabeled 5509,Unlabeled 5509,Unlabeled 5510,Unlabeled 5510,Unlabeled 5510
,ID,"F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","CF440","CF440","CF440","CF410","CF410","CF410","CF450","CF450","CF450","CF430","CF430","CF430","CF470","CF470","CF470","CF4A0","CF4A0","CF4A0","CF4B0","CF4B0","CF4B0","CF490","CF490","CF490","CF4C0","CF4C0","CF4C0","CF4D0","CF4D0","CF4D0","CF500","CF500","CF500"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.009445,-0.419289,0.001007,0.907803,2.006054,0.219277,-1.927182,0.001432,2.051638,0.214079,-1.996645,0.663756,2.081622,0.214657,-1.961678,0.798782,1.928913,0.224092,-1.892371,0.665254,1.962044,0.224281,-1.858034,0.800410,,,,,,,,,,,,,,,,,,,,,2.052594,0.213988,-1.997587,2.082271,0.214613,-1.962153,1.927920,0.224182,-1.891478,1.961429,0.224326,-1.857527,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.009520,-0.419264,0.000831,0.907814,2.006056,0.219285,-1.927193,0.001440,2.051635,0.214095,-1.996660,0.663756,2.081621,0.214655,-1.961694,0.798782,1.928918,0.224110,-1.892375,0.665254,1.962051,0.224281,-1.858041,0.800410,,,,,,,,,,,,,,,,,,,,,2.052570,0.214023,-1.997558,2.082297,0.214597,-1.962210,1.927907,0.224184,-1.891467,1.961420,0.224337,-1.857519,,,,,,,,,,,,,,,,,,,,,
2,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.052579,0.214021,-1.997547,2.082301,0.214584,-1.962219,1.927904,0.224196,-1.891459,1.961412,0.224340,-1.857512,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.009368,0.419279,-0.001149,-0.907808,2.006042,0.219276,-1.927183,0.001429,2.051625,0.214068,-1.996645,0.665504,2.081609,0.214661,-1.961679,0.793606,1.928900,0.224085,-1.892371,0.673257,1.962031,0.224289,-1.858035,0.792152,,,,,,,,,,,,,,,,,,,,,2.052592,0.213984,-1.997566,2.082265,0.214611,-1.962178,1.927926,0.224166,-1.891504,1.961394,0.224340,-1.857504,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.009382,0.419281,-0.000843,-0.907808,2.006059,0.219259,-1.927196,0.001443,2.051640,0.214046,-1.996660,0.665504,2.081625,0.214613,-1.961694,0.793606,1.928921,0.224100,-1.892383,0.673257,1.962052,0.224277,-1.858047,0.792152,,,,,,,,,,,,,,,,,,,,,2.052594,0.213982,-1.997594,2.082295,0.214549,-1.962190,1.927951,0.224162,-1.891505,1.961404,0.224340,-1.857517,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.009357,0.419251,-0.001075,-0.907822,2.006041,0.219263,-1.927185,0.001452,2.051619,0.214051,-1.996650,0.665838,2.081606,0.214638,-1.961686,0.790741,1.928902,0.224081,-1.892368,0.672612,1.962036,0.224279,-1.858034,0.790197,,,,,,,,,,,,,,,,,,,,,2.052573,0.213978,-1.997578,2.082291,0.214581,-1.962197,1.927935,0.224153,-1.891496,1.961374,0.224338,-1.857490,,,,,,,,,,,,,,,,,,,,,
