Format Version,1.23,Take Name,FW_75,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.19.24.382 PM,Total Frames in Take,847,Total Exported Frames,847,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,"AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4",PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,"PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3",AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,Unlabeled 5515,Unlabeled 5515,Unlabeled 5515,Unlabeled 5516,Unlabeled 5516,Unlabeled 5516,Unlabeled 5517,Unlabeled 5517,Unlabeled 5517,Unlabeled 5519,Unlabeled 5519,Unlabeled 5519,Unlabeled 5521,Unlabeled 5521,Unlabeled 5521,Unlabeled 5522,Unlabeled 5522,Unlabeled 5522,Unlabeled 5523,Unlabeled 5523,Unlabeled 5523,Unlabeled 5524,Unlabeled 5524,Unlabeled 5524
,ID,"F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","D0000","D0000","D0000","CFFF0","CFFF0","CFFF0","D0030","D0030","D0030","D0010","D0010","D0010","D0040","D0040","D0040","D0050","D0050","D0050","CFFD0","CFFD0","CFFD0","CFFC0","CFFC0","CFFC0","CFF20","CFF20","CFF20","D0070","D0070","D0070","D0080","D0080","D0080","D00B0","D00B0","D00B0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.008688,0.379851,-0.001397,-0.925006,2.016721,0.219377,-1.935937,0.001645,2.056171,0.214062,-2.009050,0.649065,2.089049,0.214735,-1.976790,0.725591,1.942853,0.224213,-1.894635,0.653705,1.978812,0.224498,-1.863273,0.722749,,,,,,,,,,,,,,,,,,,,,2.057135,0.213949,-2.010065,2.089829,0.214685,-1.977561,1.941911,0.224323,-1.893625,1.978016,0.224549,-1.862502,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.008834,0.379837,-0.001246,-0.925010,2.016730,0.219366,-1.935941,0.001620,2.056177,0.214072,-2.009057,0.649065,2.089056,0.214727,-1.976798,0.725591,1.942864,0.224198,-1.894634,0.653705,1.978824,0.224465,-1.863274,0.722749,,,,,,,,,,,,,,,,,,,,,2.057086,0.213964,-2.010026,2.089849,0.214678,-1.977579,1.941918,0.224309,-1.893624,1.978053,0.224513,-1.862517,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.057123,0.213951,-2.010059,2.089857,0.214656,-1.977589,1.941913,0.224309,-1.893615,1.978057,0.224524,-1.862521,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.008695,0.379851,-0.001365,-0.925006,2.016732,0.219345,-1.935951,0.001655,2.056181,0.214031,-2.009064,0.650483,2.089059,0.214701,-1.976804,0.724083,1.942864,0.224184,-1.894649,0.639843,1.978822,0.224466,-1.863287,0.729130,,,,,,,,,,,,,,,,,,,,,2.057137,0.213920,-2.010078,2.089843,0.214650,-1.977580,1.941884,0.224297,-1.893599,1.978049,0.224516,-1.862530,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.008648,0.379824,-0.001462,-0.925017,2.016739,0.219362,-1.935954,0.001664,2.056185,0.214041,-2.009068,0.650483,2.089065,0.214722,-1.976811,0.724083,1.942873,0.224196,-1.894648,0.639843,1.978833,0.224489,-1.863289,0.729130,,,,,,,,,,,,,,,,,,,,,2.057151,0.213940,-2.010088,2.089862,0.214662,-1.977596,1.941934,0.224295,-1.893638,1.978016,0.224549,-1.862501,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.008649,0.379857,-0.001433,-0.925004,2.016734,0.219360,-1.935949,0.001663,2.056185,0.214039,-2.009061,0.647919,2.089062,0.214717,-1.976801,0.719871,1.942865,0.224197,-1.894648,0.654265,1.978824,0.224488,-1.863286,0.715775,,,,,,,,,,,,,,,,,,,,,2.057154,0.213934,-2.010087,2.089849,0.214661,-1.977578,1.941886,0.224303,-1.893607,1.978042,0.224544,-1.862518,,,,,,,,,,,,,,,,,,,,,,,,
