Format Version,1.23,Take Name,FW_95,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.22.19.398 PM,Total Frames in Take,684,Total Exported Frames,684,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,"AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4",PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,"PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3",AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,Unlabeled 5577,Unlabeled 5577,Unlabeled 5577,Unlabeled 5578,Unlabeled 5578,Unlabeled 5578,Unlabeled 5579,Unlabeled 5579,Unlabeled 5579,Unlabeled 5580,Unlabeled 5580,Unlabeled 5580,Unlabeled 5581,Unlabeled 5581,Unlabeled 5581,Unlabeled 5582,Unlabeled 5582,Unlabeled 5582,Unlabeled 5583,Unlabeled 5583,Unlabeled 5583,Unlabeled 5584,Unlabeled 5584,Unlabeled 5584,Unlabeled 5585,Unlabeled 5585,Unlabeled 5585
,ID,"F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","D2FE0","D2FE0","D2FE0","D2FD0","D2FD0","D2FD0","D2FF0","D2FF0","D2FF0","D2F50","D2F50","D2F50","D3010","D3010","D3010","D3000","D3000","D3000","D3020","D3020","D3020","D2F30","D2F30","D2F30","D2FB0","D2FB0","D2FB0","D2F20","D2F20","D2F20","D3030","D3030","D3030","D3040","D3040","D3040","D3070","D3070","D3070"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.009143,-0.378027,0.000589,0.925749,2.010296,0.219349,-1.939002,0.001753,2.049451,0.214095,-2.012278,0.626758,2.082457,0.214685,-1.980148,0.759642,1.936598,0.224208,-1.897401,0.532504,1.972680,0.224408,-1.866182,0.770459,,,,,,,,,,,,,,,,,,,,,2.050371,0.213931,-2.013442,2.083167,0.214662,-1.980795,1.935370,0.224419,-1.896007,1.972041,0.224427,-1.865523,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.009223,-0.378044,0.000524,0.925742,2.010311,0.219344,-1.939004,0.001720,2.049468,0.214102,-2.012279,0.626758,2.082473,0.214684,-1.980148,0.759642,1.936611,0.224199,-1.897405,0.532504,1.972693,0.224391,-1.866184,0.770459,,,,,,,,,,,,,,,,,,,,,2.050363,0.213941,-2.013422,2.083186,0.214663,-1.980784,1.935400,0.224405,-1.896051,1.972071,0.224408,-1.865538,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.009282,-0.378085,0.000488,0.925724,2.010297,0.219357,-1.938994,0.001727,2.049460,0.214124,-2.012267,0.642903,2.082462,0.214701,-1.980132,0.761522,1.936593,0.224208,-1.897401,0.528473,1.972672,0.224395,-1.866176,0.775381,,,,,,,,,,,,,,,,,,,,,2.050337,0.213963,-2.013382,2.083165,0.214680,-1.980776,1.935359,0.224428,-1.895991,1.972047,0.224409,-1.865531,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.009249,-0.378084,0.000453,0.925725,2.010314,0.219358,-1.939012,0.001714,2.049477,0.214119,-2.012285,0.651653,2.082478,0.214694,-1.980151,0.758442,1.936611,0.224217,-1.897419,0.533026,1.972690,0.224401,-1.866195,0.775816,,,,,,,,,,,,,,,,,,,,,2.050334,0.213971,-2.013373,2.083190,0.214668,-1.980803,1.935393,0.224420,-1.896017,1.972063,0.224421,-1.865554,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.050385,0.213916,-2.013444,2.083182,0.214674,-1.980782,1.935390,0.224413,-1.896007,1.972097,0.224375,-1.865567,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.009214,-0.378078,0.000545,0.925728,2.010346,0.219330,-1.939040,0.001745,2.049508,0.214087,-2.012313,0.651653,2.082510,0.214671,-1.980179,0.758442,1.936642,0.224184,-1.897447,0.533026,1.972722,0.224378,-1.866223,0.775816,,,,,,,,,,,,,,,,,,,,,2.050386,0.213923,-2.013434,2.083217,0.214650,-1.980828,1.935392,0.224411,-1.896012,1.972090,0.224392,-1.865567,,,,,,,,,,,,,,,,,,,,,,,,,,,
