Format Version,1.23,Take Name,BW_45,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-26 05.12.04.790 PM,Total Frames in Take,1098,Total Exported Frames,1098,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,"PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3",DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 40136,Unlabeled 40136,Unlabeled 40136,Unlabeled 40138,Unlabeled 40138,Unlabeled 40138,Unlabeled 40141,Unlabeled 40141,Unlabeled 40141,Unlabeled 40142,Unlabeled 40142,Unlabeled 40142,Unlabeled 40144,Unlabeled 40144,Unlabeled 40144,Unlabeled 40145,Unlabeled 40145,Unlabeled 40145,Unlabeled 40146,Unlabeled 40146,Unlabeled 40146,Unlabeled 40147,Unlabeled 40147,Unlabeled 40147,Unlabeled 40148,Unlabeled 40148,Unlabeled 40148,Unlabeled 40149,Unlabeled 40149,Unlabeled 40149,Unlabeled 40150,Unlabeled 40150,Unlabeled 40150,Unlabeled 40151,Unlabeled 40151,Unlabeled 40151,Unlabeled 40152,Unlabeled 40152,Unlabeled 40152,Unlabeled 40154,Unlabeled 40154,Unlabeled 40154,Unlabeled 40155,Unlabeled 40155,Unlabeled 40155
,ID,"2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","2F0C60","2F0C60","2F0C60","2F0D60","2F0D60","2F0D60","2F0C90","2F0C90","2F0C90","C4CF6B97BE7711EB6A3FE2211B005C8D","C4CF6B97BE7711EB6A3FE2211B005C8D","C4CF6B97BE7711EB6A3FE2211B005C8D","2F0BE0","2F0BE0","2F0BE0","2F0D20","2F0D20","2F0D20","2F0C30","2F0C30","2F0C30","2F0CA0","2F0CA0","2F0CA0","2F0D00","2F0D00","2F0D00","2F0D50","2F0D50","2F0D50","2F0D10","2F0D10","2F0D10","2F0D70","2F0D70","2F0D70","2F0E90","2F0E90","2F0E90","2F0E30","2F0E30","2F0E30","2F0E50","2F0E50","2F0E50","2F0EA0","2F0EA0","2F0EA0","2F0ED0","2F0ED0","2F0ED0","2F0F00","2F0F00","2F0F00","2F0EC0","2F0EC0","2F0EC0","2F0EB0","2F0EB0","2F0EB0","2F0EE0","2F0EE0","2F0EE0","2F0E70","2F0E70","2F0E70","2F0E80","2F0E80","2F0E80","2F0F20","2F0F20","2F0F20","2F0F60","2F0F60","2F0F60","2F0FA0","2F0FA0","2F0FA0","2F0FC0","2F0FC0","2F0FC0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,-0.015827,-0.364959,0.012180,-0.930810,1.474654,0.122587,1.335748,0.000370,1.350540,0.080872,1.239733,0.965549,1.529391,0.182615,1.356270,0.949471,1.510459,0.130688,1.436793,0.883901,1.496274,0.182396,1.390451,0.955613,1.576231,0.130800,1.375463,0.949831,1.553717,0.172901,1.416436,0.986553,1.434465,0.082649,1.406429,0.920138,1.547993,0.084697,1.291478,0.909044,1.391383,0.081831,1.201830,0.937038,1.492650,0.109338,1.278422,0.850836,1.414700,0.108108,1.348734,0.569104,1.398050,0.124145,1.286936,0.000000,1.350645,0.080822,1.239806,1.492705,0.109664,1.277925,1.413334,0.108555,1.347782,,,,1.529384,0.182413,1.356266,1.510883,0.130554,1.436659,1.496314,0.182430,1.390621,1.576161,0.130810,1.375651,1.553708,0.172949,1.416459,1.434675,0.082569,1.406656,1.547964,0.084569,1.291818,1.391503,0.081734,1.202029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,,,,,,,,,,,,,,,,,,,,,-0.015870,-0.364980,0.012148,-0.930801,1.474632,0.122572,1.335759,0.000391,1.350515,0.080863,1.239745,0.965549,1.529368,0.182599,1.356285,0.949471,1.510441,0.130663,1.436803,0.883901,1.496252,0.182376,1.390467,0.955613,1.576210,0.130784,1.375470,0.949831,1.553697,0.172880,1.416448,0.986553,1.434447,0.082625,1.406438,0.920138,1.547970,0.084689,1.291482,0.909044,1.391356,0.081828,1.201841,0.937038,1.492625,0.109330,1.278430,0.850836,1.414679,0.108090,1.348746,0.569104,1.398026,0.124133,1.286951,0.000000,1.350643,0.080831,1.239808,1.492697,0.109670,1.277924,1.413321,0.108579,1.347749,,,,1.529213,0.182202,1.356343,1.510884,0.130560,1.436654,1.496306,0.182436,1.390619,1.576158,0.130813,1.375653,1.553702,0.172955,1.416456,1.434670,0.082571,1.406657,1.547958,0.084560,1.291828,1.391466,0.081744,1.202068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,,,,,,,,,,,,,,,,,,,,,-0.015830,-0.365006,0.012171,-0.930791,1.474651,0.122612,1.335755,0.000376,1.350528,0.080897,1.239752,0.963300,1.529389,0.182640,1.356273,0.892597,1.510466,0.130712,1.436797,0.880194,1.496276,0.182421,1.390457,0.957047,1.576232,0.130826,1.375460,0.951907,1.553722,0.172926,1.416436,0.981073,1.434470,0.082673,1.406440,0.920558,1.547986,0.084724,1.291478,0.907720,1.391367,0.081857,1.201846,0.933499,1.492641,0.109365,1.278427,0.846478,1.414699,0.108132,1.348747,0.561487,1.398042,0.124170,1.286952,0.000000,1.350646,0.080852,1.239807,1.492698,0.109688,1.277939,1.413325,0.108580,1.347751,,,,1.529379,0.182426,1.356265,1.510895,0.130580,1.436669,1.496318,0.182458,1.390613,1.576167,0.130841,1.375651,1.553704,0.172979,1.416461,1.434667,0.082584,1.406668,1.547966,0.084597,1.291823,1.391464,0.081768,1.202071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,,,,,,,,,,,,,,,,,,,,,-0.015840,-0.364983,0.012148,-0.930800,1.474658,0.122607,1.335751,0.000374,1.350541,0.080891,1.239740,0.965629,1.529392,0.182637,1.356273,0.946210,1.510467,0.130706,1.436794,0.883314,1.496277,0.182416,1.390456,0.958576,1.576236,0.130824,1.375461,0.949383,1.553722,0.172922,1.416437,0.984631,1.434474,0.082664,1.406432,0.921506,1.547996,0.084724,1.291476,0.907972,1.391381,0.081854,1.201835,0.934659,1.492651,0.109363,1.278423,0.852847,1.414705,0.108125,1.348739,0.561138,1.398051,0.124164,1.286943,0.000000,1.350645,0.080852,1.239812,1.492701,0.109692,1.277927,1.413337,0.108567,1.347760,,,,1.529385,0.182419,1.356260,1.510901,0.130571,1.436666,1.496315,0.182460,1.390614,1.576176,0.130839,1.375649,1.553703,0.172978,1.416470,1.434677,0.082569,1.406665,1.547966,0.084594,1.291824,1.391500,0.081757,1.202037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,,,,,,,,,,,,,,,,,,,,,-0.015828,-0.364998,0.012100,-0.930795,1.474649,0.122600,1.335748,0.000374,1.350533,0.080872,1.239740,0.966842,1.529378,0.182635,1.356270,0.945367,1.510461,0.130700,1.436790,0.881833,1.496264,0.182409,1.390453,0.957848,1.576227,0.130826,1.375455,0.950416,1.553711,0.172921,1.416433,0.982994,1.434471,0.082652,1.406430,0.919347,1.547990,0.084724,1.291470,0.906815,1.391373,0.081840,1.201835,0.936741,1.492642,0.109358,1.278420,0.850713,1.414698,0.108111,1.348738,0.565108,1.398041,0.124150,1.286943,0.000000,1.350642,0.080831,1.239821,1.492701,0.109682,1.277929,1.413328,0.108553,1.347763,,,,1.529373,0.182414,1.356268,1.510885,0.130553,1.436662,1.496312,0.182447,1.390615,1.576153,0.130866,1.375608,1.553698,0.172973,1.416463,1.434661,0.082566,1.406662,1.547962,0.084590,1.291829,1.391496,0.081747,1.202034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.350634,0.080825,1.239814,1.492694,0.109673,1.277937,1.413325,0.108566,1.347762,,,,1.529204,0.182203,1.356358,1.510880,0.130553,1.436665,1.496309,0.182443,1.390617,1.576138,0.130842,1.375626,1.553700,0.172966,1.416463,1.434661,0.082570,1.406664,1.547951,0.084576,1.291829,1.391492,0.081737,1.202033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
