Format Version,1.23,Take Name,BW_50,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-26 05.12.41.403 PM,Total Frames in Take,1067,Total Exported Frames,1067,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,"PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3",DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 40165,Unlabeled 40165,Unlabeled 40165,Unlabeled 40166,Unlabeled 40166,Unlabeled 40166,Unlabeled 40167,Unlabeled 40167,Unlabeled 40167,Unlabeled 40170,Unlabeled 40170,Unlabeled 40170,Unlabeled 40171,Unlabeled 40171,Unlabeled 40171,Unlabeled 40172,Unlabeled 40172,Unlabeled 40172
,ID,"2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","2F1670","2F1670","2F1670","2F1010","2F1010","2F1010","DCAFEBCFBE7711EB6A3FE2211B005C8D","DCAFEBCFBE7711EB6A3FE2211B005C8D","DCAFEBCFBE7711EB6A3FE2211B005C8D","2F0BE0","2F0BE0","2F0BE0","2F3CF0","2F3CF0","2F3CF0","2F0C30","2F0C30","2F0C30","2F0CA0","2F0CA0","2F0CA0","2F0D00","2F0D00","2F0D00","DCAFEBB2BE7711EB6A3FE2211B005C8D","DCAFEBB2BE7711EB6A3FE2211B005C8D","DCAFEBB2BE7711EB6A3FE2211B005C8D","2F0D10","2F0D10","2F0D10","2EDA40","2EDA40","2EDA40","2F2C30","2F2C30","2F2C30","2F4150","2F4150","2F4150","2F4760","2F4760","2F4760","2F4770","2F4770","2F4770","2F4780","2F4780","2F4780","2F4720","2F4720","2F4720"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,-0.004727,-0.431347,0.011206,-0.902104,1.574082,0.123463,1.521225,0.000328,1.437946,0.078765,1.444856,0.964420,1.630450,0.184400,1.532626,0.856492,1.623988,0.133761,1.615888,0.851649,1.602617,0.184472,1.571232,0.875338,1.680215,0.133416,1.545705,0.979550,1.663323,0.176028,1.588798,0.924034,1.545017,0.084418,1.597624,0.000000,1.640735,0.085512,1.467457,0.867804,1.472876,0.079444,1.401439,0.974774,1.583782,0.109355,1.462128,0.811099,1.516816,0.108623,1.542976,0.000000,1.491223,0.123365,1.483976,0.000000,1.437877,0.078735,1.444735,1.583541,0.109538,1.461436,,,,1.630512,0.184064,1.533088,1.624153,0.134080,1.615416,1.602608,0.184255,1.571681,1.680217,0.133487,1.545746,1.663454,0.176257,1.588648,,,,1.640771,0.085354,1.467961,1.472799,0.079383,1.401418,1.514516,0.109422,1.546536,1.471057,0.142992,1.546328,,,,,,,,,,,,
1,0.008333,,,,,,,,,,,,,,,,,,,,,-0.004729,-0.431333,0.011209,-0.902111,1.574084,0.123462,1.521232,0.000324,1.437950,0.078766,1.444858,0.964420,1.630452,0.184399,1.532635,0.856492,1.623987,0.133759,1.615897,0.851649,1.602617,0.184471,1.571240,0.875338,1.680216,0.133414,1.545715,0.979550,1.663323,0.176026,1.588808,0.924034,1.545016,0.084417,1.597630,0.000000,1.640738,0.085510,1.467466,0.867804,1.472881,0.079444,1.401443,0.974774,1.583786,0.109354,1.462135,0.811099,1.516817,0.108622,1.542981,0.000000,1.491226,0.123365,1.483980,0.000000,1.437886,0.078739,1.444743,1.583551,0.109532,1.461441,,,,1.630518,0.184088,1.533090,1.624149,0.134060,1.615417,1.602605,0.184258,1.571686,1.680217,0.133479,1.545768,1.663457,0.176259,1.588662,,,,1.640761,0.085352,1.467965,1.472806,0.079378,1.401425,1.514518,0.109437,1.546522,1.471061,0.142991,1.546341,,,,,,,,,,,,
2,0.016667,,,,,,,,,,,,,,,,,,,,,-0.004951,-0.431557,0.010871,-0.902007,1.574059,0.123455,1.521199,0.000285,1.437906,0.078754,1.444859,0.966464,1.630406,0.184407,1.532616,0.861347,1.624003,0.133707,1.615846,0.852839,1.602591,0.184441,1.571235,0.876448,1.680199,0.133434,1.545637,0.979247,1.663308,0.176009,1.588767,0.923569,1.545044,0.084344,1.597583,0.000000,1.640703,0.085568,1.467374,0.868949,1.472817,0.079478,1.401427,0.974383,1.583738,0.109392,1.462087,0.811480,1.516809,0.108576,1.542964,0.000000,1.491183,0.123348,1.483986,0.000000,1.437872,0.078734,1.444744,1.583555,0.109524,1.461454,,,,1.630509,0.184084,1.533087,1.624130,0.134060,1.615400,1.602600,0.184247,1.571681,1.680210,0.133480,1.545768,1.663459,0.176252,1.588663,,,,1.640531,0.085440,1.467627,1.472806,0.079367,1.401427,1.514510,0.109401,1.546543,1.471076,0.142963,1.546342,,,,,,,,,,,,
3,0.025000,,,,,,,,,,,,,,,,,,,,,-0.004964,-0.431562,0.010839,-0.902005,1.574053,0.123478,1.521196,0.000287,1.437902,0.078775,1.444856,0.969604,1.630398,0.184432,1.532616,0.854998,1.623998,0.133727,1.615843,0.854240,1.602583,0.184462,1.571236,0.878525,1.680193,0.133461,1.545634,0.965108,1.663301,0.176032,1.588767,0.923781,1.545041,0.084362,1.597579,0.000000,1.640699,0.085597,1.467368,0.917009,1.472812,0.079503,1.401423,0.972189,1.583732,0.109418,1.462083,0.831943,1.516804,0.108595,1.542962,0.000000,1.491177,0.123369,1.483985,0.000000,1.437864,0.078758,1.444749,1.583553,0.109554,1.461438,,,,1.630516,0.184116,1.533092,1.624115,0.134078,1.615386,1.602587,0.184266,1.571679,1.680199,0.133503,1.545768,1.663449,0.176278,1.588666,,,,1.640534,0.085469,1.467619,1.472801,0.079386,1.401429,1.514512,0.109431,1.546515,1.471054,0.142982,1.546332,,,,,,,,,,,,
4,0.033333,,,,,,,,,,,,,,,,,,,,,-0.004724,-0.431331,0.011178,-0.902112,1.574073,0.123494,1.521221,0.000331,1.437942,0.078791,1.444845,0.971408,1.630437,0.184434,1.532625,0.854166,1.623975,0.133793,1.615886,0.853070,1.602602,0.184504,1.571230,0.878899,1.680204,0.133452,1.545704,0.964595,1.663308,0.176062,1.588798,0.924053,1.545007,0.084446,1.597618,0.000000,1.640730,0.085547,1.467455,0.918444,1.472874,0.079472,1.401430,0.970698,1.583776,0.109387,1.462124,0.828998,1.516807,0.108650,1.542969,0.000000,1.491215,0.123392,1.483968,0.000000,1.437874,0.078758,1.444738,1.583542,0.109576,1.461433,,,,1.630508,0.184128,1.533093,1.624115,0.134105,1.615363,1.602598,0.184283,1.571678,1.680203,0.133520,1.545755,1.663443,0.176283,1.588661,,,,1.640765,0.085383,1.467959,1.472800,0.079407,1.401419,1.514511,0.109466,1.546505,1.471075,0.142984,1.546324,,,,,,,,,,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,-0.004702,-0.431312,0.011234,-0.902121,1.574072,0.123484,1.521223,0.000332,1.437940,0.078785,1.444846,0.967106,1.630440,0.184420,1.532624,0.859212,1.623971,0.133787,1.615889,0.843759,1.602604,0.184496,1.571228,0.875267,1.680203,0.133435,1.545709,0.978881,1.663309,0.176051,1.588799,0.926847,1.544999,0.084445,1.597622,0.000000,1.640728,0.085527,1.467462,0.867108,1.472874,0.079460,1.401432,0.975195,1.583776,0.109371,1.462127,0.811804,1.516804,0.108647,1.542970,0.000000,1.491216,0.123385,1.483967,0.000000,1.437869,0.078756,1.444738,1.583546,0.109555,1.461438,,,,1.630523,0.184108,1.533093,1.624091,0.134089,1.615361,1.602590,0.184262,1.571676,1.680211,0.133501,1.545763,1.663446,0.176291,1.588645,,,,1.640766,0.085371,1.467968,1.472802,0.079398,1.401432,1.514507,0.109423,1.546512,1.471062,0.142971,1.546327,,,,,,,,,,,,
