Format Version,1.23,Take Name,BW_55,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-26 05.13.12.572 PM,Total Frames in Take,851,Total Exported Frames,851,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,"PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3",DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 40185,Unlabeled 40185,Unlabeled 40185,Unlabeled 40186,Unlabeled 40186,Unlabeled 40186,Unlabeled 40187,Unlabeled 40187,Unlabeled 40187,Unlabeled 40188,Unlabeled 40188,Unlabeled 40188,Unlabeled 40189,Unlabeled 40189,Unlabeled 40189,Unlabeled 40191,Unlabeled 40191,Unlabeled 40191,Unlabeled 40192,Unlabeled 40192,Unlabeled 40192,Unlabeled 40193,Unlabeled 40193,Unlabeled 40193,Unlabeled 40194,Unlabeled 40194,Unlabeled 40194
,ID,"2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","2F44A0","2F44A0","2F44A0","2F45A0","2F45A0","2F45A0","2F6760","2F6760","2F6760","EE993D76BE7711EB6A3FE2211B005C8D","EE993D76BE7711EB6A3FE2211B005C8D","EE993D76BE7711EB6A3FE2211B005C8D","2F0BE0","2F0BE0","2F0BE0","2F6120","2F6120","2F6120","2F5EB0","2F5EB0","2F5EB0","2F0CA0","2F0CA0","2F0CA0","2F0D00","2F0D00","2F0D00","2F4760","2F4760","2F4760","2F0D10","2F0D10","2F0D10","2F5500","2F5500","2F5500","2F7D60","2F7D60","2F7D60","2F7D90","2F7D90","2F7D90","2F7D50","2F7D50","2F7D50","2F7D80","2F7D80","2F7D80","2F7D70","2F7D70","2F7D70","2F7D30","2F7D30","2F7D30","2F7D20","2F7D20","2F7D20","2F7DF0","2F7DF0","2F7DF0","2F7E00","2F7E00","2F7E00"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,-0.005983,-0.400980,0.008325,-0.916030,1.532633,0.123980,1.440306,0.000562,1.402095,0.079049,1.354840,0.958865,1.587852,0.185095,1.455680,0.943686,1.576059,0.134091,1.538131,0.901057,1.557502,0.184898,1.492340,0.921976,1.636850,0.134258,1.471861,0.913894,1.616934,0.176625,1.513891,0.927830,1.498695,0.084507,1.514442,0.959500,1.602891,0.086515,1.390969,0.909315,1.439846,0.080045,1.313858,0.967686,1.546320,0.110151,1.381936,0.808669,1.474106,0.108822,1.458124,0.125571,1.452449,0.123701,1.397602,0.000000,1.402081,0.078975,1.354694,1.546157,0.110365,1.381219,1.472071,0.110144,1.455605,,,,1.587889,0.184875,1.455712,1.576403,0.134118,1.537938,1.557471,0.184812,1.492638,1.636917,0.134369,1.472180,1.617045,0.176849,1.514035,1.498665,0.084571,1.514588,1.602638,0.086348,1.391168,1.439799,0.079939,1.313799,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,,,,,,,,,,,,,,,,,,,,,-0.005957,-0.400992,0.008351,-0.916024,1.532636,0.123976,1.440300,0.000564,1.402095,0.079043,1.354840,0.958865,1.587857,0.185091,1.455668,0.943686,1.576064,0.134093,1.538122,0.901057,1.557508,0.184897,1.492328,0.921976,1.636854,0.134253,1.471851,0.913894,1.616941,0.176624,1.513878,0.927830,1.498699,0.084509,1.514440,0.959500,1.602891,0.086506,1.390963,0.909315,1.439844,0.080035,1.313857,0.967686,1.546321,0.110143,1.381930,0.808669,1.474109,0.108821,1.458120,0.125571,1.452451,0.123697,1.397598,0.000000,1.402081,0.078961,1.354701,1.546159,0.110362,1.381218,1.472078,0.110124,1.455600,,,,1.587974,0.184927,1.455648,1.576390,0.134107,1.537938,1.557452,0.184801,1.492631,1.636912,0.134362,1.472180,1.617042,0.176837,1.514037,1.498670,0.084555,1.514590,1.602624,0.086344,1.391163,1.439789,0.079926,1.313798,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,,,,,,,,,,,,,,,,,,,,,-0.006003,-0.401005,0.008260,-0.916019,1.532625,0.123968,1.440306,0.000562,1.402087,0.079031,1.354843,0.959409,1.587839,0.185087,1.455682,0.949337,1.576054,0.134075,1.538129,0.906460,1.557490,0.184884,1.492344,0.919343,1.636842,0.134254,1.471856,0.912230,1.616925,0.176615,1.513891,0.929071,1.498695,0.084485,1.514441,0.959998,1.602884,0.086514,1.390961,0.907120,1.439835,0.080034,1.313858,0.966299,1.546310,0.110146,1.381934,0.809433,1.474100,0.108802,1.458126,0.127709,1.452439,0.123685,1.397606,0.000000,1.402075,0.078963,1.354704,1.546142,0.110361,1.381220,1.472069,0.110101,1.455619,,,,1.587889,0.184870,1.455717,1.576387,0.134109,1.537937,1.557452,0.184793,1.492638,1.636911,0.134363,1.472181,1.617036,0.176840,1.514032,1.498677,0.084542,1.514583,1.602625,0.086348,1.391158,1.439789,0.079924,1.313792,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,,,,,,,,,,,,,,,,,,,,,-0.006005,-0.401008,0.008275,-0.916018,1.532630,0.123983,1.440310,0.000562,1.402090,0.079050,1.354849,0.961245,1.587845,0.185102,1.455686,0.943483,1.576060,0.134090,1.538133,0.903547,1.557497,0.184900,1.492347,0.922356,1.636848,0.134267,1.471860,0.912586,1.616932,0.176629,1.513894,0.928121,1.498699,0.084502,1.514446,0.961283,1.602887,0.086528,1.390966,0.908651,1.439838,0.080051,1.313864,0.965906,1.546314,0.110161,1.381938,0.808882,1.474105,0.108819,1.458131,0.130476,1.452443,0.123702,1.397611,0.000000,1.402079,0.078979,1.354710,1.546160,0.110373,1.381227,1.472073,0.110132,1.455597,,,,1.587903,0.184877,1.455722,1.576398,0.134117,1.537945,1.557450,0.184819,1.492633,1.636917,0.134380,1.472178,1.617045,0.176851,1.514041,1.498661,0.084559,1.514592,1.602630,0.086370,1.391155,1.439786,0.079941,1.313806,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,,,,,,,,,,,,,,,,,,,,,-0.005990,-0.400991,0.008324,-0.916024,1.532632,0.123981,1.440310,0.000564,1.402092,0.079052,1.354847,0.960937,1.587852,0.185096,1.455683,0.941353,1.576060,0.134091,1.538134,0.903090,1.557502,0.184899,1.492344,0.925019,1.636850,0.134258,1.471862,0.913767,1.616935,0.176625,1.513893,0.927780,1.498696,0.084508,1.514447,0.959522,1.602888,0.086517,1.390970,0.910920,1.439841,0.080048,1.313863,0.966274,1.546317,0.110154,1.381939,0.810354,1.474105,0.108823,1.458129,0.124244,1.452447,0.123704,1.397608,0.000000,1.402075,0.078977,1.354703,1.546153,0.110363,1.381214,1.472076,0.110157,1.455596,,,,1.587899,0.184863,1.455741,1.576387,0.134125,1.537945,1.557466,0.184819,1.492627,1.636917,0.134376,1.472179,1.617054,0.176851,1.514041,1.498677,0.084568,1.514602,1.602625,0.086348,1.391158,1.439798,0.079945,1.313800,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,-0.005983,-0.400988,0.008324,-0.916026,1.532629,0.123955,1.440312,0.000557,1.402089,0.079024,1.354848,0.959246,1.587848,0.185071,1.455685,0.938781,1.576056,0.134067,1.538136,0.905084,1.557499,0.184874,1.492345,0.926003,1.636846,0.134233,1.471865,0.913970,1.616931,0.176601,1.513895,0.926369,1.498692,0.084483,1.514449,0.958162,1.602886,0.086490,1.390973,0.908894,1.439839,0.080020,1.313865,0.967847,1.546315,0.110127,1.381941,0.806943,1.474102,0.108797,1.458131,0.122834,1.452444,0.123677,1.397610,0.000000,1.402083,0.078949,1.354708,1.546150,0.110341,1.381226,1.472071,0.110125,1.455611,,,,1.587902,0.184855,1.455716,1.576355,0.134078,1.537968,1.557456,0.184791,1.492634,1.636920,0.134336,1.472172,1.617053,0.176830,1.514033,1.498676,0.084552,1.514601,1.602639,0.086330,1.391160,1.439788,0.079914,1.313808,,,,,,,,,,,,,,,,,,,,,,,,,,,
