Format Version,1.23,Take Name,BW_70,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-26 05.14.26.239 PM,Total Frames in Take,583,Total Exported Frames,583,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,"PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3",DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 40252,Unlabeled 40252,Unlabeled 40252,Unlabeled 40253,Unlabeled 40253,Unlabeled 40253,Unlabeled 40254,Unlabeled 40254,Unlabeled 40254,Unlabeled 40255,Unlabeled 40255,Unlabeled 40255,Unlabeled 40256,Unlabeled 40256,Unlabeled 40256,Unlabeled 40258,Unlabeled 40258,Unlabeled 40258
,ID,"2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","3001B0","3001B0","3001B0","2FF2E0","2FF2E0","2FF2E0","300E40","300E40","300E40","186348E6BE7811EB6A3FE2211B005C8D","186348E6BE7811EB6A3FE2211B005C8D","186348E6BE7811EB6A3FE2211B005C8D","300FF0","300FF0","300FF0","301D60","301D60","301D60","302230","302230","302230","2FEF30","2FEF30","2FEF30","300C20","300C20","300C20","302C20","302C20","302C20","300F90","300F90","300F90","2FFB40","2FFB40","2FFB40","302C60","302C60","302C60","302C70","302C70","302C70","302C50","302C50","302C50","302C40","302C40","302C40","302BE0","302BE0","302BE0","302C30","302C30","302C30"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,-0.005734,-0.405133,0.011069,-0.914173,1.621520,0.123345,1.560219,0.000584,1.489992,0.078826,1.476065,0.916869,1.677169,0.184232,1.574929,0.717042,1.665885,0.133496,1.657616,0.930336,1.647155,0.184275,1.611865,0.642387,1.726068,0.133201,1.590794,0.886056,1.706741,0.175771,1.632894,0.918547,1.588072,0.084225,1.634764,0.000000,1.691143,0.085416,1.510339,0.964379,1.527370,0.079536,1.434737,0.962819,1.634606,0.109302,1.501762,0.919761,1.563085,0.108514,1.578610,0.201173,1.540948,0.123344,1.518250,0.000000,1.489799,0.078785,1.475797,1.634451,0.109242,1.502037,1.561544,0.109720,1.581136,,,,1.677357,0.184706,1.573919,1.666129,0.133466,1.657485,1.647782,0.183418,1.612823,1.725914,0.133199,1.591223,1.706550,0.176029,1.632841,,,,1.691038,0.085511,1.510360,1.527315,0.079532,1.434599,,,,,,,,,,,,,,,,,,
1,0.008333,,,,,,,,,,,,,,,,,,,,,-0.005755,-0.405131,0.011115,-0.914173,1.621529,0.123312,1.560234,0.000588,1.489997,0.078807,1.476079,0.916869,1.677185,0.184194,1.574945,0.717042,1.665895,0.133458,1.657632,0.930336,1.647170,0.184239,1.611881,0.642387,1.726078,0.133157,1.590810,0.886056,1.706756,0.175729,1.632910,0.918547,1.588077,0.084195,1.634779,0.000000,1.691148,0.085376,1.510355,0.964379,1.527375,0.079513,1.434752,0.962819,1.634614,0.109268,1.501777,0.919761,1.563093,0.108487,1.578624,0.201173,1.540957,0.123319,1.518265,0.000000,1.489805,0.078764,1.475804,1.634449,0.109210,1.502044,1.561550,0.109728,1.581141,,,,1.677375,0.184677,1.573919,1.666151,0.133416,1.657497,1.647789,0.183393,1.612844,1.725917,0.133148,1.591254,1.706569,0.176007,1.632858,,,,1.691061,0.085461,1.510380,1.527304,0.079506,1.434612,,,,,,,,,,,,,,,,,,
2,0.016667,,,,,,,,,,,,,,,,,,,,,-0.006304,-0.405444,0.010395,-0.914039,1.621547,0.123231,1.560261,0.000549,1.489998,0.078745,1.476121,0.915485,1.677159,0.184138,1.575032,0.712448,1.665969,0.133260,1.657645,0.926776,1.647169,0.184098,1.611988,0.643823,1.726108,0.133118,1.590783,0.881970,1.706776,0.175606,1.632964,0.915180,1.588178,0.083966,1.634765,0.000000,1.691166,0.085436,1.510275,0.968977,1.527349,0.079550,1.434770,0.960833,1.634606,0.109292,1.501773,0.920358,1.563136,0.108326,1.578666,0.199520,1.540948,0.123235,1.518344,0.000000,1.489797,0.078746,1.475804,1.634448,0.109195,1.502038,1.561552,0.109732,1.581144,,,,1.677361,0.184639,1.573939,1.666411,0.133063,1.657683,1.647528,0.183582,1.612629,1.725916,0.133137,1.591235,1.706554,0.175996,1.632839,,,,1.691047,0.085432,1.510388,1.527302,0.079504,1.434610,,,,,,,,,,,,,,,,,,
3,0.025000,,,,,,,,,,,,,,,,,,,,,-0.005720,-0.405115,0.011190,-0.914179,1.621526,0.123310,1.560223,0.000579,1.489992,0.078809,1.476070,0.906026,1.677188,0.184187,1.574929,0.695033,1.665891,0.133463,1.657622,0.878608,1.647173,0.184241,1.611863,0.775496,1.726076,0.133147,1.590801,0.877204,1.706757,0.175726,1.632896,0.883552,1.588068,0.084206,1.634772,0.000000,1.691143,0.085360,1.510351,0.958843,1.527372,0.079505,1.434743,0.956765,1.634612,0.109257,1.501769,0.919172,1.563088,0.108494,1.578614,0.185116,1.540956,0.123321,1.518251,0.000000,1.489806,0.078765,1.475799,1.634456,0.109205,1.502037,1.561561,0.109725,1.581135,,,,1.677355,0.184638,1.573935,1.666135,0.133439,1.657483,1.647761,0.183421,1.612807,1.725933,0.133147,1.591225,1.706570,0.175983,1.632834,,,,1.691056,0.085441,1.510390,1.527312,0.079507,1.434608,,,,,,,,,,,,,,,,,,
4,0.033333,,,,,,,,,,,,,,,,,,,,,-0.005771,-0.405135,0.011140,-0.914171,1.621537,0.123327,1.560223,0.000577,1.490001,0.078830,1.476069,0.917113,1.677196,0.184205,1.574934,0.723919,1.665905,0.133469,1.657620,0.929556,1.647182,0.184252,1.611870,0.654696,1.726087,0.133165,1.590798,0.888254,1.706767,0.175738,1.632898,0.919182,1.588083,0.084211,1.634768,0.000000,1.691154,0.085387,1.510342,0.968718,1.527380,0.079534,1.434741,0.962877,1.634620,0.109282,1.501766,0.921445,1.563100,0.108505,1.578614,0.201484,1.540965,0.123339,1.518254,0.000000,1.489807,0.078781,1.475793,1.634470,0.109223,1.502037,1.561550,0.109681,1.581137,,,,1.677376,0.184620,1.573992,1.666136,0.133470,1.657473,1.647776,0.183466,1.612805,1.725945,0.133149,1.591244,1.706578,0.175985,1.632841,,,,1.691061,0.085496,1.510339,1.527315,0.079522,1.434605,,,,,,,,,,,,,,,,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,-0.005782,-0.405132,0.011135,-0.914172,1.621536,0.123307,1.560232,0.000585,1.490001,0.078812,1.476076,0.914824,1.677196,0.184185,1.574945,0.738904,1.665903,0.133447,1.657630,0.931535,1.647181,0.184231,1.611881,0.660378,1.726086,0.133145,1.590808,0.882874,1.706766,0.175716,1.632909,0.920943,1.588082,0.084190,1.634776,0.000000,1.691153,0.085369,1.510351,0.964316,1.527380,0.079517,1.434749,0.962471,1.634620,0.109264,1.501775,0.921175,1.563099,0.108485,1.578622,0.203422,1.540965,0.123320,1.518263,0.000000,1.489807,0.078764,1.475799,1.634458,0.109205,1.502032,1.561535,0.109669,1.581144,,,,1.677367,0.184642,1.573927,1.666174,0.133419,1.657513,1.647786,0.183413,1.612848,1.725935,0.133141,1.591245,1.706576,0.175983,1.632851,,,,1.691057,0.085449,1.510382,1.527317,0.079518,1.434601,,,,,,,,,,,,,,,,,,
