Format Version,1.23,Take Name,FW_65,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-26 05.09.44.102 PM,Total Frames in Take,644,Total Exported Frames,644,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,"PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3",DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 40085,Unlabeled 40085,Unlabeled 40085,Unlabeled 40087,Unlabeled 40087,Unlabeled 40087,Unlabeled 40090,Unlabeled 40090,Unlabeled 40090,Unlabeled 40091,Unlabeled 40091,Unlabeled 40091,Unlabeled 40093,Unlabeled 40093,Unlabeled 40093,Unlabeled 40094,Unlabeled 40094,Unlabeled 40094
,ID,"2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","2A0C3C04BCE411EBA2A3F090DD7C5B8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","713BB478BE7711EB6A3FE2211B005C8D","713BB478BE7711EB6A3FE2211B005C8D","713BB478BE7711EB6A3FE2211B005C8D","2EF580","2EF580","2EF580","2EF6E0","2EF6E0","2EF6E0","2EF5B0","2EF5B0","2EF5B0","2EF610","2EF610","2EF610","2EF600","2EF600","2EF600","2EF660","2EF660","2EF660","2EF630","2EF630","2EF630","2EF620","2EF620","2EF620","2EF6A0","2EF6A0","2EF6A0","2EF650","2EF650","2EF650","2EF6D0","2EF6D0","2EF6D0","2EF570","2EF570","2EF570","2EF5E0","2EF5E0","2EF5E0","2EF6F0","2EF6F0","2EF6F0","2EF5C0","2EF5C0","2EF5C0","2EF700","2EF700","2EF700","2EF710","2EF710","2EF710"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,-0.001582,0.461085,-0.011084,0.887285,-1.643459,0.142891,-1.680474,0.000499,-1.784105,0.096667,-1.747148,0.000000,-1.586823,0.204242,-1.673477,0.854067,-1.587430,0.154458,-1.589454,0.590196,-1.612026,0.204578,-1.633107,0.933311,-1.535995,0.153662,-1.663218,0.860489,-1.550237,0.196641,-1.619536,0.848558,-1.667146,0.104509,-1.601913,0.926626,-1.580305,0.104720,-1.738167,0.925049,-1.752144,0.097067,-1.792799,0.000000,-1.637628,0.128205,-1.739938,0.790194,-1.699063,0.127982,-1.654808,0.000000,-1.728611,0.141960,-1.712122,0.000000,,,,-1.636990,0.128707,-1.740151,,,,,,,-1.587256,0.204051,-1.673820,-1.586593,0.155533,-1.588542,-1.612025,0.204338,-1.633222,-1.536356,0.153323,-1.663474,-1.550651,0.196323,-1.619228,-1.666912,0.104574,-1.601748,-1.580505,0.104548,-1.738310,,,,,,,,,,,,,,,,,,,,,
1,0.008333,,,,,,,,,,,,,,,,,,,,,-0.001515,0.460934,-0.011109,0.887364,-1.643478,0.142874,-1.680509,0.000487,-1.784106,0.096671,-1.747236,0.000000,-1.586837,0.204218,-1.673487,0.854067,-1.587479,0.154427,-1.589469,0.590196,-1.612055,0.204554,-1.633125,0.933311,-1.536018,0.153632,-1.663215,0.860489,-1.550271,0.196608,-1.619534,0.848558,-1.667196,0.104487,-1.601959,0.926626,-1.580308,0.104701,-1.738184,0.925049,-1.752129,0.097072,-1.792875,0.000000,-1.637627,0.128193,-1.739972,0.790194,-1.699092,0.127968,-1.654864,0.000000,-1.728619,0.141955,-1.712186,0.000000,,,,-1.637052,0.128660,-1.740161,,,,,,,-1.587263,0.204044,-1.673836,-1.586619,0.155530,-1.588551,-1.612027,0.204329,-1.633227,-1.536397,0.153295,-1.663471,-1.550669,0.196293,-1.619249,-1.666983,0.104530,-1.601815,-1.580471,0.104540,-1.738304,,,,,,,,,,,,,,,,,,,,,
2,0.016667,,,,,,,,,,,,,,,,,,,,,-0.001622,0.461203,-0.011151,0.887223,-1.643499,0.142869,-1.680473,0.000487,-1.784167,0.096648,-1.747104,0.000000,-1.586856,0.204216,-1.673500,0.855642,-1.587445,0.154444,-1.589470,0.581738,-1.612048,0.204560,-1.633123,0.937943,-1.536029,0.153634,-1.663247,0.858008,-1.550256,0.196619,-1.619567,0.854382,-1.667168,0.104500,-1.601901,0.934718,-1.580364,0.104685,-1.738178,0.935392,-1.752218,0.097040,-1.792763,0.000000,-1.637685,0.128175,-1.739937,0.808743,-1.699097,0.127968,-1.654791,0.000000,-1.728659,0.141941,-1.712099,0.000000,,,,-1.637100,0.128653,-1.740174,,,,,,,-1.587281,0.204023,-1.673848,-1.586619,0.155512,-1.588576,-1.612030,0.204333,-1.633226,-1.536396,0.153307,-1.663477,-1.550681,0.196287,-1.619258,-1.666914,0.104570,-1.601735,-1.580549,0.104512,-1.738325,,,,,,,,,,,,,,,,,,,,,
3,0.025000,,,,,,,,,,,,,,,,,,,,,-0.001851,0.461383,-0.011150,0.887129,-1.643481,0.142868,-1.680422,0.000507,-1.784166,0.096591,-1.746977,0.000000,-1.586847,0.204230,-1.673497,0.854285,-1.587392,0.154491,-1.589447,0.595180,-1.612024,0.204585,-1.633109,0.937380,-1.536006,0.153662,-1.663245,0.864448,-1.550224,0.196662,-1.619576,0.844532,-1.667110,0.104525,-1.601825,0.922120,-1.580361,0.104674,-1.738138,0.926790,-1.752236,0.096970,-1.792649,0.000000,-1.637688,0.128151,-1.739882,0.802265,-1.699065,0.127966,-1.654711,0.000000,-1.728653,0.141909,-1.712012,0.000000,,,,-1.637028,0.128679,-1.740168,,,,,,,-1.587259,0.204052,-1.673833,-1.586613,0.155523,-1.588563,-1.612040,0.204319,-1.633235,-1.536407,0.153297,-1.663472,-1.550686,0.196296,-1.619260,-1.666805,0.104640,-1.601609,-1.580539,0.104521,-1.738309,,,,,,,,,,,,,,,,,,,,,
4,0.033333,,,,,,,,,,,,,,,,,,,,,-0.001680,0.461260,-0.011159,0.887193,-1.643494,0.142854,-1.680454,0.000502,-1.784168,0.096620,-1.747062,0.000000,-1.586852,0.204204,-1.673495,0.860007,-1.587428,0.154441,-1.589460,0.608544,-1.612039,0.204551,-1.633115,0.926481,-1.536022,0.153624,-1.663243,0.852957,-1.550245,0.196614,-1.619566,0.832756,-1.667151,0.104492,-1.601875,0.902231,-1.580365,0.104666,-1.738163,0.927434,-1.752226,0.097008,-1.792725,0.000000,-1.637686,0.128153,-1.739917,0.777094,-1.699088,0.127954,-1.654763,0.000000,-1.728658,0.141919,-1.712068,0.000000,,,,-1.637021,0.128683,-1.740176,,,,,,,-1.587287,0.204025,-1.673843,-1.586628,0.155499,-1.588572,-1.612061,0.204290,-1.633237,-1.536404,0.153282,-1.663468,-1.550658,0.196263,-1.619240,-1.666877,0.104584,-1.601684,-1.580563,0.104489,-1.738331,,,,,,,,,,,,,,,,,,,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.637060,0.128657,-1.740167,,,,,,,-1.587272,0.204017,-1.673832,-1.586625,0.155475,-1.588552,-1.612050,0.204301,-1.633223,-1.536359,0.153292,-1.663461,-1.550705,0.196248,-1.619255,-1.666888,0.104552,-1.601666,-1.580558,0.104492,-1.738308,,,,,,,,,,,,,,,,,,,,,
