Format Version,1.23,Take Name,BW_55,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.40.27.257 PM,Total Frames in Take,748,Total Exported Frames,748,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,"AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4",AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,Unlabeled 7132,Unlabeled 7132,Unlabeled 7132,Unlabeled 7133,Unlabeled 7133,Unlabeled 7133,Unlabeled 7136,Unlabeled 7136,Unlabeled 7136,Unlabeled 7140,Unlabeled 7140,Unlabeled 7140,Unlabeled 7141,Unlabeled 7141,Unlabeled 7141,Unlabeled 7142,Unlabeled 7142,Unlabeled 7142,Unlabeled 7144,Unlabeled 7144,Unlabeled 7144,Unlabeled 7145,Unlabeled 7145,Unlabeled 7145,Unlabeled 7146,Unlabeled 7146,Unlabeled 7146
,ID,"F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","127020","127020","127020","127010","127010","127010","126FB0","126FB0","126FB0","127050","127050","127050","122830","122830","122830","127060","127060","127060","126F50","126F50","126F50","127080","127080","127080","127090","127090","127090","1270B0","1270B0","1270B0","1270C0","1270C0","1270C0","1270F0","1270F0","1270F0","127100","127100","127100"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.004624,-0.935563,-0.001963,-0.353123,1.992020,0.217642,-1.897750,0.001637,1.956956,0.210484,-1.822589,0.662157,1.922266,0.211004,-1.852894,0.727377,2.063283,0.224509,-1.943140,0.714231,2.025577,0.224569,-1.972379,0.689708,1.955955,0.210463,-1.821681,1.921654,0.210830,-1.852009,2.064105,0.224528,-1.943935,2.026318,0.224757,-1.973356,2.268566,0.043522,0.426684,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.004638,-0.935549,-0.002100,-0.353160,1.991993,0.217668,-1.897723,0.001597,1.956923,0.210488,-1.822566,0.662157,1.922236,0.211011,-1.852874,0.727377,2.063258,0.224556,-1.943105,0.714231,2.025554,0.224618,-1.972347,0.689708,1.955968,0.210461,-1.821707,1.921635,0.210844,-1.851988,2.064066,0.224580,-1.943880,2.026267,0.224796,-1.973304,2.268561,0.043492,0.426702,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.004622,-0.935551,-0.002071,-0.353155,1.992008,0.217661,-1.897727,0.001597,1.956939,0.210486,-1.822569,0.678804,1.922251,0.211009,-1.852876,0.729104,2.063274,0.224543,-1.943110,0.720127,2.025569,0.224606,-1.972351,0.698407,1.955993,0.210454,-1.821709,1.921642,0.210845,-1.851988,2.064074,0.224571,-1.943884,2.026293,0.224782,-1.973316,2.268568,0.043505,0.426701,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.004719,-0.935557,-0.002034,-0.353138,1.992035,0.217635,-1.897759,0.001610,1.956969,0.210465,-1.822599,0.680232,1.922281,0.210978,-1.852906,0.727527,2.063297,0.224522,-1.943146,0.721620,2.025592,0.224575,-1.972386,0.695291,1.955985,0.210444,-1.821712,1.921685,0.210807,-1.852033,2.064114,0.224539,-1.943928,2.026308,0.224759,-1.973342,2.268565,0.043509,0.426702,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.004827,-0.935542,-0.002017,-0.353178,1.992021,0.217661,-1.897728,0.001600,1.956951,0.210492,-1.822570,0.674346,1.922264,0.210996,-1.852880,0.731387,2.063287,0.224556,-1.943110,0.725451,2.025584,0.224599,-1.972353,0.691654,1.955981,0.210460,-1.821701,1.921669,0.210833,-1.852000,2.064077,0.224583,-1.943871,2.026317,0.224776,-1.973328,2.268568,0.043516,0.426712,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,1.955978,0.210473,-1.821706,1.921647,0.210847,-1.851991,2.064067,0.224602,-1.943860,2.026273,0.224811,-1.973285,2.268564,0.043492,0.426693,,,,,,,,,,,,,,,,,,,,,,,,
6,0.050000,-0.004825,0.935560,0.001979,0.353130,1.992025,0.217664,-1.897728,0.001629,1.956962,0.210502,-1.822566,0.665509,1.922272,0.211005,-1.852872,0.728842,2.063286,0.224555,-1.943117,0.714103,2.025580,0.224596,-1.972356,0.694476,1.955967,0.210472,-1.821672,1.921669,0.210839,-1.851986,2.064111,0.224581,-1.943908,2.026305,0.224774,-1.973324,2.268572,0.043505,0.426685,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.004882,0.935523,0.001946,0.353227,1.992023,0.217665,-1.897732,0.001613,1.956945,0.210507,-1.822577,0.670314,1.922262,0.211004,-1.852890,0.729883,2.063293,0.224556,-1.943107,0.722855,2.025593,0.224592,-1.972354,0.689090,1.955966,0.210477,-1.821694,1.921659,0.210838,-1.852009,2.064090,0.224581,-1.943876,2.026334,0.224773,-1.973336,2.268565,0.043498,0.426704,,,,,,,,,,,,,,,,,,,,,,,,
