Format Version,1.23,Take Name,BW_65,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.42.04.445 PM,Total Frames in Take,751,Total Exported Frames,751,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,"AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4",AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,Unlabeled 7174,Unlabeled 7174,Unlabeled 7174,Unlabeled 7175,Unlabeled 7175,Unlabeled 7175,Unlabeled 7176,Unlabeled 7176,Unlabeled 7176,Unlabeled 7178,Unlabeled 7178,Unlabeled 7178,Unlabeled 7179,Unlabeled 7179,Unlabeled 7179,Unlabeled 7181,Unlabeled 7181,Unlabeled 7181,Unlabeled 7187,Unlabeled 7187,Unlabeled 7187
,ID,"F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","12F1C0","12F1C0","12F1C0","12F0E0","12F0E0","12F0E0","12F110","12F110","12F110","12F120","12F120","12F120","122830","122830","122830","12F1D0","12F1D0","12F1D0","12F130","12F130","12F130","12F140","12F140","12F140","12F100","12F100","12F100","12F1F0","12F1F0","12F1F0","12F240","12F240","12F240"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.005145,0.925137,0.002121,0.379594,1.984538,0.217683,-1.900762,0.001361,1.945263,0.210470,-1.827717,0.742387,1.912353,0.210960,-1.859946,0.763866,2.058259,0.224638,-1.942024,0.792955,2.022277,0.224664,-1.973360,0.703673,1.944471,0.210409,-1.827062,1.911785,0.210848,-1.859199,2.058894,0.224685,-1.942553,2.023016,0.224799,-1.974276,2.268538,0.043529,0.426675,,,,,,,,,,,,,,,,,,
1,0.008333,-0.005239,0.925121,0.002009,0.379632,1.984548,0.217688,-1.900769,0.001389,1.945268,0.210491,-1.827726,0.742387,1.912360,0.210969,-1.859957,0.763866,2.058272,0.224638,-1.942026,0.792955,2.022292,0.224652,-1.973365,0.703673,1.944452,0.210409,-1.827070,1.911791,0.210877,-1.859187,2.058893,0.224701,-1.942554,2.023081,0.224770,-1.974323,2.268538,0.043509,0.426678,,,,,,,,,,,,,,,,,,
2,0.016667,-0.005094,0.925136,0.002085,0.379595,1.984546,0.217691,-1.900766,0.001394,1.945270,0.210485,-1.827721,0.737486,1.912360,0.210978,-1.859950,0.759445,2.058268,0.224636,-1.942028,0.795640,2.022285,0.224666,-1.973364,0.688467,1.944430,0.210424,-1.827049,1.911798,0.210863,-1.859187,2.058926,0.224683,-1.942583,2.023033,0.224803,-1.974278,2.268535,0.043523,0.426672,,,,,,,,,,,,,,,,,,
3,0.025000,-0.005117,0.925145,0.002120,0.379573,1.984560,0.217676,-1.900792,0.001378,1.945288,0.210464,-1.827746,0.730663,1.912376,0.210956,-1.859973,0.761324,2.058279,0.224628,-1.942057,0.784398,2.022295,0.224657,-1.973391,0.702629,1.944480,0.210404,-1.827087,1.911806,0.210842,-1.859213,2.058933,0.224675,-1.942599,2.023029,0.224793,-1.974306,2.268544,0.043511,0.426665,,,,,,,,,,,,,,,,,,
4,0.033333,-0.005115,0.925127,0.002186,0.379616,1.984550,0.217682,-1.900774,0.001356,1.945271,0.210458,-1.827733,0.747171,1.912362,0.210953,-1.859963,0.763284,2.058273,0.224643,-1.942032,0.799320,2.022292,0.224673,-1.973369,0.698183,1.944488,0.210391,-1.827097,1.911801,0.210850,-1.859208,2.058890,0.224695,-1.942543,2.023044,0.224801,-1.974306,2.268540,0.043528,0.426662,,,,,,,,,,,,,,,,,,
5,0.041667,-0.005426,0.925108,0.001988,0.379661,1.984547,0.217687,-1.900779,0.001379,1.945265,0.210491,-1.827737,0.737606,1.912359,0.210952,-1.859971,0.765512,2.058272,0.224654,-1.942033,0.801328,2.022294,0.224651,-1.973374,0.682537,1.944457,0.210419,-1.827071,1.911798,0.210852,-1.859226,2.058877,0.224708,-1.942546,2.023097,0.224783,-1.974349,2.268538,0.043520,0.426678,,,,,,,,,,,,,,,,,,
