Format Version,1.23,Take Name,FW_100,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.25.05.055 PM,Total Frames in Take,787,Total Exported Frames,787,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,"AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4",PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,"PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3",AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,Unlabeled 5606,Unlabeled 5606,Unlabeled 5606,Unlabeled 5607,Unlabeled 5607,Unlabeled 5607,Unlabeled 5609,Unlabeled 5609,Unlabeled 5609,Unlabeled 5610,Unlabeled 5610,Unlabeled 5610,Unlabeled 5612,Unlabeled 5612,Unlabeled 5612,Unlabeled 5613,Unlabeled 5613,Unlabeled 5613,Unlabeled 5614,Unlabeled 5614,Unlabeled 5614
,ID,"F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","D4660","D4660","D4660","D4670","D4670","D4670","D4680","D4680","D4680","D4590","D4590","D4590","D4650","D4650","D4650","D4640","D4640","D4640","D4630","D4630","D4630","D4620","D4620","D4620","D4610","D4610","D4610","D46A0","D46A0","D46A0","D46F0","D46F0","D46F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.008522,0.369422,-0.000440,-0.929223,2.011547,0.219430,-1.937032,0.001353,2.049332,0.214071,-2.011016,0.696019,2.082929,0.214677,-1.979505,0.808331,1.938636,0.224379,-1.894076,0.669339,1.975292,0.224592,-1.863532,0.815978,,,,,,,,,,,,,,,,,,,,,2.050102,0.213921,-2.011945,2.083489,0.214678,-1.980028,1.937802,0.224539,-1.893063,1.974749,0.224589,-1.863035,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.008571,0.369419,-0.000269,-0.929223,2.011542,0.219423,-1.937014,0.001364,2.049325,0.214070,-2.011000,0.696019,2.082922,0.214660,-1.979489,0.808331,1.938633,0.224384,-1.894057,0.669339,1.975289,0.224580,-1.863513,0.815978,,,,,,,,,,,,,,,,,,,,,2.050089,0.213932,-2.011900,2.083501,0.214652,-1.980046,1.937767,0.224538,-1.893031,1.974741,0.224584,-1.862995,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.008541,0.369420,-0.000280,-0.929223,2.011561,0.219410,-1.937048,0.001364,2.049344,0.214052,-2.011033,0.703223,2.082941,0.214643,-1.979522,0.807244,1.938652,0.224373,-1.894091,0.648437,1.975308,0.224571,-1.863546,0.821745,,,,,,,,,,,,,,,,,,,,,2.050094,0.213904,-2.011941,2.083503,0.214644,-1.980049,1.937767,0.224545,-1.893011,1.974780,0.224565,-1.863067,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.008511,0.369473,-0.000252,-0.929202,2.011567,0.219416,-1.937045,0.001381,2.049358,0.214052,-2.011025,0.695139,2.082951,0.214642,-1.979510,0.804340,1.938653,0.224386,-1.894096,0.653109,1.975306,0.224582,-1.863547,0.815150,,,,,,,,,,,,,,,,,,,,,2.050132,0.213905,-2.011956,2.083519,0.214639,-1.980048,1.937779,0.224551,-1.893030,1.974760,0.224581,-1.863048,,,,,,,,,,,,,,,,,,,,,
4,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.050112,0.213915,-2.011945,2.083498,0.214660,-1.980035,1.937751,0.224561,-1.893009,1.974750,0.224581,-1.863025,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.008553,0.369449,-0.000267,-0.929212,2.011566,0.219411,-1.937039,0.001354,2.049353,0.214055,-2.011021,0.695139,2.082948,0.214645,-1.979508,0.804340,1.938654,0.224374,-1.894086,0.653109,1.975308,0.224571,-1.863539,0.815150,,,,,,,,,,,,,,,,,,,,,2.050118,0.213903,-2.011933,2.083510,0.214648,-1.980042,1.937804,0.224542,-1.893056,1.974766,0.224565,-1.863043,,,,,,,,,,,,,,,,,,,,,
