Format Version,1.23,Take Name,FW_55,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.16.35.780 PM,Total Frames in Take,953,Total Exported Frames,953,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,"AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4",PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,"PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3",AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,Unlabeled 5447,Unlabeled 5447,Unlabeled 5447,Unlabeled 5448,Unlabeled 5448,Unlabeled 5448,Unlabeled 5449,Unlabeled 5449,Unlabeled 5449,Unlabeled 5452,Unlabeled 5452,Unlabeled 5452,Unlabeled 5453,Unlabeled 5453,Unlabeled 5453,Unlabeled 5454,Unlabeled 5454,Unlabeled 5454,Unlabeled 5455,Unlabeled 5455,Unlabeled 5455,Unlabeled 5456,Unlabeled 5456,Unlabeled 5456
,ID,"F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","CD020","CD020","CD020","CD010","CD010","CD010","CD040","CD040","CD040","CD030","CD030","CD030","CD070","CD070","CD070","CD080","CD080","CD080","CD060","CD060","CD060","CD090","CD090","CD090","CD0C0","CD0C0","CD0C0","CD0D0","CD0D0","CD0D0","CD0F0","CD0F0","CD0F0","CD0E0","CD0E0","CD0E0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.007884,-0.403016,0.002139,0.915156,2.015388,0.219290,-1.929924,0.001997,2.058471,0.213860,-2.000948,0.554365,2.089682,0.214606,-1.967076,0.678764,1.939533,0.224169,-1.892401,0.608370,1.973868,0.224527,-1.859270,0.683049,,,,,,,,,,,,,,,,,,,,,2.059651,0.213645,-2.002267,2.090710,0.214588,-1.967847,1.938434,0.224348,-1.891299,1.972897,0.224552,-1.858455,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.059649,0.213639,-2.002314,2.090707,0.214604,-1.967843,1.938425,0.224355,-1.891325,1.972935,0.224554,-1.858475,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.007756,0.402987,-0.002161,-0.915170,2.015388,0.219296,-1.929912,0.002003,2.058465,0.213845,-2.000938,0.550558,2.089679,0.214597,-1.967068,0.673763,1.939535,0.224188,-1.892386,0.618823,1.973871,0.224552,-1.859257,0.676639,,,,,,,,,,,,,,,,,,,,,2.059653,0.213630,-2.002270,2.090728,0.214578,-1.967844,1.938451,0.224360,-1.891328,1.972887,0.224581,-1.858418,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.007860,0.403073,-0.002115,-0.915131,2.015392,0.219305,-1.929913,0.002014,2.058483,0.213871,-2.000932,0.546455,2.089690,0.214615,-1.967056,0.678425,1.939532,0.224190,-1.892400,0.596434,1.973862,0.224546,-1.859264,0.689958,,,,,,,,,,,,,,,,,,,,,2.059672,0.213621,-2.002279,2.090721,0.214613,-1.967825,1.938399,0.224398,-1.891269,1.972917,0.224558,-1.858462,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.007850,0.402870,-0.001675,-0.915222,2.015411,0.219272,-1.929966,0.001998,2.058465,0.213826,-2.001007,0.546455,2.089689,0.214534,-1.967144,0.678425,1.939573,0.224205,-1.892417,0.596434,1.973918,0.224523,-1.859297,0.689958,,,,,,,,,,,,,,,,,,,,,2.059673,0.213635,-2.002285,2.090701,0.214500,-1.967951,1.938429,0.224373,-1.891290,1.972945,0.224561,-1.858463,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.007904,0.402968,-0.002091,-0.915178,2.015399,0.219318,-1.929912,0.001991,2.058473,0.213890,-2.000941,0.557693,2.089688,0.214631,-1.967072,0.676467,1.939548,0.224199,-1.892381,0.596358,1.973886,0.224552,-1.859253,0.679289,,,,,,,,,,,,,,,,,,,,,2.059661,0.213649,-2.002276,2.090714,0.214626,-1.967836,1.938435,0.224395,-1.891295,1.972942,0.224567,-1.858440,,,,,,,,,,,,,,,,,,,,,,,,
