Format Version,1.23,Take Name,FW_65,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.17.53.023 PM,Total Frames in Take,862,Total Exported Frames,862,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,"AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4",PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,"PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3",AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,Unlabeled 5476,Unlabeled 5476,Unlabeled 5476,Unlabeled 5477,Unlabeled 5477,Unlabeled 5477,Unlabeled 5482,Unlabeled 5482,Unlabeled 5482,Unlabeled 5483,Unlabeled 5483,Unlabeled 5483,Unlabeled 5485,Unlabeled 5485,Unlabeled 5485,Unlabeled 5487,Unlabeled 5487,Unlabeled 5487,Unlabeled 5489,Unlabeled 5489,Unlabeled 5489,Unlabeled 5490,Unlabeled 5490,Unlabeled 5490,Unlabeled 5492,Unlabeled 5492,Unlabeled 5492,Unlabeled 5493,Unlabeled 5493,Unlabeled 5493,Unlabeled 5495,Unlabeled 5495,Unlabeled 5495,Unlabeled 5496,Unlabeled 5496,Unlabeled 5496,Unlabeled 5497,Unlabeled 5497,Unlabeled 5497
,ID,"F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","CE880","CE880","CE880","CE870","CE870","CE870","CE8A0","CE8A0","CE8A0","CE890","CE890","CE890","CE8B0","CE8B0","CE8B0","CE850","CE850","CE850","CE840","CE840","CE840","CE8D0","CE8D0","CE8D0","CE760","CE760","CE760","CE930","CE930","CE930","CE960","CE960","CE960","CE970","CE970","CE970","CE900","CE900","CE900","CE910","CE910","CE910","CE980","CE980","CE980","CE9E0","CE9E0","CE9E0","CE9C0","CE9C0","CE9C0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.010292,0.378051,-0.002717,-0.925724,1.994438,0.218892,-1.910471,0.001549,2.033625,0.213864,-1.983746,0.555933,2.066624,0.214596,-1.951612,0.827518,1.920713,0.223375,-1.868875,0.617214,1.956791,0.223732,-1.837652,0.829228,,,,,,,,,,,,,,,,,,,,,2.034791,0.213561,-1.985051,2.067140,0.214636,-1.952068,1.919688,0.223618,-1.867764,1.956291,0.223704,-1.837188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.010284,0.378047,-0.002550,-0.925726,1.994444,0.218895,-1.910480,0.001577,2.033628,0.213863,-1.983756,0.555933,2.066628,0.214581,-1.951622,0.827518,1.920720,0.223396,-1.868883,0.617214,1.956799,0.223739,-1.837660,0.829228,,,,,,,,,,,,,,,,,,,,,2.034774,0.213576,-1.985045,2.067163,0.214614,-1.952104,1.919654,0.223643,-1.867734,1.956284,0.223715,-1.837168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.034763,0.213593,-1.985005,2.067204,0.214583,-1.952141,1.919671,0.223646,-1.867713,1.956305,0.223717,-1.837194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.010197,0.378045,-0.002743,-0.925727,1.994454,0.218895,-1.910480,0.001558,2.033640,0.213852,-1.983753,0.571543,2.066639,0.214590,-1.951620,0.822426,1.920729,0.223387,-1.868884,0.606540,1.956808,0.223750,-1.837661,0.823594,,,,,,,,,,,,,,,,,,,,,2.034762,0.213577,-1.985019,2.067166,0.214621,-1.952096,1.919682,0.223628,-1.867734,1.956294,0.223726,-1.837178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.010222,0.378067,-0.002667,-0.925718,1.994470,0.218887,-1.910494,0.001576,2.033658,0.213846,-1.983767,0.571543,2.066656,0.214577,-1.951632,0.822426,1.920743,0.223384,-1.868901,0.606540,1.956820,0.223739,-1.837676,0.823594,,,,,,,,,,,,,,,,,,,,,2.034797,0.213562,-1.985052,2.067197,0.214609,-1.952118,1.919694,0.223627,-1.867757,1.956297,0.223715,-1.837183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.010206,0.378085,-0.002621,-0.925711,1.994448,0.218907,-1.910469,0.001596,2.033639,0.213863,-1.983740,0.564737,2.066636,0.214590,-1.951604,0.818120,1.920720,0.223411,-1.868879,0.607153,1.956797,0.223762,-1.837653,0.819963,,,,,,,,,,,,,,,,,,,,,2.034782,0.213579,-1.985035,2.067184,0.214620,-1.952099,1.919667,0.223655,-1.867714,1.956261,0.223740,-1.837154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
