x_flat, u_flat, x_post_0, x_post_1, x_post_2, x_post_3, HR_LB_0, HR_LB_1, HR_LB_2, HR_LB_3, HR_UB_0, HR_UB_1, HR_UB_2, HR_UB_3
247865, 36, -1.4932206468165794, -1.6084718246801504, -0.1583473814840188, 0.3782580586329775, -1.49987, -1.60744, -0.148411, 0.368395, -1.49987, -1.60744, -0.148411, 0.368395
291674, 43, -1.2529158992064917, -1.6007608066930845, 0.20249040494127588, 0.5842916864074796, -1.2852, -1.6102, 0.105063, 0.541491, -1.2852, -1.6102, 0.105063, 0.541491
339591, 60, -0.9012636010612921, -1.481970618481795, 0.5396126759690666, 1.0140354674439298, -0.919693, -1.4283, 0.648181, 1.04026, -0.919693, -1.4283, 0.648181, 1.04026
387584, 57, -0.4135726017145013, -1.1105890845128026, 0.4729503254044921, 1.2879594803667118, -0.437347, -1.13401, 0.443551, 1.20694, -0.437347, -1.13401, 0.443551, 1.20694
431508, 58, 0.17089264743255309, -0.7967780362797181, 0.5689392233186651, 1.3856078958354179, 0.18046, -0.813608, 0.516687, 1.37363, 0.18046, -0.813608, 0.516687, 1.37363
478171, 41, 0.6562111470135935, -0.39480819757936825, 0.9269514803045252, 1.1583632705167313, 0.659624, -0.309679, 1.0354, 1.23388, 0.659624, -0.309679, 1.0354, 1.23388
435922, 48, 1.0162680915079434, 0.1848528557992638, 0.8565995140986041, 1.1859539268058377, 1.06064, 0.16725, 0.826926, 1.16698, 1.06064, 0.16725, 0.826926, 1.16698
434742, 58, 1.4542392533469368, 0.6460922728562027, 0.9386645959329254, 1.3521978279783393, 1.52311, 0.689826, 0.916687, 1.37363, 1.52311, 0.689826, 0.916687, 1.37363
481477, 53, 1.6003742283266011, 1.295813278548591, 1.9712713503129127, 1.2684486789850975, 1.49291, 1.36673, 2.16287, 1.33848, 1.49291, 1.36673, 2.16287, 1.33848
444773, 62, 0.7770998246090329, 1.5967114868044792, -2.784612411175845, 1.4625530727177392, 0.933356, 1.64503, -3.01627, 1.37363, 0.933356, 1.64503, -3.01627, 1.37363
454424, 50, 0.3147118461365374, 1.4278419949735341, -2.591658113585935, 1.2658434710534794, 0.247129, 1.34794, -2.54629, 1.33848, 0.247129, 1.34794, -2.54629, 1.33848
411867, 40, -0.2512581899566828, 0.9676389530518034, -2.433276456430686, 1.137582727074648, -0.26611, 0.98641, -2.49874, 1.06078, -0.26611, 0.98641, -2.49874, 1.06078
413120, 58, -0.7262210734504713, 0.6012691295864093, -2.390577365731604, 1.2976912081314451, -0.750985, 0.535708, -2.28331, 1.37363, -0.750985, 0.535708, -2.28331, 1.37363
459476, 41, -1.0532397206875355, -0.00032356368735746675, -1.8851491487646113, 1.163537964254652, -1.06882, -0.11596, -1.7646, 1.23388, -1.06882, -0.11596, -1.7646, 1.23388
416812, 56, -1.4022553106987785, -0.7695385976222364, -2.3204914479319454, 1.4057730351165623, -1.39124, -0.671377, -2.28438, 1.37363, -1.39124, -0.671377, -2.28438, 1.37363
459026, 53, -1.493025780836505, -1.301248005517975, -1.1776382709343267, 1.2644358636492914, -1.43184, -1.36601, -1.03713, 1.33848, -1.43184, -1.36601, -1.03713, 1.33848
421804, 44, -0.9102613750606814, -1.6642392193045301, -0.0016948643936450652, 1.1372533648752354, -0.934167, -1.67738, -0.0741222, 1.06078, -0.934167, -1.67738, -0.0741222, 1.06078
428543, 61, -0.3869758037019509, -1.4775941474516838, 0.7742688615528084, 1.2977029253123378, -0.339059, -1.42376, 0.915186, 1.37363, -0.339059, -1.42376, 0.915186, 1.37363
480682, 38, 0.1477111503984093, -1.0308751412971116, 0.4429560062898167, 1.1602506856401473, 0.191877, -0.94481, 0.49336, 1.23388, 0.191877, -0.94481, 0.49336, 1.23388
431588, 59, 0.6783703283376594, -0.5358187752905661, 0.9047712404009276, 1.38900797444012, 0.727694, -0.532648, 0.81627, 1.37363, 0.727694, -0.532648, 0.81627, 1.37363
479656, 41, 1.0617251914751296, 0.016537301724500162, 1.2324240707651253, 1.1558702900806286, 1.05305, 0.0718604, 1.2354, 1.23388, 1.05305, 0.0718604, 1.2354, 1.23388
437443, 57, 1.3430305774237203, 0.6941165885479419, 1.0340092271051868, 1.3969473484920527, 1.39034, 0.677819, 1.01033, 1.37363, 1.39034, 0.677819, 1.01033, 1.37363
481476, 53, 1.395548926313764, 1.3147210522955681, 2.1149059464193547, 1.2646005178699178, 1.39291, 1.36673, 2.16287, 1.33848, 1.39291, 1.36673, 2.16287, 1.33848
444772, 44, 0.8641130975645165, 1.6344604788351802, -3.1002216233874442, 1.139660650279035, 0.91877, 1.64971, 3.12588, 1.06078, 0.91877, 1.64971, 3.12588, 1.06078
451686, 59, 0.32596710545533936, 1.5423711375801665, -2.7676215326977207, 1.299264820352336, 0.279737, 1.43064, -2.66692, 1.37363, 0.279737, 1.43064, -2.66692, 1.37363
457082, 40, -0.2740266348969778, 1.1042335078667427, -2.5510386629928727, 1.1570357621481857, -0.257734, 1.01629, -2.47795, 1.23388, -0.257734, 1.01629, -2.47795, 1.23388
413120, 58, -0.7600982327199024, 0.5720305103893708, -2.3570472223689003, 1.3942134871411282, -0.750985, 0.535708, -2.28331, 1.37363, -0.750985, 0.535708, -2.28331, 1.37363
459476, 41, -1.0548514154283832, -0.005309119620180428, -1.881781373545846, 1.1620911751367777, -1.06882, -0.11596, -1.7646, 1.23388, -1.06882, -0.11596, -1.7646, 1.23388
416812, 56, -1.3573609608347637, -0.7187993998810622, -2.269815127966227, 1.3949512587048756, -1.39124, -0.671377, -2.28438, 1.37363, -1.39124, -0.671377, -2.28438, 1.37363
459026, 53, -1.4946654613086567, -1.2972545304730474, -1.184750129668297, 1.2649771825442429, -1.43184, -1.36601, -1.03713, 1.33848, -1.43184, -1.36601, -1.03713, 1.33848
421804, 44, -0.9086501884204132, -1.6642398117780335, 0.0009594188256849528, 1.1368385514084207, -0.934167, -1.67738, -0.0741222, 1.06078, -0.934167, -1.67738, -0.0741222, 1.06078
428543, 61, -0.38900144584787505, -1.4795672932031818, 0.7702728132851723, 1.296951287524814, -0.339059, -1.42376, 0.915186, 1.37363, -0.339059, -1.42376, 0.915186, 1.37363
480682, 38, 0.14470259226322973, -1.0323069864483634, 0.44544799849184913, 1.1611657325484823, 0.191877, -0.94481, 0.49336, 1.23388, 0.191877, -0.94481, 0.49336, 1.23388
431588, 59, 0.704454631741301, -0.5016637069497587, 0.932395325111709, 1.3961931800114582, 0.727694, -0.532648, 0.81627, 1.37363, 0.727694, -0.532648, 0.81627, 1.37363
479656, 41, 1.0632340708134767, 0.020845200593775228, 1.23535793001269, 1.1546345222858683, 1.05305, 0.0718604, 1.2354, 1.23388, 1.05305, 0.0718604, 1.2354, 1.23388
437443, 57, 1.3396822637544117, 0.688477523042993, 1.035929870394213, 1.3958748060388442, 1.39034, 0.677819, 1.01033, 1.37363, 1.39034, 0.677819, 1.01033, 1.37363
481476, 53, 1.4113544738229271, 1.2869749612868695, 2.0622946232528827, 1.2686528645338466, 1.39291, 1.36673, 2.16287, 1.33848, 1.39291, 1.36673, 2.16287, 1.33848
